Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Corey Adamson*,19,48,216,192,23,47,7,3,1,18,9,8,22,48,.245,.319,.328,.648,63,2,0,0,2,0,0,2011,Rookie,SDP
Yeison Asencio,21,50,218,210,50,73,13,8,7,46,8,2,4,25,.348,.367,.586,.953,123,5,3,0,1,0,0,2011,Rookie,SDP
Felipe Blanco,17,38,152,136,13,24,0,2,1,16,6,3,8,42,.176,.236,.228,.464,31,3,3,4,1,0,0,2011,Rookie,SDP
Ross Brayton,23,1,5,5,1,1,0,0,0,1,0,0,0,3,.200,.200,.200,.400,1,0,0,0,0,0,0,2011,Rookie,SDP
Felix Cabrera,21,40,142,128,19,37,5,2,1,19,10,3,11,26,.289,.345,.383,.728,49,6,1,0,2,0,0,2011,Rookie,SDP
Rodney Daal,17,24,86,70,8,17,4,0,0,6,2,1,14,21,.243,.384,.300,.684,21,3,2,0,0,0,0,2011,Rookie,SDP
Cody Decker,24,10,39,32,4,11,2,0,2,7,1,0,6,9,.344,.436,.594,1.030,19,0,0,0,1,0,1,2011,Rookie,SDP
Fabel Filpo#,18,9,29,26,5,10,1,0,1,8,1,2,3,1,.385,.448,.538,.987,14,0,0,0,0,0,0,2011,Rookie,SDP
Cody Gabella,19,21,69,59,5,10,1,0,0,7,1,0,8,23,.169,.279,.186,.466,11,1,1,1,0,0,0,2011,Rookie,SDP
Daniel Garce,22,16,65,62,3,12,2,0,0,4,0,0,3,24,.194,.231,.226,.457,14,1,0,0,0,0,0,2011,Rookie,SDP
Jairo Gomez,19,26,103,97,14,27,9,0,1,11,2,3,5,17,.278,.320,.402,.722,39,3,1,0,0,0,0,2011,Rookie,SDP
Austin Hedges,18,5,22,16,3,5,0,0,1,4,1,0,5,1,.313,.500,.500,1.000,8,1,1,0,0,0,1,2011,Rookie,SDP
Rashaad Ingram,22,25,92,77,14,20,2,2,0,9,4,0,12,20,.260,.370,.338,.707,26,2,2,0,1,0,0,2011,Rookie,SDP
Duanel Jones,18,37,169,150,38,40,7,2,8,23,1,1,16,43,.267,.349,.500,.849,75,3,3,0,0,0,0,2011,Rookie,SDP
Paul Karmas,22,37,155,134,20,37,11,0,2,17,0,0,18,17,.276,.361,.403,.764,54,8,1,0,2,0,0,2011,Rookie,SDP
Dan Killian*,22,9,40,32,6,12,2,1,1,5,0,0,6,4,.375,.500,.594,1.094,19,1,2,0,0,0,0,2011,Rookie,SDP
Robert Kral*,22,14,54,40,9,11,1,1,1,7,0,1,13,10,.275,.463,.425,.888,17,0,1,0,0,0,0,2011,Rookie,SDP
Yair Lopez,19,45,200,191,34,55,11,4,6,21,14,3,5,58,.288,.317,.482,.798,92,2,3,1,0,0,0,2011,Rookie,SDP
Alberth Martinez,20,44,205,189,31,67,12,6,7,24,14,3,10,27,.354,.394,.593,.987,112,1,3,2,1,0,0,2011,Rookie,SDP
Casey McElroy*,21,5,21,19,0,5,2,0,0,3,0,1,1,9,.263,.300,.368,.668,7,0,0,1,0,0,0,2011,Rookie,SDP
Pat McKenna,24,1,2,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2011,Rookie,SDP
Tommy Medica,23,6,28,23,8,9,2,0,1,6,0,0,4,3,.391,.464,.609,1.073,14,0,0,0,1,0,1,2011,Rookie,SDP
Justin Miller,22,17,63,54,8,22,2,2,1,6,2,1,6,9,.407,.476,.574,1.050,31,0,2,0,1,0,0,2011,Rookie,SDP
Gabriel Quintana,18,8,33,30,3,8,1,0,1,3,0,1,3,6,.267,.333,.400,.733,12,0,0,0,0,0,0,2011,Rookie,SDP
Edinson Rincon,20,3,11,10,0,3,0,0,0,1,0,0,1,1,.300,.364,.300,.664,3,0,0,0,0,0,0,2011,Rookie,SDP
