Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Ryan Brett#,19,61,270,240,42,72,22,5,3,24,21,3,26,24,.300,.370,.471,.841,113,4,2,0,2,1,1
Joel Caminero,21,48,195,188,25,62,9,6,3,22,6,7,5,38,.330,.347,.489,.837,92,4,0,2,0,0,0
Jake DePew,19,46,184,159,14,34,5,0,1,22,6,4,20,27,.214,.293,.264,.558,42,8,0,0,5,1,0
Deshun Dixon,19,56,214,199,22,42,8,4,5,20,5,3,14,49,.211,.263,.367,.630,73,1,0,1,0,0,0
Felix Gonzalez#,21,32,95,90,9,26,3,1,0,6,3,1,4,18,.289,.319,.344,.664,31,4,0,1,0,0,0
Jake Hager,18,47,204,193,29,52,11,1,4,17,5,7,9,26,.269,.305,.399,.704,77,10,1,1,0,0,1
Jonathan Koscso,22,13,34,26,6,7,0,0,1,3,1,1,4,3,.269,.441,.385,.826,10,0,4,0,0,0,0
Taylor Motter,21,46,195,158,37,51,13,0,4,23,22,2,33,26,.323,.436,.481,.917,76,4,1,0,3,0,1
Justin O'Conner,19,48,197,178,18,28,8,0,9,29,4,1,17,78,.157,.234,.354,.587,63,7,1,0,1,0,0
Junior Rodriguez,23,33,118,100,16,28,7,0,6,14,0,0,15,28,.280,.373,.530,.903,53,6,1,0,2,0,0
Josh Sale*,19,60,239,214,24,45,11,3,4,15,4,3,23,41,.210,.289,.346,.634,74,2,1,0,1,2,0
Cam Seitzer*,21,64,268,221,30,63,14,0,11,42,6,3,43,46,.285,.407,.498,.904,110,9,3,0,1,1,0
Ryan Terry,22,36,130,115,20,26,5,1,1,13,4,0,6,33,.226,.294,.313,.607,36,1,5,4,0,0,0
Drew Vettleson*,19,61,267,234,33,66,13,4,7,40,20,6,27,53,.282,.357,.462,.819,108,2,2,1,3,0,0
