Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Pedro Acosta,20,33,113,100,10,28,5,1,1,13,0,0,10,15,.280,.354,.380,.734,38,3,2,0,1,2,0
Blake Barber,22,23,82,78,6,30,2,1,4,10,3,1,2,10,.385,.407,.590,.997,46,5,1,1,0,0,0
Connor Burke,19,24,78,68,8,12,2,1,0,3,0,0,7,24,.176,.263,.235,.498,16,2,1,2,0,0,0
Felix Castillo,21,29,89,76,10,15,1,0,0,1,0,0,8,8,.197,.307,.211,.517,16,2,4,1,0,0,0
Victor Castro,20,23,83,79,10,16,4,0,1,7,0,0,2,20,.203,.217,.291,.508,23,3,0,0,2,0,0
Jose Ceballos,23,16,60,55,7,19,1,0,2,10,0,0,2,11,.345,.383,.473,.856,26,5,2,0,1,0,0
Patrick Claussen*,22,31,115,94,12,20,4,0,1,5,0,1,12,20,.213,.342,.287,.629,27,4,7,1,1,0,0
Kolby Copeland*,18,56,237,217,34,62,14,6,0,34,2,6,16,27,.286,.331,.406,.736,88,5,0,1,3,1,0
Rehiner Cordova,18,32,118,102,16,29,3,0,0,9,4,1,11,20,.284,.365,.314,.679,32,2,2,3,0,0,0
David Cruz,20,20,56,46,5,7,1,0,0,6,1,2,7,20,.152,.304,.174,.477,8,0,3,0,0,0,0
Austin Dean,18,47,182,148,15,33,11,0,2,15,2,2,24,35,.223,.337,.338,.675,50,2,3,4,3,0,1
Carlos Duran*,20,10,28,25,2,4,0,0,0,0,0,0,1,2,.160,.222,.160,.382,4,1,1,1,0,0,0
Cameron Flynn*,22,10,39,32,3,12,2,2,0,7,1,0,5,6,.375,.462,.563,1.024,18,2,1,0,1,0,0
Cody Keefer*,21,13,54,45,6,13,2,1,1,9,1,0,9,10,.289,.407,.444,.852,20,0,0,0,0,0,0
Christian Keene,19,2,5,5,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,1,0,0,0,0,0
Ben Lasater,28,6,25,20,3,5,2,0,0,3,0,0,5,6,.250,.400,.350,.750,7,0,0,0,0,1,0
Michael Main,23,11,51,47,10,16,2,1,0,7,1,2,4,4,.340,.392,.426,.818,20,0,0,0,0,0,0
Brian McConkey*,23,12,50,39,4,8,2,0,0,3,0,2,9,14,.205,.380,.256,.636,10,0,2,0,0,0,0
Ron Miller,18,40,142,132,14,24,7,2,4,14,0,0,6,51,.182,.225,.356,.581,47,3,2,0,2,0,0
Luis Ortiz#,20,42,172,153,26,39,6,1,2,10,18,0,14,23,.255,.325,.346,.672,53,1,2,3,0,0,0
Christian Rivera,18,29,105,79,14,17,5,0,0,4,4,2,20,24,.215,.388,.278,.667,22,2,3,2,1,0,0
Avery Romero,19,33,139,121,8,27,6,0,3,15,0,1,10,21,.223,.309,.347,.656,42,8,6,0,2,0,0
Edward Sappelt#,17,12,21,18,4,2,0,0,0,1,3,0,2,6,.111,.200,.111,.311,2,0,0,1,0,0,0
Michael Vaughn,21,26,91,83,9,23,4,0,0,9,1,0,5,27,.277,.330,.325,.655,27,2,2,0,1,0,0
Rodrigo Vigil,19,11,42,40,2,8,2,0,0,3,1,0,1,6,.200,.238,.250,.488,10,1,1,0,0,0,0
Christian Yelich*,20,1,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,1
