Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Beau Amaral*,22,125,565,515,67,133,15,5,3,38,40,12,34,81,.258,.312,.324,.636,167,9,7,7,2,0,0
Junior Arias,21,72,290,271,45,77,12,4,10,33,40,10,13,72,.284,.323,.469,.792,127,7,3,2,1,2,0
Brandon Dailey,21,36,141,124,13,23,5,1,2,19,0,0,11,32,.185,.257,.290,.547,36,3,2,1,3,0,0
Sammy Diaz#,22,72,314,269,46,75,8,1,3,28,8,3,32,32,.279,.362,.349,.712,94,7,5,5,3,0,0
Phil Ervin,20,12,51,43,7,15,2,0,1,6,2,1,8,10,.349,.451,.465,.916,20,1,0,0,0,0,1
Jeff Gelalich*,22,123,518,444,61,109,17,2,1,37,20,6,57,107,.245,.331,.300,.630,133,8,4,4,9,4,0
Wagner Gomez#,21,15,56,55,1,8,1,0,1,4,0,0,0,23,.145,.145,.218,.364,12,0,0,1,0,0,0
Joe Hudson,22,87,338,295,36,73,22,0,1,27,3,1,32,48,.247,.328,.332,.661,98,5,5,3,3,0,1
Ryan Ludwick,34,3,9,6,2,1,0,0,0,0,0,0,3,2,.167,.444,.167,.611,1,0,0,0,0,0,1
Adam Matthews,23,13,51,44,8,8,1,0,1,7,0,0,5,15,.182,.260,.273,.533,12,0,0,1,1,0,0
Jon Matthews,22,12,52,45,3,11,1,1,0,5,5,1,5,11,.244,.333,.311,.644,14,1,1,1,0,0,0
Seth Mejias-Brean,22,127,545,479,70,146,35,3,10,79,3,2,55,83,.305,.381,.453,.834,217,12,6,2,3,0,1
Nick O'Shea,24,16,63,58,6,8,2,0,3,11,0,0,3,19,.138,.177,.328,.505,19,0,0,1,1,0,0
Brent Peterson,20,53,187,166,23,38,5,2,0,8,4,3,16,49,.229,.301,.283,.584,47,4,1,4,0,0,0
Daniel Pigott,23,64,267,239,33,67,16,3,4,22,4,4,18,42,.280,.335,.423,.757,101,2,2,7,1,1,0
Tanner Rahier,19,106,437,410,31,91,15,2,7,61,0,5,12,81,.222,.252,.320,.571,131,14,7,0,8,0,0
Robert Ramirez*,20,48,187,176,12,39,7,2,2,20,3,3,7,48,.222,.253,.318,.571,56,2,1,1,2,0,0
Carlos Sanchez*,22,8,24,23,3,7,2,0,0,3,0,0,1,3,.304,.333,.391,.725,9,0,0,0,0,0,0
Joe Terry*,23,27,118,106,17,31,6,2,1,12,5,1,8,18,.292,.347,.415,.763,44,1,2,0,2,0,0
Humberto Valor,20,42,139,123,6,22,3,0,2,12,2,1,9,39,.179,.235,.252,.487,31,2,1,3,3,0,0
Zach Vincej,22,104,425,377,51,99,17,5,3,31,13,7,36,72,.263,.333,.358,.691,135,9,6,2,4,0,1
Jesse Winker*,19,112,486,417,73,117,18,5,16,76,6,1,63,75,.281,.379,.463,.841,193,10,4,0,2,2,1
