Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Miguel Abreu,28,16,60,56,5,8,0,1,0,5,2,1,2,4,.143,.200,.179,.379,10,1,2,0,0,0,0,2013,Adv A,PHI
Carlos Alonso,25,120,536,453,70,118,24,2,4,43,2,2,59,71,.260,.360,.349,.709,158,10,14,6,4,0,0,2013,Adv A,PHI
Aaron Altherr,22,123,527,466,57,128,36,6,12,69,23,5,45,140,.275,.337,.455,.792,212,7,3,5,8,0,1,2013,Adv A,PHI
Miguel Alvarez,23,1,4,4,1,1,1,0,0,0,0,0,0,1,.250,.250,.500,.750,2,0,0,0,0,0,0,2013,Adv A,PHI
Kelly Dugan*,22,56,247,217,37,69,12,3,10,36,1,3,24,60,.318,.401,.539,.940,117,2,6,0,0,0,0,2013,Adv A,PHI
Maikel Franco,20,65,289,264,42,79,23,1,16,52,0,0,20,39,.299,.349,.576,.925,152,14,2,0,3,1,1,2013,Adv A,PHI
Gustavo Gonzalez,22,1,3,3,0,0,0,0,0,0,0,1,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,2013,Adv A,PHI
Kyrell Hudson,22,50,183,168,24,34,5,0,1,6,8,4,9,61,.202,.253,.250,.503,42,3,3,1,2,0,0,2013,Adv A,PHI
Jiwan James#,24,36,160,146,19,38,5,2,0,10,8,1,7,27,.260,.301,.322,.623,47,4,2,4,1,0,0,2013,Adv A,PHI
Tommy Joseph,21,11,42,42,0,4,2,0,0,1,0,0,0,13,.095,.095,.143,.238,6,1,0,0,0,0,1,2013,Adv A,PHI
Pete Lavin*,25,58,245,214,18,48,14,5,0,14,5,7,28,39,.224,.314,.336,.651,72,2,1,0,2,0,0,2013,Adv A,PHI
Josh Ludy,23,4,14,12,1,3,0,0,1,2,0,0,2,2,.250,.357,.500,.857,6,0,0,0,0,0,0,2013,Adv A,PHI
Gustavo Martinez,19,3,10,8,0,2,0,0,0,0,0,0,1,2,.250,.333,.250,.583,2,0,0,1,0,0,0,2013,Adv A,PHI
Harold Martinez,23,91,347,323,34,88,21,1,2,29,6,1,21,81,.272,.317,.362,.679,117,6,1,0,2,0,0,2013,Adv A,PHI
Jose Mojica,24,87,299,275,34,64,10,1,0,25,1,1,17,49,.233,.286,.276,.563,76,6,4,2,1,0,0,2013,Adv A,PHI
Logan Moore*,22,91,338,302,25,56,12,1,4,28,1,1,28,72,.185,.257,.272,.528,82,6,2,3,3,0,0,2013,Adv A,PHI
Jair Morelos*,19,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,2013,Adv A,PHI
Cameron Perkins,22,103,424,387,54,114,30,5,6,53,4,5,25,57,.295,.346,.444,.790,172,16,7,2,3,0,1,2013,Adv A,PHI
Jonathan Roof,24,68,275,248,36,61,11,3,4,29,4,4,24,34,.246,.310,.363,.673,90,9,0,1,2,0,0,2013,Adv A,PHI
Carlos Ruiz,34,2,10,8,1,1,0,0,1,3,0,0,2,0,.125,.300,.500,.800,4,0,0,0,0,0,1,2013,Adv A,PHI
Chris Serritella*,23,126,522,484,53,118,22,2,12,53,0,0,32,125,.244,.291,.372,.663,180,7,2,0,4,0,0,2013,Adv A,PHI
Brock Stassi*,23,89,316,288,32,85,11,5,3,32,8,1,23,43,.295,.347,.399,.746,115,6,1,2,2,0,1,2013,Adv A,PHI
Bob Stumpo#,25,37,122,105,12,22,2,0,2,11,0,0,14,21,.210,.306,.286,.591,30,1,1,1,1,0,0,2013,Adv A,PHI
Matt Tolbert#,31,13,53,47,5,19,1,0,0,5,3,1,5,4,.404,.462,.426,.887,20,1,0,1,0,0,1,2013,Adv A,PHI
Delmon Young,27,3,14,13,1,6,1,0,0,1,0,0,0,3,.462,.429,.538,.967,7,0,0,0,1,0,1,2013,Adv A,PHI
