Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Jason Castro*,26,120,491,435,63,120,35,1,18,56,2,1,50,130,.276,.350,.485,.835,211,4,2,0,4,3,1,2013,MLB,HOU
Chris Carter,26,148,585,506,64,113,24,2,29,82,2,0,70,212,.223,.320,.451,.770,228,8,4,0,5,1,1,2013,MLB,HOU
Jose Altuve,23,152,672,626,64,177,31,2,5,52,35,13,32,85,.283,.316,.363,.678,227,24,2,4,8,5,1,2013,MLB,HOU
Jonathan Villar#,22,58,241,210,26,51,9,2,1,8,18,8,24,71,.243,.321,.319,.640,67,5,0,7,0,1,1,2013,MLB,HOU
Matt Dominguez,23,152,589,543,56,131,25,0,21,77,0,1,30,96,.241,.286,.403,.690,219,17,7,2,7,1,1,2013,MLB,HOU
J.D. Martinez,25,86,310,296,24,74,17,0,7,36,2,0,10,82,.250,.272,.378,.650,112,8,0,0,3,0,1,2013,MLB,HOU
Brandon Barnes,27,136,445,408,46,98,17,1,8,41,11,11,21,127,.240,.289,.346,.635,141,5,8,6,2,0,1,2013,MLB,HOU
L.J. Hoes,23,46,181,167,24,48,7,2,1,10,7,1,12,34,.287,.337,.371,.708,62,4,1,0,1,0,1,2013,MLB,HOU
Carlos Pena*,35,85,325,277,38,58,13,1,8,25,1,3,43,89,.209,.324,.350,.674,97,5,4,1,0,5,1,2013,MLB,HOU
Robbie Grossman#,23,63,288,257,29,69,14,0,4,21,6,7,23,70,.268,.332,.370,.702,95,2,2,5,1,0,1,2013,MLB,HOU
Brett Wallace*,26,79,285,262,35,58,14,1,13,36,1,1,18,104,.221,.284,.431,.716,113,5,5,0,0,0,1,2013,MLB,HOU
Marwin Gonzalez#,24,72,222,204,22,45,8,0,4,14,6,2,9,37,.221,.252,.319,.571,65,5,0,8,1,0,1,2013,MLB,HOU
Carlos Corporan#,29,64,210,191,16,43,5,0,7,20,0,0,10,60,.225,.287,.361,.648,69,3,7,1,1,1,1,2013,MLB,HOU
Trevor Crowe#,29,60,181,165,18,36,7,1,1,13,6,1,16,39,.218,.287,.291,.578,48,3,0,0,0,0,1,2013,MLB,HOU
Ronny Cedeno,30,51,155,141,12,31,6,1,1,12,2,1,6,42,.220,.260,.298,.558,42,4,2,5,1,0,1,2013,MLB,HOU
Justin Maxwell,29,40,151,137,21,33,10,2,2,8,4,1,12,43,.241,.311,.387,.698,53,1,2,0,0,0,1,2013,MLB,HOU
Marc Krauss*,25,52,146,134,11,28,9,0,4,13,2,0,10,45,.209,.267,.366,.633,49,2,1,0,1,0,1,2013,MLB,HOU
Jake Elmore,26,52,136,120,16,29,4,0,2,6,1,6,13,20,.242,.313,.325,.638,39,1,0,2,1,0,1,2013,MLB,HOU
Jimmy Paredes#,24,48,135,125,8,24,4,0,1,10,4,4,6,44,.192,.231,.248,.479,31,1,1,1,2,0,1,2013,MLB,HOU
Brandon Laird,25,25,76,71,7,12,3,0,5,11,0,0,3,26,.169,.224,.423,.646,30,2,2,0,0,0,1,2013,MLB,HOU
Rick Ankiel*,33,25,65,62,6,12,3,0,5,11,0,0,3,35,.194,.231,.484,.715,30,0,0,0,0,0,1,2013,MLB,HOU
Cody Clark,31,16,40,38,1,4,1,0,0,0,0,0,1,15,.105,.128,.132,.260,5,0,0,1,0,0,1,2013,MLB,HOU
Fernando Martinez*,24,11,35,33,1,6,0,0,1,3,0,0,1,12,.182,.229,.273,.501,9,0,1,0,0,0,1,2013,MLB,HOU
Matt Pagnozzi,30,9,22,21,1,3,0,0,0,0,0,0,1,3,.143,.182,.143,.325,3,0,0,0,0,0,1,2013,MLB,HOU
Max Stassi,22,3,8,7,0,2,0,0,0,1,0,0,0,2,.286,.375,.286,.661,2,1,1,0,0,0,1,2013,MLB,HOU
