Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
J.P. Arencibia,27,138,497,474,45,92,18,0,21,55,0,2,18,148,.194,.227,.365,.592,173,8,3,0,2,0,1
Edwin Encarnacion,30,142,621,530,90,144,29,1,36,104,7,1,82,62,.272,.370,.534,.904,283,20,4,0,5,7,1
Emilio Bonifacio#,28,94,282,262,33,57,16,1,3,20,12,6,13,66,.218,.258,.321,.579,84,3,2,3,2,0,1
Jose Reyes#,30,93,419,382,58,113,20,0,10,37,15,6,34,47,.296,.353,.427,.780,163,6,1,0,2,2,1
Brett Lawrie,23,107,442,401,41,102,18,3,11,46,9,5,30,68,.254,.315,.397,.712,159,8,7,1,3,1,1
Melky Cabrera#,28,88,372,344,39,96,15,2,3,30,2,2,23,47,.279,.322,.360,.682,124,7,0,2,3,0,1
Colby Rasmus*,26,118,458,417,57,115,26,1,22,66,0,1,37,135,.276,.338,.501,.840,209,4,3,0,1,0,1
Jose Bautista,32,118,528,452,82,117,24,0,28,73,7,2,69,84,.259,.358,.498,.856,225,13,3,0,4,2,1
Adam Lind*,29,143,521,465,67,134,26,1,23,67,1,0,51,103,.288,.357,.497,.854,231,20,1,0,4,5,1
Maicer Izturis#,32,107,399,365,33,86,12,0,5,32,1,5,27,38,.236,.288,.310,.597,113,11,1,3,3,0,1
Rajai Davis,32,108,360,331,49,86,16,2,6,24,45,6,21,67,.260,.312,.375,.687,124,8,5,1,2,0,1
Munenori Kawasaki*,32,96,289,240,27,55,6,5,1,24,7,1,32,41,.229,.326,.308,.634,74,5,4,10,3,0,1
Mark DeRosa,38,88,236,204,23,48,12,1,7,36,0,0,28,49,.235,.326,.407,.733,83,8,1,0,3,1,1
Anthony Gose*,22,52,153,147,15,38,6,5,2,12,4,3,5,37,.259,.283,.408,.691,60,5,0,1,0,0,1
Josh Thole*,26,45,135,120,11,21,3,1,1,8,0,0,12,25,.175,.256,.242,.497,29,3,1,2,0,0,1
Moises Sierra,24,35,122,107,11,31,13,1,1,13,1,0,14,29,.290,.369,.458,.827,49,0,0,0,1,1,1
Ryan Goins*,25,34,121,119,11,30,5,0,2,8,0,0,2,28,.252,.264,.345,.609,41,1,0,0,0,0,1
Kevin Pillar,24,36,110,102,11,21,4,0,3,13,0,1,4,29,.206,.250,.333,.583,34,0,2,2,0,0,1
Henry Blanco,41,15,43,38,3,7,3,0,0,0,0,0,4,10,.184,.262,.263,.525,10,3,0,1,0,0,1
Ryan Langerhans*,33,4,13,11,3,3,0,0,0,0,1,0,2,2,.273,.385,.273,.657,3,0,0,0,0,0,1
Andy LaRoche,29,1,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1
Mike Nickeas,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1
