Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Yonder Alonso*,27,5,17,17,0,4,0,0,0,1,0,0,0,2,.235,.235,.235,.471,4,1,0,0,0,0,1
Hector Ambriz*,30,52,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1
Yeison Asencio,24,21,86,81,16,27,4,0,5,15,0,1,4,9,.333,.372,.568,.940,46,7,1,0,0,0,0
Brian Bixler,31,8,12,12,1,2,0,0,0,1,0,0,0,5,.167,.167,.167,.333,2,0,0,0,0,0,1
Kyle Blanks,27,27,99,83,15,22,5,0,9,20,0,0,10,24,.265,.364,.651,1.014,54,2,4,0,2,0,1
Blaine Boyer,32,25,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1
Matt Branham,26,3,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0
Travis Buck*,30,54,163,142,21,41,7,0,3,21,0,1,14,30,.289,.362,.401,.763,57,2,4,0,3,0,1
Billy Buckner,30,15,12,10,0,5,1,0,0,1,0,0,1,2,.500,.545,.600,1.145,6,0,0,1,0,0,1
Everth Cabrera#,27,7,24,20,4,7,1,0,0,1,1,0,4,3,.350,.458,.400,.858,8,0,0,0,0,0,1
Andrew Cashner,27,2,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,1
Alex Castellanos,27,113,408,360,69,99,25,5,8,42,8,5,37,104,.275,.351,.439,.790,158,2,6,3,2,2,1
Brooks Conrad#,34,78,337,295,52,82,18,1,18,57,0,2,33,79,.278,.349,.529,.878,156,6,2,2,5,4,1
Cody Decker,27,134,510,449,68,117,25,4,27,79,0,3,51,150,.261,.337,.514,.852,231,11,4,0,6,0,1
Odrisamer Despaigne,27,5,5,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,1,0,0,1
