Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Jim Adduci*,29,7,29,27,3,8,1,0,0,3,2,1,2,8,.296,.345,.333,.678,9,0,0,0,0,0,1,2014,AAA,TEX
J.P. Arencibia,28,48,203,190,31,53,8,0,14,41,1,0,10,53,.279,.320,.542,.862,103,4,2,0,1,3,1,2014,AAA,TEX
Carlos Arroyo*,21,3,14,14,2,3,1,0,0,1,0,0,0,2,.214,.214,.286,.500,4,0,0,0,0,0,0,2014,AAA,TEX
Engel Beltre*,24,11,50,47,2,5,1,0,0,2,0,0,1,7,.106,.143,.128,.271,6,3,1,1,0,0,1,2014,AAA,TEX
Jordan Brown*,30,9,36,33,4,8,2,0,0,0,0,0,1,7,.242,.306,.303,.609,10,0,2,0,0,0,1,2014,AAA,TEX
Alex Buchholz,26,13,58,53,9,15,4,0,0,10,0,0,3,7,.283,.328,.358,.686,19,2,1,0,1,0,0,2014,AAA,TEX
Michael Choice,24,43,182,150,25,40,8,0,7,31,2,1,23,47,.267,.379,.460,.839,69,2,6,0,3,1,1,2014,AAA,TEX
Jason Donald,29,44,163,144,22,34,6,2,3,8,3,1,15,44,.236,.306,.368,.674,53,3,0,3,1,0,1,2014,AAA,TEX
Jose Felix,26,1,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2014,AAA,TEX
Carlos Garay,19,5,18,17,0,3,0,0,0,2,0,0,1,4,.176,.222,.176,.399,3,0,0,0,0,0,0,2014,AAA,TEX
Chris Gimenez,31,39,156,134,18,38,4,2,6,22,0,1,19,30,.284,.365,.478,.843,64,2,0,0,3,1,1,2014,AAA,TEX
Jared Hoying*,25,135,555,509,86,138,33,7,26,78,20,7,40,140,.271,.325,.517,.842,263,5,2,1,3,1,1,2014,AAA,TEX
Kevin Kouzmanoff,32,4,17,16,1,5,1,0,0,1,0,0,0,3,.313,.294,.375,.669,6,0,0,0,1,0,1,2014,AAA,TEX
Brent Lillibridge,30,89,349,312,48,73,14,3,10,41,15,5,28,95,.234,.303,.394,.697,123,2,4,2,3,1,1,2014,AAA,TEX
Donnie Murphy,31,6,24,19,0,1,0,0,0,1,0,0,3,7,.053,.208,.053,.261,1,1,1,0,1,0,1,2014,AAA,TEX
Brett Nicholas*,25,127,491,452,40,124,20,1,10,58,4,1,27,112,.274,.322,.389,.712,176,11,7,1,4,2,1,2014,AAA,TEX
Andy Parrino#,28,13,59,53,4,10,3,0,0,5,0,0,3,12,.189,.271,.245,.516,13,0,3,0,0,0,1,2014,AAA,TEX
Cory Patton*,32,2,6,6,2,2,0,0,1,2,0,0,0,2,.333,.333,.833,1.167,5,1,0,0,0,0,0,2014,AAA,TEX
Carlos Pena*,36,20,80,74,12,22,3,0,4,8,0,0,5,15,.297,.350,.500,.850,37,2,1,0,0,1,1,2014,AAA,TEX
Bryan Petersen*,28,120,501,452,72,114,30,3,13,65,6,3,45,152,.252,.321,.418,.739,189,3,2,0,2,1,1,2014,AAA,TEX
