Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Cory Aldridge*,35,16,62,53,5,12,1,0,2,8,0,1,7,17,.226,.306,.358,.665,19,0,0,0,2,0,1
Brett Carroll,31,19,63,56,5,10,1,0,0,3,0,1,3,19,.179,.242,.196,.438,11,3,2,1,1,0,1
Adron Chambers*,27,25,104,91,11,26,2,0,3,14,0,3,9,18,.286,.347,.407,.753,37,4,0,3,1,0,1
Jonathan Diaz,29,92,303,244,37,50,13,3,1,23,4,4,37,43,.205,.319,.295,.615,72,5,5,15,2,0,1
Edwin Encarnacion,31,2,8,8,1,2,0,0,1,4,0,0,0,0,.250,.250,.625,.875,5,0,0,0,0,0,1
Juan Francisco*,27,12,50,44,9,15,2,1,2,11,0,0,6,9,.341,.420,.568,.988,25,0,0,0,0,1,1
Chris Getz*,30,18,76,68,8,21,2,0,0,9,6,1,8,11,.309,.382,.338,.720,23,0,0,0,0,1,1
Cole Gillespie,30,26,104,82,15,29,4,1,2,16,3,0,14,14,.354,.423,.500,.923,41,0,1,0,7,0,1
Hector Gimenez#,31,3,10,7,1,2,0,0,0,1,0,0,2,0,.286,.400,.286,.686,2,0,0,0,1,0,1
Brad Glenn,27,61,243,221,26,67,13,1,6,37,2,1,19,54,.303,.360,.452,.812,100,4,1,1,1,0,1
Jared Goedert,29,98,391,344,49,86,14,1,10,40,3,0,45,78,.250,.340,.384,.724,132,9,2,0,0,0,0
Ryan Goins*,26,97,402,363,36,103,21,2,0,30,4,4,28,64,.284,.337,.353,.689,128,11,2,7,2,0,1
Anthony Gose*,23,51,224,205,29,50,5,2,4,25,21,8,17,65,.244,.305,.346,.651,71,4,1,1,0,1,1
Matt Hague,28,13,56,53,8,20,7,0,1,10,0,1,3,10,.377,.411,.566,.977,30,1,0,0,0,0,1
A.J. Jimenez,24,58,237,219,21,57,13,1,2,24,1,1,13,33,.260,.295,.356,.652,78,7,0,0,5,0,1
Dan Johnson*,34,107,459,362,62,84,19,0,18,56,0,0,86,81,.232,.381,.434,.815,157,5,5,0,6,4,1
Munenori Kawasaki*,33,44,129,116,12,32,11,1,0,9,1,1,8,17,.276,.320,.388,.708,45,4,0,4,1,0,1
George Kottaras*,31,13,49,42,6,11,1,0,3,8,0,0,7,14,.262,.367,.500,.867,21,1,0,0,0,1,1
Erik Kratz,34,27,100,87,13,26,10,0,3,17,0,1,9,18,.299,.354,.517,.871,45,2,0,1,3,0,1
Andy LaRoche,30,60,224,202,25,50,15,0,5,29,0,0,16,33,.248,.309,.396,.705,80,8,3,1,2,1,1
Darin Mastroianni,28,88,393,344,52,92,18,1,5,21,20,5,40,67,.267,.349,.369,.718,127,6,4,3,2,0,1
Mike McDade#,25,7,23,22,0,3,0,0,0,0,0,0,1,5,.136,.174,.136,.310,3,2,0,0,0,0,0
Melky Mesa,27,3,12,12,1,3,1,0,0,0,0,0,0,5,.250,.250,.333,.583,4,0,0,0,0,0,1
Jack Murphy#,26,11,39,34,3,7,3,0,0,2,0,0,5,7,.206,.308,.294,.602,10,1,0,0,0,0,0
Ricardo Nanita*,33,6,17,17,2,2,1,0,0,1,0,0,0,5,.118,.118,.176,.294,3,0,0,0,0,0,0
Mike Nickeas,31,49,177,150,13,31,2,0,3,17,1,0,18,30,.207,.285,.280,.565,42,9,0,5,4,0,1
Kevin Nolan,26,21,77,71,8,17,1,1,0,3,0,0,5,10,.239,.299,.282,.580,20,3,1,0,0,0,0
Sean Ochinko,26,8,28,26,2,6,1,0,1,5,0,0,2,3,.231,.286,.385,.670,10,0,0,0,0,0,0
Kevin Pillar,25,100,434,405,57,131,39,3,10,59,27,6,21,48,.323,.359,.509,.868,206,8,4,0,4,3,1
Dalton Pompey#,21,12,56,53,15,19,5,0,0,5,6,0,3,10,.358,.393,.453,.846,24,0,0,0,0,0,1
Colby Rasmus*,27,6,24,23,0,3,0,0,0,2,0,0,1,9,.130,.167,.130,.297,3,0,0,0,0,0,1
Ryan Schimpf*,26,67,246,212,29,40,7,1,9,21,0,1,24,59,.189,.290,.358,.648,76,2,7,1,2,1,1
Steven Tolleson,30,19,84,72,12,17,2,1,1,9,6,1,12,13,.236,.345,.333,.679,24,3,0,0,0,0,1
Matt Tuiasosopo,28,59,242,214,17,44,8,0,2,18,1,1,25,64,.206,.289,.271,.560,58,5,1,0,2,0,1
Brett Wallace*,27,38,151,133,12,43,5,0,7,23,0,0,15,33,.323,.404,.519,.923,69,3,3,0,0,1,1
Kenny Wilson,24,21,82,71,7,17,3,2,0,6,5,4,9,15,.239,.333,.338,.671,24,1,1,1,0,0,0
