Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Tyler Alamo,19,31,102,93,12,20,2,0,0,10,0,0,4,18,.215,.267,.237,.504,22,1,3,1,1,0,0
Roney Alcala#,20,38,136,124,19,30,6,1,2,10,2,0,7,29,.242,.294,.355,.649,44,3,3,0,2,0,0
Yasiel Balaguert,21,3,13,12,1,3,0,2,0,0,0,0,1,1,.250,.308,.583,.891,7,1,0,0,0,0,0
Emilio Bonifacio#,29,3,11,10,1,3,0,0,0,0,1,0,1,2,.300,.364,.300,.664,3,0,0,0,0,0,1
Charcer Burks,19,20,70,65,14,20,4,1,1,10,9,1,3,20,.308,.343,.446,.789,29,1,1,0,1,0,0
Arnaldo Calero,20,5,12,11,1,2,0,0,0,2,0,0,1,7,.182,.250,.182,.432,2,0,0,0,0,0,0
Erick Castillo,21,17,57,53,3,14,4,0,0,2,0,0,3,5,.264,.316,.340,.655,18,1,1,0,0,0,1
Varonex Cuevas#,21,26,95,88,12,28,4,3,1,6,3,2,7,16,.318,.368,.466,.834,41,2,0,0,0,0,0
Andrew Ely*,21,25,91,86,11,28,4,1,4,7,1,2,3,16,.326,.363,.535,.898,46,0,2,0,0,0,0
Bryant Flete*,21,19,62,54,10,17,2,0,0,7,3,0,6,9,.315,.393,.352,.745,19,1,1,1,0,0,0
Calvin Graves,23,15,36,32,4,10,2,0,0,3,4,1,2,3,.313,.361,.375,.736,12,1,1,0,1,0,0
Eloy Jimenez,17,42,164,150,13,34,8,2,3,27,3,1,10,32,.227,.268,.367,.635,55,4,0,0,4,0,1
Ricardo Marcano*,19,43,168,155,23,41,10,0,2,14,5,1,7,37,.265,.301,.368,.669,57,1,2,2,2,0,0
Joey Martarano,19,4,14,13,2,2,0,0,0,0,0,0,1,6,.154,.214,.154,.368,2,0,0,0,0,0,0
Alberto Mineo*,19,43,169,137,12,33,8,1,1,24,0,2,27,36,.241,.367,.336,.703,46,3,2,0,3,2,0
Kevonte Mitchell,18,39,163,143,30,42,3,4,0,12,19,1,14,32,.294,.374,.371,.745,53,3,5,0,1,0,0
Dalfis Ortiz#,22,5,12,9,1,1,0,0,0,0,2,0,3,4,.111,.333,.111,.444,1,2,0,0,0,1,0
Adonis Paula,20,47,163,149,14,34,7,1,1,15,1,1,10,47,.228,.284,.309,.593,46,4,2,1,1,0,0
Tyler Pearson,22,21,59,51,9,12,2,1,2,6,1,2,2,16,.235,.322,.431,.753,22,1,5,0,1,0,0
Rubi Silva*,25,3,14,13,2,5,1,0,0,2,1,0,1,4,.385,.429,.462,.890,6,1,0,0,0,0,0
Jorge Soler,22,8,30,25,7,10,3,0,1,6,0,0,4,7,.400,.500,.640,1.140,16,1,1,0,0,0,1
Ho Young Son,19,25,78,71,12,18,2,1,0,9,12,3,7,11,.254,.321,.310,.630,22,1,0,0,0,0,0
Yorvit Torrealba,35,4,13,13,3,4,3,0,0,0,0,0,0,2,.308,.308,.538,.846,7,1,0,0,0,0,1
Gleyber Torres,17,43,183,154,33,43,6,3,1,29,8,7,25,33,.279,.372,.377,.748,58,1,0,0,4,0,1
Shamil Ubiera,21,34,116,107,9,22,7,0,1,14,7,3,5,14,.206,.259,.299,.558,32,4,3,0,1,0,0
Eufran Vargas,19,3,10,10,2,2,1,0,0,3,0,0,0,4,.200,.200,.300,.500,3,0,0,0,0,0,0
Chesny Young,21,2,8,6,0,1,0,0,0,0,0,0,1,2,.167,.286,.167,.452,1,0,0,1,0,0,0
Mark Zagunis,21,2,9,8,1,1,1,0,0,1,0,0,1,2,.125,.222,.250,.472,2,1,0,0,0,0,1
