Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Younaifred Aguero,21,38,104,95,11,26,9,0,1,5,1,1,6,10,.274,.330,.400,.730,38,6,2,1,0,0,0,2014,Rookie,WSN
Thomas Alvarez,19,48,172,137,27,31,8,5,1,6,4,3,26,35,.226,.358,.380,.737,52,2,2,7,0,0,0,2014,Rookie,WSN
Kyle Bacak,22,1,3,2,0,0,0,0,0,0,0,1,1,1,.000,.333,.000,.333,0,0,0,0,0,0,0,2014,Rookie,WSN
Aldrem Corredor*,18,32,113,85,15,20,3,0,0,19,2,2,25,18,.235,.411,.271,.681,23,0,1,1,1,0,0,2014,Rookie,WSN
Randy Encarnacion,19,23,81,74,5,16,4,0,1,14,1,3,6,25,.216,.272,.311,.582,23,2,0,0,1,0,0,2014,Rookie,WSN
Darryl Florentino#,18,44,137,128,14,25,5,1,1,12,8,3,3,26,.195,.222,.273,.496,35,1,2,2,2,0,0,2014,Rookie,WSN
Kelvin Gutierrez,19,53,218,192,27,55,6,3,0,25,4,6,23,29,.286,.362,.349,.711,67,3,1,0,2,2,1,2014,Rookie,WSN
Luis Guzman*,18,50,186,165,27,42,8,2,1,17,3,4,14,23,.255,.326,.345,.672,57,1,4,2,1,0,0,2014,Rookie,WSN
Conor Keniry*,22,40,124,106,14,25,4,0,0,11,5,2,14,24,.236,.328,.274,.601,29,2,1,2,1,0,0,2014,Rookie,WSN
Edwin Lora,18,52,198,181,27,53,8,0,0,15,13,6,11,37,.293,.333,.337,.670,61,4,0,6,0,0,0,2014,Rookie,WSN
Brandon Miller,24,6,17,15,1,2,0,0,0,1,0,0,1,4,.133,.235,.133,.369,2,0,1,0,0,0,0,2014,Rookie,WSN
Oliver Ortiz*,18,51,167,146,16,32,7,3,2,24,1,1,17,46,.219,.305,.349,.655,51,0,2,0,2,0,0,2014,Rookie,WSN
Eury Perez,24,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1,2014,Rookie,WSN
Gilberto Ramirez,21,32,105,91,13,24,1,1,0,6,7,5,10,22,.264,.343,.297,.640,27,1,1,3,0,0,0,2014,Rookie,WSN
Jakson Reetz,18,43,155,117,20,32,6,1,1,15,6,3,26,30,.274,.429,.368,.796,43,2,8,1,3,0,1,2014,Rookie,WSN
Ryan Ripken*,20,16,55,51,5,8,1,0,1,6,0,0,4,10,.157,.218,.235,.453,12,0,0,0,0,0,0,2014,Rookie,WSN
Dionicio Rosario,20,50,183,162,29,36,12,1,2,25,3,2,14,30,.222,.311,.346,.657,56,3,7,0,0,1,0,2014,Rookie,WSN
Brayan Serrata,20,22,44,42,3,10,1,0,1,4,0,0,1,15,.238,.250,.333,.583,14,1,0,0,1,0,0,2014,Rookie,WSN
Jorge Tillero,20,33,97,90,5,27,4,0,0,10,2,1,6,8,.300,.351,.344,.695,31,7,1,0,0,0,0,2014,Rookie,WSN
