Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Jake Anderson*,22,14,39,35,4,8,0,0,0,2,2,2,3,11,.229,.282,.229,.511,8,1,0,0,1,0,0,2014,Short-Season A,NYY
Austin Aune*,20,59,245,225,26,49,19,2,4,23,5,5,15,97,.218,.278,.373,.651,84,1,4,0,1,0,0,2014,Short-Season A,NYY
Devyn Bolasky*,21,44,186,170,19,41,6,1,0,15,9,3,13,30,.241,.290,.288,.579,49,2,0,0,3,1,0,2014,Short-Season A,NYY
Chris Breen,20,63,263,224,34,63,16,5,8,28,0,0,33,71,.281,.376,.504,.881,113,6,3,0,3,2,0,2014,Short-Season A,NYY
Vicente Conde,20,38,155,134,17,30,4,0,0,16,6,0,19,31,.224,.323,.254,.576,34,3,1,0,1,0,0,2014,Short-Season A,NYY
Thairo Estrada,18,17,67,59,11,16,1,0,0,2,8,1,6,7,.271,.348,.288,.637,17,2,1,1,0,0,1,2014,Short-Season A,NYY
Billy Fleming,21,9,36,34,4,8,1,0,0,2,0,0,1,10,.235,.278,.265,.542,9,2,1,0,0,0,0,2014,Short-Season A,NYY
Radley Haddad*,24,9,20,18,2,3,1,0,0,0,0,0,2,6,.167,.250,.222,.472,4,0,0,0,0,0,0,2014,Short-Season A,NYY
Jose Javier,21,40,149,133,19,32,4,1,2,16,8,3,11,28,.241,.313,.331,.644,44,3,3,2,0,0,0,2014,Short-Season A,NYY
Bubba Jones*,21,15,56,53,3,7,1,0,2,4,0,0,3,17,.132,.179,.264,.443,14,1,0,0,0,0,0,2014,Short-Season A,NYY
Daniel Lopez,22,24,73,63,9,13,4,0,0,4,1,1,10,19,.206,.315,.270,.585,17,2,0,0,0,0,0,2014,Short-Season A,NYY
Renzo Martini,21,54,201,181,19,36,10,1,4,31,0,2,17,34,.199,.270,.331,.601,60,4,1,1,1,0,0,2014,Short-Season A,NYY
Ty McFarland*,22,62,261,237,24,66,17,2,5,40,6,4,20,37,.278,.345,.430,.775,102,7,4,0,0,1,0,2014,Short-Season A,NYY
Nathan Mikolas*,20,48,182,151,23,34,7,1,2,18,6,2,25,54,.225,.357,.325,.682,49,2,6,0,0,0,0,2014,Short-Season A,NYY
Collin Slaybaugh*,22,32,124,108,14,26,9,0,0,12,5,4,15,18,.241,.331,.324,.655,35,2,0,0,1,0,0,2014,Short-Season A,NYY
Connor Spencer*,21,51,211,198,22,72,14,1,0,11,1,5,6,34,.364,.389,.444,.833,88,4,4,0,3,1,0,2014,Short-Season A,NYY
Brady Steiger*,23,24,89,76,7,12,1,0,1,6,1,0,9,25,.158,.270,.211,.480,16,1,3,0,1,1,0,2014,Short-Season A,NYY
Isaias Tejeda,22,51,200,174,28,48,21,0,5,29,0,2,17,27,.276,.343,.483,.826,84,7,3,2,4,1,0,2014,Short-Season A,NYY
Bo Thompson,21,9,39,32,2,4,0,0,0,0,0,0,6,5,.125,.282,.125,.407,4,0,1,0,0,0,0,2014,Short-Season A,NYY
Luis Torrens,18,48,202,185,27,50,13,3,2,18,1,2,14,41,.270,.327,.405,.732,75,4,2,0,1,0,1,2014,Short-Season A,NYY
