Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Dayton Alexander,23,36,132,111,15,23,7,0,0,7,11,0,18,36,.207,.328,.270,.599,30,3,2,1,0,0,0
Joe Bennie,23,45,179,156,15,45,9,1,1,14,4,1,21,51,.288,.369,.378,.747,59,2,0,0,2,1,0
Jose Brizuela*,21,55,210,187,25,45,9,1,5,22,2,1,15,42,.241,.310,.380,.689,71,3,5,0,3,1,0
Santiago Chavez,18,16,60,54,3,5,0,0,0,3,0,0,3,17,.093,.155,.093,.248,5,1,1,2,0,0,0
Trent Gilbert*,21,40,150,137,17,29,6,1,0,10,1,0,10,35,.212,.273,.270,.543,37,5,2,0,1,1,0
Justin Higley*,21,24,98,89,16,25,6,2,5,25,10,0,8,31,.281,.337,.562,.899,50,1,0,0,1,0,0
Ryan Huck,23,47,185,170,11,32,7,1,2,17,0,1,13,56,.188,.249,.276,.525,47,6,1,0,1,0,0
Seong-min Kim,21,30,107,99,7,19,5,1,2,19,0,0,6,33,.192,.252,.323,.576,32,1,2,0,0,0,0
Max Kuhn,21,52,205,184,26,51,10,2,4,23,3,2,17,46,.277,.348,.418,.767,77,5,3,1,0,0,0
Scott Masik,23,49,196,170,20,37,5,1,1,11,4,2,13,37,.218,.321,.276,.598,47,3,13,0,0,0,0
Ben McQuown,24,52,185,163,20,39,3,2,2,15,12,3,15,33,.239,.313,.319,.632,52,1,3,3,1,0,0
Yairo Munoz,19,66,265,252,29,75,17,3,5,20,14,6,7,42,.298,.319,.448,.768,113,2,2,2,2,1,1
John Nogowski,21,50,185,158,18,41,8,0,1,21,0,0,20,23,.259,.357,.329,.686,52,4,5,0,2,1,1
Andy Paz,21,14,54,50,7,6,1,1,0,6,0,0,3,11,.120,.167,.180,.347,9,0,0,0,1,0,0
Gabriel Santana,21,41,144,134,13,33,4,0,1,9,2,2,6,16,.246,.294,.299,.592,40,6,3,1,0,0,0
J.P. Sportman,22,38,157,146,17,44,8,0,3,15,4,3,8,22,.301,.333,.418,.751,61,5,0,1,2,0,0
Brett Vertigan*,23,47,165,151,23,40,8,2,1,12,6,2,9,16,.265,.309,.364,.673,55,2,1,3,1,0,0
Kyle Wheeler,23,27,88,83,4,15,2,0,0,3,0,1,4,26,.181,.227,.205,.432,17,5,1,0,0,1,0
Chris Wolfe#,24,16,44,35,3,7,1,0,0,4,0,1,8,8,.200,.349,.229,.577,8,1,0,1,0,0,0
