Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Humberto Arteaga,21,70,315,286,37,74,12,2,1,28,15,8,15,46,.259,.297,.325,.623,93,2,2,9,3,0,1
Austin Bailey#,22,30,124,110,19,35,10,2,3,17,3,2,10,13,.318,.387,.527,.914,58,3,3,0,1,0,0
Brian Bien,22,5,20,19,4,8,1,0,0,0,2,0,1,1,.421,.450,.474,.924,9,0,0,0,0,0,0
Angelo Castellano,20,4,17,16,1,2,0,0,0,1,0,0,0,1,.125,.176,.125,.301,2,0,1,0,0,0,0
DonAndre Clark#,22,51,176,165,23,44,5,0,0,7,10,4,9,25,.267,.313,.297,.609,49,3,2,0,0,0,0
Logan Davis*,23,24,69,60,5,8,1,0,0,2,2,1,6,10,.133,.224,.150,.374,9,0,1,2,0,0,0
Brandon Downes,22,106,437,391,52,98,29,3,14,59,19,7,31,115,.251,.313,.448,.760,175,4,6,5,4,0,0
Samir Duenez*,19,101,396,361,47,96,13,4,1,37,11,5,24,33,.266,.314,.332,.646,120,6,2,7,2,0,0
Alfredo Escalera-Maldonado,20,64,285,262,40,82,13,3,8,33,12,2,10,58,.313,.356,.477,.833,125,6,9,1,3,1,0
Wander Franco,20,123,512,477,62,128,30,2,10,74,2,9,21,83,.268,.310,.403,.712,192,8,9,2,3,0,0
Carlos Garcia#,23,35,149,126,18,32,4,0,2,11,21,5,17,22,.254,.349,.333,.683,42,2,2,3,1,0,0
Elier Hernandez,20,74,314,290,37,84,19,2,5,42,6,5,14,73,.290,.331,.421,.752,122,4,5,3,2,0,0
Mike Hill*,23,90,332,302,49,76,18,5,6,37,11,3,23,81,.252,.305,.404,.709,122,6,2,1,4,0,0
Chad Johnson*,21,77,319,264,36,75,20,1,3,32,1,0,50,81,.284,.401,.402,.802,106,2,2,2,1,1,0
Anderson Miller*,21,43,185,169,15,44,8,1,2,21,0,1,14,28,.260,.319,.355,.674,60,1,1,0,1,0,0
Ryan O'Hearn*,21,81,356,314,44,87,11,0,19,56,7,2,36,87,.277,.351,.494,.845,155,10,2,0,4,3,1
Kyle Pollock,22,22,78,70,3,15,6,0,0,9,1,1,6,22,.214,.286,.300,.586,21,2,1,1,0,0,0
Alexis Rivera*,21,34,125,114,12,25,5,2,3,16,3,2,8,28,.219,.282,.377,.659,43,3,2,1,0,0,0
Corey Toups,22,102,444,388,75,113,27,5,7,44,31,5,44,82,.291,.369,.441,.809,171,4,6,2,4,0,0
Luis Valenzuela*,21,48,188,177,30,59,10,3,3,15,8,1,8,28,.333,.362,.475,.837,84,5,0,3,0,0,0
Chase Vallot,18,80,333,279,46,61,13,3,13,40,1,0,41,105,.219,.331,.427,.758,119,3,8,1,4,0,0
Luis Villegas,22,26,99,86,10,23,6,1,4,15,2,0,10,19,.267,.354,.500,.854,43,0,2,0,1,0,0
