Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Wynton Bernard,24,135,587,534,78,161,29,8,4,36,43,16,38,73,.301,.352,.408,.761,218,8,4,11,0,0,0
Harold Castro*,21,101,363,336,41,86,12,2,1,26,17,9,14,63,.256,.283,.313,.595,105,6,1,6,6,0,1
Dominic Ficociello#,23,43,165,155,24,44,12,2,3,30,0,0,6,34,.284,.315,.445,.760,69,4,2,0,2,0,0
Wade Gaynor,27,105,393,363,36,70,14,2,11,38,10,4,27,101,.193,.247,.333,.581,121,7,0,1,2,1,0
Alberto Gonzalez,32,50,183,173,19,49,11,1,2,19,3,1,9,13,.283,.319,.393,.712,68,1,0,1,0,0,1
Miguel Gonzalez,24,31,115,106,10,28,9,0,2,15,2,1,4,21,.264,.288,.406,.694,43,2,0,4,1,0,1
Austin Green,25,86,323,294,25,76,14,2,3,29,0,1,20,56,.259,.310,.350,.661,103,4,3,4,2,0,0
Dean Green*,26,90,373,324,38,101,11,1,15,60,0,0,39,46,.312,.389,.491,.879,159,14,5,0,5,2,0
Connor Harrell,24,125,482,436,49,97,19,3,7,41,8,6,29,125,.222,.286,.328,.614,143,11,11,3,3,0,0
Brendan Harris,34,32,121,94,22,23,3,0,2,11,0,1,22,18,.245,.400,.340,.740,32,0,3,1,1,0,1
Corey Jones*,27,21,89,75,8,22,4,0,0,10,2,1,10,7,.293,.393,.347,.740,26,1,3,0,1,0,0
JaCoby Jones,23,37,160,136,26,34,7,2,6,20,10,3,17,52,.250,.331,.463,.794,63,4,2,0,5,0,1
Jason Krizan*,26,114,475,414,53,110,22,2,8,53,13,5,51,43,.266,.343,.386,.729,160,11,0,5,5,1,0
Andrew Longley,26,32,113,104,9,22,6,1,4,17,0,0,6,42,.212,.259,.404,.663,42,0,1,1,1,0,0
Jeff McVaney,25,79,335,292,44,88,17,3,3,35,14,3,35,59,.301,.382,.411,.793,120,4,5,0,3,0,0
Curt Powell,24,26,99,87,12,21,2,1,0,2,2,1,10,20,.241,.327,.287,.614,25,1,1,1,0,0,0
Josh Prince,27,40,132,117,13,24,5,0,2,9,8,4,15,26,.205,.295,.299,.595,35,0,0,0,0,0,1
Jared Reaves,24,9,29,26,3,7,3,0,0,3,1,0,3,5,.269,.345,.385,.729,10,0,0,0,0,0,0
James Robbins*,24,113,406,385,33,91,18,3,5,45,3,1,15,92,.236,.272,.338,.609,130,10,4,1,1,0,0
Tony Thomas,28,43,170,155,21,40,7,0,7,26,3,1,12,43,.258,.314,.439,.752,68,4,1,1,1,1,0
Casper Wells,30,15,48,43,4,9,2,0,1,6,0,0,4,17,.209,.292,.326,.617,14,0,1,0,0,0,1
