Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Dustin Ackley*,27,5,19,17,4,8,1,0,2,4,1,0,1,3,.471,.526,.882,1.409,15,1,1,0,0,0,1
Tyler Austin,23,73,299,264,33,62,8,0,4,27,8,1,26,81,.235,.309,.311,.619,82,15,4,1,4,0,1
Greg Bird*,22,34,150,136,15,41,7,1,6,23,0,0,11,27,.301,.353,.500,.853,68,1,1,0,2,0,1
Ali Castillo,26,20,83,79,7,29,8,0,0,13,4,3,4,7,.367,.398,.468,.866,37,4,0,0,0,0,0
Jake Cave*,22,7,29,24,4,11,3,1,0,2,0,0,3,8,.458,.517,.667,1.184,16,1,1,0,1,0,1
Vicente Conde,21,2,6,6,0,1,0,0,0,0,0,0,0,0,.167,.167,.167,.333,1,1,0,0,0,0,0
Cito Culver#,22,8,30,25,3,8,0,1,0,4,0,0,3,6,.320,.379,.400,.779,10,2,0,1,1,1,0
Taylor Dugas*,25,21,72,63,7,20,1,0,0,5,0,1,6,8,.317,.377,.333,.710,21,5,0,3,0,1,0
Cole Figueroa*,28,121,507,449,45,131,19,1,3,44,4,4,44,27,.292,.355,.359,.713,161,9,3,5,6,2,1
Dan Fiorito,24,6,25,22,2,7,2,0,0,1,0,0,3,1,.318,.400,.409,.809,9,1,0,0,0,0,0
Ramon Flores*,23,73,321,276,43,79,11,2,7,34,3,2,39,43,.286,.377,.417,.794,115,5,3,0,3,1,1
Jonathan Galvez,24,40,160,139,17,33,9,0,0,12,2,2,16,31,.237,.323,.302,.625,42,1,2,2,1,0,0
Ben Gamel*,23,129,551,500,77,150,28,14,10,64,13,5,46,108,.300,.358,.472,.830,236,9,1,1,3,5,1
Juan Graterol,26,20,72,70,8,14,1,0,1,9,0,0,1,10,.200,.208,.257,.465,18,6,0,0,1,0,1
Slade Heathcott*,24,64,271,251,25,67,7,3,2,27,6,5,18,61,.267,.315,.343,.657,86,5,0,1,1,0,1
Kyle Higashioka,25,5,17,17,2,3,1,0,0,1,0,0,0,4,.176,.176,.235,.412,4,0,0,0,0,0,1
Aaron Judge,23,61,260,228,27,51,10,0,8,28,6,2,29,74,.224,.308,.373,.680,85,6,0,0,3,0,1
Rico Noel,26,22,23,17,5,1,0,0,0,0,9,3,4,7,.059,.273,.059,.332,1,2,1,1,0,0,1
Nick Noonan*,26,67,269,244,28,64,13,0,1,26,1,1,17,68,.262,.308,.328,.636,80,5,1,3,4,0,1
Gregorio Petit,30,46,183,174,19,40,10,0,2,15,0,0,8,22,.230,.264,.322,.586,56,7,0,1,0,1,1
Jose Pirela,25,60,259,231,40,75,14,1,3,23,5,2,24,22,.325,.390,.433,.823,100,7,2,0,2,0,1
Rob Refsnyder,24,117,522,450,66,122,28,2,9,56,12,2,56,73,.271,.359,.402,.761,181,12,9,1,6,1,1
Eddy Rodriguez,29,21,72,67,4,12,4,0,0,5,0,0,3,24,.179,.208,.239,.447,16,1,0,0,2,0,1
Kyle Roller*,27,123,499,426,47,99,19,3,14,59,0,0,60,136,.232,.339,.390,.728,166,15,10,0,3,6,0
Austin Romine,26,92,366,338,38,88,19,0,7,49,0,1,22,53,.260,.311,.379,.690,128,12,4,0,2,1,1
Jose Rosario,23,6,18,17,3,4,0,1,0,1,1,0,1,4,.235,.278,.353,.631,6,0,0,0,0,0,0
Brendan Ryan,33,3,11,10,0,2,0,0,0,0,0,0,1,3,.200,.273,.200,.473,2,0,0,0,0,0,1
Gary Sanchez,22,35,146,132,17,39,9,0,6,26,1,2,11,28,.295,.349,.500,.849,66,7,1,0,2,0,1
Rob Segedin,26,46,181,162,24,45,8,1,4,15,2,0,15,34,.278,.350,.414,.764,67,5,3,1,0,0,1
Mason Williams*,23,20,91,81,12,26,7,1,0,11,2,1,8,6,.321,.382,.432,.814,35,3,0,2,0,1,1
