Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Anthony Aliotti*,27,88,327,295,21,76,12,0,1,33,0,0,27,81,.258,.320,.308,.628,91,11,1,2,2,3,0
Bryan Anderson*,28,82,322,292,31,59,16,0,3,25,0,0,27,93,.202,.273,.288,.561,84,5,2,0,1,0,1
Matt Angle*,29,2,9,7,1,3,0,0,0,0,1,0,2,2,.429,.556,.429,.984,3,0,0,0,0,0,1
Carson Blair,25,33,126,113,9,25,3,0,3,8,0,0,9,34,.221,.280,.327,.607,37,3,1,1,2,0,1
Billy Burns#,25,22,101,91,18,28,2,3,0,3,5,2,9,17,.308,.370,.396,.766,36,0,0,1,0,0,1
Luke Carlin#,34,34,131,103,6,15,7,0,0,11,0,1,23,24,.146,.315,.214,.529,22,6,3,1,1,0,1
Alden Carrithers*,30,46,179,154,21,44,4,1,1,8,5,1,22,17,.286,.379,.344,.723,53,3,1,2,0,0,0
Matt Carson,33,33,126,110,19,23,5,0,3,13,3,1,10,22,.209,.296,.336,.632,37,3,4,1,1,0,1
Ike Davis*,28,5,21,21,2,5,1,0,0,5,0,0,0,5,.238,.238,.286,.524,6,1,0,0,0,0,1
Blake Forsythe,25,5,16,15,0,4,1,0,0,0,0,0,1,4,.267,.313,.333,.646,5,0,0,0,0,0,0
Nate Freiman,28,79,305,277,20,61,14,1,4,31,1,0,21,51,.220,.279,.321,.600,89,14,3,0,4,0,1
Craig Gentry,31,101,446,398,64,102,13,0,5,25,25,7,36,76,.256,.319,.327,.646,130,9,3,4,5,0,1
James Harris,21,4,17,13,2,2,0,0,0,1,3,0,3,6,.154,.294,.154,.448,2,1,0,0,1,0,0
Alex Hassan,27,4,15,14,0,1,0,0,0,0,0,0,1,3,.071,.133,.071,.205,1,2,0,0,0,0,1
Tyler Ladendorf,27,20,90,83,3,22,2,1,1,8,0,1,5,23,.265,.311,.349,.661,29,1,1,0,1,0,1
Kent Matthes,28,57,239,215,23,50,19,1,2,28,4,0,17,44,.233,.294,.358,.652,77,3,3,1,3,1,0
Brent Morel,28,34,146,136,19,45,12,0,2,24,2,1,7,30,.331,.370,.463,.833,63,5,2,0,1,0,1
Max Muncy*,24,60,243,212,24,58,14,1,4,35,0,1,26,58,.274,.350,.406,.755,86,5,1,0,4,1,1
Andy Parrino#,29,80,321,287,32,78,9,3,5,24,0,2,30,81,.272,.344,.376,.720,108,7,2,1,1,0,1
Jason Pridie*,31,127,540,478,84,148,24,7,20,89,20,3,55,102,.310,.380,.515,.894,246,5,2,0,5,5,1
Rangel Ravelo,23,28,112,101,10,28,5,1,1,18,0,0,7,22,.277,.324,.376,.701,38,1,1,1,2,0,1
Nick Rickles,25,2,7,7,1,1,1,0,0,1,0,0,0,1,.143,.143,.286,.429,2,0,0,0,0,0,0
Ryan Roberts,34,114,499,442,53,125,33,1,13,58,0,5,51,63,.283,.355,.450,.805,199,17,1,0,5,3,1
Niuman Romero#,30,72,272,234,16,65,9,1,0,16,2,4,31,39,.278,.363,.325,.688,76,10,2,2,3,3,1
Jake Smolinski,26,25,97,86,16,30,9,0,5,17,2,1,8,9,.349,.402,.628,1.030,54,1,1,0,2,0,1
Dayán Viciedo,26,30,124,113,13,25,6,2,1,8,0,0,7,21,.221,.282,.336,.619,38,5,3,0,1,0,1
Joey Wendle*,25,137,618,577,80,167,42,8,10,57,12,2,22,114,.289,.323,.442,.765,255,9,9,5,5,1,1
Ben Zobrist#,34,3,13,10,3,3,0,0,0,2,0,0,2,3,.300,.385,.300,.685,3,0,0,0,1,0,1
