Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Lana Akau,19,8,31,27,4,8,1,0,1,4,0,0,2,4,.296,.387,.444,.832,12,0,2,0,0,0,0,2015,Short-Season A,OAK
Skye Bolt#,21,52,206,181,26,43,10,2,4,19,2,1,24,44,.238,.325,.381,.706,69,5,0,0,1,1,1,2015,Short-Season A,OAK
Seth Brown*,22,62,267,239,32,69,19,3,3,35,6,2,25,51,.289,.356,.431,.787,103,2,1,0,2,0,1,2015,Short-Season A,OAK
Nick Collins*,21,34,132,117,14,30,2,0,2,15,1,0,13,14,.256,.333,.325,.658,38,0,1,0,1,0,0,2015,Short-Season A,OAK
Vicmal De La Cruz*,21,19,68,61,6,9,4,1,0,2,0,0,5,17,.148,.221,.246,.466,15,0,1,0,1,0,0,2015,Short-Season A,OAK
Jordan Devencenzi,22,11,41,37,4,9,1,0,0,1,0,0,3,2,.243,.317,.270,.587,10,3,1,0,0,0,0,2015,Short-Season A,OAK
Shawn Duinkerk*,20,6,26,24,4,9,1,0,0,3,0,0,2,6,.375,.423,.417,.840,10,0,0,0,0,0,0,2015,Short-Season A,OAK
Tom Gavitt,22,9,38,37,5,8,4,0,0,2,0,0,1,14,.216,.237,.324,.561,12,2,0,0,0,0,0,2015,Short-Season A,OAK
Ryan Howell,22,49,188,166,18,33,8,0,5,19,0,3,17,42,.199,.278,.337,.615,56,1,2,1,2,0,0,2015,Short-Season A,OAK
Chris Iriart,20,69,289,256,35,59,18,0,5,45,0,1,23,86,.230,.304,.359,.664,92,6,6,0,4,0,0,2015,Short-Season A,OAK
Seong-min Kim,22,31,124,110,7,22,3,1,4,15,1,2,11,29,.200,.274,.355,.629,39,4,1,0,2,0,0,2015,Short-Season A,OAK
Trace Loehr*,20,67,280,254,33,67,6,1,2,31,4,4,21,41,.264,.325,.319,.644,81,1,3,0,2,0,0,2015,Short-Season A,OAK
Jesus Lopez,18,55,210,202,14,41,5,0,0,10,2,1,6,40,.203,.233,.228,.461,46,6,2,0,0,0,0,2015,Short-Season A,OAK
Richie Martin,20,51,226,190,31,45,6,4,2,16,7,7,25,47,.237,.353,.342,.695,65,2,9,2,0,1,1,2015,Short-Season A,OAK
Robert Martinez,21,4,17,13,1,0,0,0,0,0,0,0,3,6,.000,.188,.000,.188,0,0,0,1,0,0,0,2015,Short-Season A,OAK
Steven Pallares,22,67,292,240,38,59,7,2,2,18,6,2,40,39,.246,.363,.317,.680,76,6,7,0,5,1,0,2015,Short-Season A,OAK
Argenis Raga,20,5,20,17,1,4,0,0,1,4,0,1,2,1,.235,.350,.412,.762,7,3,1,0,0,0,0,2015,Short-Season A,OAK
Gabriel Santana,22,15,62,56,8,13,1,0,2,5,0,0,1,7,.232,.295,.357,.652,20,1,4,1,0,0,0,2015,Short-Season A,OAK
Brett Siddall*,20,43,176,159,17,42,11,1,4,29,1,1,9,32,.264,.324,.421,.745,67,5,6,0,2,0,0,2015,Short-Season A,OAK
Mikey White,21,29,131,111,18,35,10,0,2,16,0,2,14,29,.315,.405,.459,.864,51,1,4,0,2,2,0,2015,Short-Season A,OAK
