Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Stephen Vogt*,31,137,532,490,54,123,30,2,14,56,0,0,35,83,.251,.305,.406,.711,199,6,4,0,3,3,1,2016,MLB,OAK
Yonder Alonso*,29,156,532,482,52,122,34,0,7,56,3,1,45,74,.253,.316,.367,.683,177,15,1,0,4,1,1,2016,MLB,OAK
Jed Lowrie#,32,87,369,338,30,89,12,1,2,27,0,0,26,65,.263,.314,.322,.637,109,10,1,0,4,0,1,2016,MLB,OAK
Marcus Semien,25,159,621,568,72,135,27,2,27,75,10,2,51,139,.238,.300,.435,.735,247,12,0,1,1,1,1,2016,MLB,OAK
Ryon Healy,24,72,283,269,36,82,20,0,13,37,0,0,12,60,.305,.337,.524,.861,141,7,1,1,0,1,1,2016,MLB,OAK
Khris Davis,28,150,610,555,85,137,24,2,42,102,1,2,42,166,.247,.307,.524,.831,291,19,8,0,5,0,1,2016,MLB,OAK
Billy Burns#,26,73,292,274,32,64,11,4,0,12,14,3,10,30,.234,.270,.303,.573,83,3,4,3,1,2,1,2016,MLB,OAK
Josh Reddick*,29,68,272,243,33,72,11,1,8,28,5,0,28,34,.296,.368,.449,.816,109,7,0,0,1,5,1,2016,MLB,OAK
Billy Butler,30,85,242,221,24,61,16,0,4,31,0,0,19,34,.276,.331,.403,.733,89,13,0,0,2,1,1,2016,MLB,OAK
Danny Valencia,31,130,517,471,72,135,22,1,17,51,1,1,41,115,.287,.346,.446,.792,210,11,3,0,2,1,1,2016,MLB,OAK
Coco Crisp#,36,102,434,393,45,92,24,4,11,47,7,5,37,65,.234,.299,.399,.698,157,6,0,2,2,2,1,2016,MLB,OAK
Jake Smolinski,27,99,319,290,28,69,6,2,7,27,1,2,19,44,.238,.299,.345,.644,100,11,7,1,2,0,1,2016,MLB,OAK
Chris Coghlan*,31,51,172,158,14,23,5,0,5,14,1,1,13,47,.146,.215,.272,.487,43,2,1,0,0,1,1,2016,MLB,OAK
Max Muncy*,25,51,133,113,13,21,2,0,2,8,0,0,20,24,.186,.308,.257,.565,29,2,0,0,0,1,1,2016,MLB,OAK
Brett Eibner,27,44,123,109,10,18,4,1,3,12,0,2,13,27,.165,.252,.303,.555,33,2,0,0,1,0,1,2016,MLB,OAK
Joey Wendle*,26,28,104,96,11,25,1,0,1,11,2,0,6,16,.260,.298,.302,.600,29,3,0,0,2,0,1,2016,MLB,OAK
Bruce Maxwell*,25,33,101,92,8,26,6,1,1,14,0,0,8,24,.283,.337,.402,.739,37,2,0,0,1,0,1,2016,MLB,OAK
Josh Phegley,28,25,86,78,11,20,6,0,1,10,0,0,5,13,.256,.314,.372,.686,29,4,2,0,1,0,1,2016,MLB,OAK
Chad Pinder,24,22,55,51,4,12,4,0,1,4,0,0,3,14,.235,.273,.373,.645,19,1,0,0,1,0,1,2016,MLB,OAK
Tyler Ladendorf,28,44,50,48,6,4,0,0,0,1,2,0,1,13,.083,.102,.083,.185,4,3,0,1,0,0,1,2016,MLB,OAK
Matt McBride,31,20,44,43,4,9,3,0,0,2,0,0,1,10,.209,.227,.279,.506,12,0,0,0,0,0,1,2016,MLB,OAK
Mark Canha,27,16,44,41,4,5,0,0,3,6,0,1,0,20,.122,.140,.341,.481,14,1,1,1,1,0,1,2016,MLB,OAK
Matt Olson*,22,11,28,21,3,2,1,0,0,0,0,0,7,4,.095,.321,.143,.464,3,1,0,0,0,0,1,2016,MLB,OAK
Arismendy Alcantara#,24,16,19,19,2,4,1,0,0,2,3,3,0,8,.211,.211,.263,.474,5,1,0,0,0,0,1,2016,MLB,OAK
Renato Nunez,22,9,15,15,0,2,0,0,0,1,0,0,0,3,.133,.133,.133,.267,2,0,0,0,0,0,1,2016,MLB,OAK
Andrew Lambo*,27,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1,2016,MLB,OAK
