Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Nick Ciuffo*,22,102,417,371,42,91,29,1,7,42,2,0,42,95,.245,.319,.385,.704,143,9,0,0,4,3,1,2017,AA,TBR
Jake Cronenworth*,23,38,179,158,15,45,6,0,1,20,1,1,19,19,.285,.363,.342,.705,54,4,1,0,1,0,1,2017,AA,TBR
Granden Goetzman,24,24,95,89,13,20,4,3,3,15,6,1,6,22,.225,.274,.438,.712,39,3,0,0,0,0,0,2017,AA,TBR
Cade Gotta,25,94,390,341,47,96,17,2,5,47,31,10,46,65,.282,.364,.387,.751,132,4,0,0,3,1,0,2017,AA,TBR
Mac James,24,48,172,154,14,37,5,0,1,12,0,3,13,30,.240,.300,.292,.592,45,3,1,2,2,0,0,2017,AA,TBR
Grant Kay,24,110,472,417,62,109,36,5,7,54,14,4,44,88,.261,.337,.422,.759,176,10,6,0,5,0,0,2017,AA,TBR
Dalton Kelly*,22,53,231,192,34,58,18,1,7,35,6,1,30,58,.302,.410,.516,.926,99,2,6,2,1,0,0,2017,AA,TBR
Braxton Lee*,23,67,298,262,47,84,9,3,2,16,12,11,29,56,.321,.391,.401,.792,105,4,2,4,1,2,1,2017,AA,TBR
Brandon Lowe*,22,24,101,95,8,24,5,1,2,12,1,1,2,26,.253,.270,.389,.659,37,0,1,1,2,0,1,2017,AA,TBR
Nathan Lukes*,22,98,404,359,46,97,15,5,3,35,6,8,32,71,.270,.330,.365,.695,131,5,3,4,6,1,0,2017,AA,TBR
Joe McCarthy*,23,127,553,454,76,129,31,8,7,56,20,5,90,94,.284,.409,.434,.843,197,6,7,0,2,2,1,2017,AA,TBR
Justin O'Conner,25,65,274,242,27,57,15,1,7,41,3,0,20,72,.236,.304,.393,.697,95,9,6,1,5,1,0,2017,AA,TBR
Colby Rasmus*,30,6,23,20,3,2,1,0,1,2,0,0,2,7,.100,.174,.300,.474,6,0,0,0,1,0,1,2017,AA,TBR
Michael Russell,24,106,431,386,56,95,24,3,6,43,20,6,28,85,.246,.302,.370,.673,143,8,7,1,9,0,0,2017,AA,TBR
Alec Sole*,24,22,75,67,5,13,1,0,0,8,0,0,5,25,.194,.257,.209,.466,14,2,1,1,1,0,0,2017,AA,TBR
Brett Sullivan*,23,24,96,92,12,25,5,0,0,7,4,0,3,11,.272,.302,.326,.628,30,0,1,0,0,0,0,2017,AA,TBR
Riley Unroe#,21,75,298,245,33,55,10,3,2,30,6,5,41,69,.224,.337,.314,.651,77,0,2,7,3,0,0,2017,AA,TBR
Andrew Velazquez#,22,108,413,374,49,88,17,4,9,37,18,9,30,112,.235,.297,.374,.672,140,6,3,6,0,0,1,2017,AA,TBR
Justin Williams*,21,96,409,366,53,110,21,3,14,72,6,2,37,69,.301,.364,.489,.853,179,11,2,0,4,4,1,2017,AA,TBR
Kean Wong*,22,12,49,45,5,10,1,0,0,4,3,0,3,9,.222,.271,.244,.515,11,0,0,1,0,0,1,2017,AA,TBR
