Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Abraham Almonte#,28,23,92,77,11,20,6,1,2,6,3,1,15,13,.260,.380,.442,.822,34,4,0,0,0,4,1
Lonnie Chisenhall*,28,8,28,27,4,10,2,0,1,4,1,0,0,6,.370,.357,.556,.913,15,0,0,0,1,0,1
Chris Colabello,33,72,300,262,25,59,11,0,6,37,3,1,34,76,.225,.323,.336,.659,88,10,4,0,0,0,1
Yandy Díaz,25,85,374,309,56,108,17,1,5,33,1,2,60,56,.350,.454,.460,.914,142,11,1,2,2,1,1
Erik Gonzalez,25,40,170,160,21,41,4,3,6,13,5,1,7,53,.256,.286,.431,.717,69,0,0,2,1,0,1
Brandon Guyer,31,6,20,15,3,4,0,0,1,1,0,0,2,4,.267,.450,.467,.917,7,0,3,0,0,0,1
Eric Haase,24,2,8,6,1,2,0,0,1,2,0,0,1,2,.333,.500,.833,1.333,5,0,1,0,0,0,1
Todd Hankins,26,30,91,82,13,17,4,0,1,5,2,2,6,25,.207,.270,.293,.562,24,0,1,2,0,0,0
Austin Jackson,30,8,29,27,2,9,3,0,1,4,2,0,2,6,.333,.379,.556,.935,15,3,0,0,0,0,1
Jason Kipnis*,30,6,23,22,1,4,2,1,0,2,0,0,1,4,.182,.217,.364,.581,8,0,0,0,0,0,1
Erik Kratz,37,86,324,282,38,76,16,1,13,37,5,1,32,64,.270,.359,.472,.831,133,5,8,1,1,2,1
David Lough*,31,4,12,12,1,6,1,0,0,0,0,1,0,0,.500,.500,.583,1.083,7,1,0,0,0,0,1
Jeremy Lucas,26,19,50,43,2,6,0,0,0,3,0,1,3,13,.140,.260,.140,.400,6,2,4,0,0,0,0
Connor Marabell*,23,5,16,15,0,7,2,0,0,1,0,2,1,3,.467,.500,.600,1.100,9,0,0,0,0,0,0
Michael Martinez#,34,63,229,213,29,59,16,2,0,20,4,2,13,35,.277,.317,.371,.688,79,7,0,2,1,1,1
Jose Medina*,22,1,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,0
Adam Moore,33,76,276,244,26,58,6,1,8,33,0,0,25,87,.238,.313,.369,.682,90,9,3,1,3,0,1
Tyler Naquin*,26,80,330,295,42,88,14,4,10,51,5,2,30,71,.298,.359,.475,.833,140,4,0,1,4,1,1
Mike Papi*,24,37,148,119,20,28,5,0,2,18,1,1,20,25,.235,.354,.328,.681,39,1,4,1,4,1,0
Daniel Robertson,31,57,231,209,29,67,8,0,1,16,12,6,21,35,.321,.383,.373,.756,78,2,0,1,0,1,1
Nellie Rodriguez,23,120,433,377,38,64,14,0,17,49,0,0,53,181,.170,.271,.342,.613,129,6,0,1,2,1,0
Ronny Rodriguez,25,117,483,447,60,130,18,2,17,64,15,5,23,92,.291,.324,.454,.778,203,9,1,7,5,0,1
Joe Sever,26,2,3,2,2,1,0,0,0,0,0,0,0,1,.500,.667,.500,1.167,1,0,1,0,0,0,0
Richie Shaffer,26,131,546,463,69,105,18,1,30,89,4,0,67,188,.227,.338,.464,.802,215,9,12,1,3,2,1
Jordan Smith*,26,56,162,150,11,23,4,1,1,11,3,4,8,38,.153,.200,.213,.413,32,6,1,2,1,0,0
Eric Stamets,25,101,380,334,49,84,23,0,15,47,8,0,30,87,.251,.324,.455,.779,152,1,7,6,3,0,1
Gio Urshela,25,76,325,297,34,79,12,1,6,34,0,0,20,45,.266,.321,.374,.695,111,8,5,1,2,1,1
Josh Wilson,36,54,179,155,26,32,9,0,2,9,1,1,11,41,.206,.291,.303,.595,47,1,8,4,1,0,1
Bradley Zimmer*,24,33,144,126,22,37,11,2,5,14,9,3,14,43,.294,.371,.532,.902,67,0,2,1,1,1,1
