Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Michael Arroyo,21,4,12,12,0,1,0,0,0,2,0,0,0,6,.083,.083,.083,.167,1,0,0,0,0,0,0
Max Bartlett,22,6,23,18,5,5,1,0,1,3,0,2,5,2,.278,.435,.500,.935,9,0,0,0,0,0,0
Montae Bradshaw,21,28,106,87,13,21,3,1,0,11,0,0,8,17,.241,.310,.299,.609,26,2,2,6,3,0,0
Jose Caraballo,20,43,174,161,21,35,13,1,4,17,0,0,9,70,.217,.260,.385,.645,62,1,1,1,2,0,0
Brady Cox,22,23,71,55,14,8,0,1,1,4,1,0,10,16,.145,.338,.236,.574,13,1,6,0,0,0,0
Nick Heath*,23,4,19,16,3,4,1,0,0,3,3,0,3,2,.250,.368,.313,.681,5,0,0,0,0,0,1
Isaiah Henry,18,32,119,99,13,20,1,1,0,3,7,6,18,43,.202,.336,.232,.568,23,1,2,0,0,1,0
Brewer Hicklen,21,19,82,69,19,24,3,3,3,13,13,3,9,24,.348,.439,.609,1.048,42,0,3,0,1,0,0
Tyler James,20,46,190,159,35,41,8,5,0,10,31,1,20,38,.258,.353,.371,.724,59,3,4,6,1,0,0
Travis Jones,21,9,41,33,10,16,1,1,0,6,4,2,4,2,.485,.585,.576,1.161,19,2,4,0,0,0,0
Raymond Lopez#,18,3,12,11,1,2,1,1,0,2,0,0,1,6,.182,.250,.455,.705,5,0,0,0,0,0,0
Josh Lovelady,23,18,58,54,5,13,2,0,0,7,1,1,4,8,.241,.293,.278,.571,15,2,0,0,0,0,0
Andres Martin,20,21,82,73,7,20,0,1,0,6,2,4,8,17,.274,.346,.301,.647,22,1,0,1,0,1,0
Angel Medina,18,43,164,157,20,40,2,7,2,17,3,2,5,50,.255,.280,.395,.675,62,1,1,0,1,0,0
MJ Melendez*,18,47,198,168,25,44,8,3,4,30,4,2,26,60,.262,.374,.417,.790,70,1,4,0,0,0,0
Parker Morin*,25,7,26,25,3,7,2,1,1,6,0,0,1,2,.280,.308,.560,.868,14,1,0,0,0,0,0
Cristian Perez,18,48,219,196,28,53,15,0,1,23,6,6,16,31,.270,.327,.362,.689,71,4,2,2,3,0,0
Nick Pratto*,18,52,230,198,25,49,15,3,4,34,10,4,24,58,.247,.330,.414,.745,82,1,3,0,5,0,0
Mauricio Ramos,25,4,16,14,3,6,1,0,0,3,0,0,1,1,.429,.500,.500,1.000,7,1,1,0,0,0,0
Rafael Romero,18,16,59,50,8,10,2,0,0,9,0,0,5,15,.200,.276,.240,.516,12,4,1,1,2,0,0
Esteury Ruiz,18,21,91,86,22,36,10,6,3,23,9,0,4,20,.419,.440,.779,1.219,67,1,0,0,1,0,0
Isaiah Smith,18,37,147,135,17,20,5,1,2,14,4,0,7,39,.148,.205,.244,.450,33,5,3,1,1,0,0
