Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Luis Arraez*,21,48,195,178,25,53,6,0,2,16,2,0,13,16,.298,.345,.365,.711,65,4,1,1,2,1,1
Edgar Corcino#,26,56,237,208,32,55,14,3,5,32,3,1,22,37,.264,.338,.433,.770,90,7,3,0,4,1,0
Joe Cronin,24,9,32,26,3,3,0,0,0,0,0,0,4,11,.115,.281,.115,.397,3,0,2,0,0,0,0
Jaylin Davis,23,63,267,240,30,66,14,2,6,34,5,2,21,69,.275,.341,.425,.766,102,5,4,0,2,0,1
Tanner English,25,98,331,299,42,66,17,6,4,28,13,8,21,97,.221,.276,.358,.634,107,1,3,5,3,0,0
Nick Gordon*,22,42,181,162,22,54,10,3,5,20,7,2,11,27,.333,.381,.525,.906,85,3,4,0,4,0,1
Jordan Gore#,23,41,153,136,24,34,7,3,1,18,1,0,15,29,.250,.320,.368,.688,50,3,0,0,2,0,0
Jimmy Kerrigan,24,55,209,195,21,44,7,0,6,21,0,3,10,67,.226,.268,.354,.622,69,4,2,0,2,0,0
Mitchell Kranson*,24,56,218,187,15,49,9,1,3,20,0,1,26,36,.262,.349,.369,.718,69,5,1,0,4,1,0
Sean Miller,23,46,164,150,20,33,5,0,1,8,1,0,10,36,.220,.278,.273,.551,41,6,2,2,0,0,0
Taylor Motter,28,4,16,15,2,2,1,0,0,0,0,0,1,6,.133,.188,.200,.388,3,1,0,0,0,0,1
Brian Navarreto,23,97,380,357,37,88,19,0,4,28,0,1,14,57,.246,.286,.333,.619,119,18,6,2,1,0,1
Brian Olson,25,17,67,58,8,12,1,0,0,3,0,0,8,19,.207,.303,.224,.527,13,1,0,1,0,0,0
Chris Paul,25,92,366,338,48,86,22,1,6,48,2,0,21,75,.254,.303,.379,.682,128,6,4,0,3,1,0
Alex Perez*,25,70,280,241,28,60,8,2,0,28,2,0,35,55,.249,.346,.299,.645,72,5,2,0,2,0,0
Luke Raley*,23,27,116,98,15,27,2,3,3,16,1,0,12,32,.276,.371,.449,.820,44,0,4,0,2,0,1
James Ramsey*,28,26,109,92,17,23,1,0,4,10,2,1,16,24,.250,.367,.391,.758,36,2,1,0,0,0,0
Alex Robles,22,5,16,14,0,2,0,0,0,1,0,0,2,2,.143,.250,.143,.393,2,1,0,0,0,0,0
Brent Rooker,23,130,568,503,72,128,32,4,22,79,6,1,56,150,.254,.333,.465,.798,234,15,5,0,4,3,1
Wynston Sawyer,26,13,41,35,4,5,1,0,1,2,0,0,5,5,.143,.268,.257,.525,9,0,1,0,0,0,0
LaMonte Wade Jr*,24,46,201,171,30,51,2,1,7,27,5,2,26,20,.298,.393,.444,.837,76,4,2,0,2,1,1
Ryan Walker*,26,55,205,181,20,41,3,0,4,21,4,2,22,34,.227,.317,.309,.626,56,6,2,0,0,0,0
T.J. White,26,39,146,134,12,25,4,0,4,14,1,2,8,38,.187,.253,.306,.559,41,2,4,0,0,0,0
Zander Wiel,25,101,435,386,53,120,27,2,7,58,8,4,40,82,.311,.382,.446,.827,172,7,6,0,3,4,0
Andy Wilkins*,29,40,159,136,21,30,5,1,12,28,1,0,21,40,.221,.333,.537,.870,73,0,2,0,0,1,1
