Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Jim Adduci*,33,70,296,272,39,84,22,1,7,44,8,1,22,60,.309,.358,.474,.832,129,5,0,0,2,1,1,2018,AAA,DET
Daz Cameron,21,15,62,57,8,12,4,1,0,6,2,2,2,15,.211,.246,.316,.562,18,2,1,1,1,0,1,2018,AAA,DET
Jeimer Candelario#,24,2,9,8,3,2,0,0,0,1,0,0,1,1,.250,.333,.250,.583,2,0,0,0,0,0,1,2018,AAA,DET
Harold Castro*,24,74,251,241,24,62,8,0,2,19,3,3,5,47,.257,.270,.315,.586,76,8,0,3,2,0,1,2018,AAA,DET
Willi Castro#,21,5,21,21,0,6,0,0,0,2,1,0,0,5,.286,.286,.286,.571,6,0,0,0,0,0,1,2018,AAA,DET
Kody Eaves*,24,22,82,75,7,12,4,1,0,4,0,0,6,21,.160,.232,.240,.472,18,0,1,0,0,1,0,2018,AAA,DET
Edwin Espinal,24,100,383,335,38,81,8,0,6,24,0,0,40,65,.242,.330,.319,.649,107,12,5,1,2,1,0,2018,AAA,DET
Mike Gerber*,25,74,316,287,35,61,14,2,13,34,2,2,22,103,.213,.277,.411,.688,118,2,4,2,1,0,1,2018,AAA,DET
Grayson Greiner,25,46,180,158,12,42,8,1,4,23,0,0,21,42,.266,.350,.405,.755,64,2,0,0,1,0,1,2018,AAA,DET
Chad Huffman,33,85,334,291,40,78,17,1,12,40,0,1,33,78,.268,.359,.457,.816,133,7,9,0,1,0,1,2018,AAA,DET
JaCoby Jones,26,3,12,12,1,1,0,0,0,0,0,0,0,3,.083,.083,.083,.167,1,1,0,0,0,0,1,2018,AAA,DET
Pete Kozma,30,84,296,271,23,55,18,2,1,17,6,1,19,52,.203,.260,.295,.555,80,5,3,0,3,0,1,2018,AAA,DET
Jason Krizan*,29,106,415,368,49,92,19,2,8,55,4,0,46,67,.250,.333,.378,.710,139,4,0,0,1,1,0,2018,AAA,DET
Dawel Lugo,23,123,523,509,56,137,26,3,3,59,12,4,9,66,.269,.283,.350,.633,178,10,2,0,3,0,1,2018,AAA,DET
Dixon Machado,26,43,171,147,19,33,5,0,1,8,4,2,18,28,.224,.321,.279,.600,41,1,3,3,0,0,1,2018,AAA,DET
Mikie Mahtook,28,72,315,283,40,71,12,6,11,35,6,4,25,82,.251,.321,.452,.773,128,8,5,0,2,2,1,2018,AAA,DET
Leonys Martín*,30,3,12,10,2,3,2,0,0,1,0,0,1,3,.300,.417,.500,.917,5,0,1,0,0,0,1,2018,AAA,DET
Gabriel Quintana,25,4,16,15,1,2,2,0,0,2,0,0,0,5,.133,.188,.267,.454,4,0,1,0,0,0,0,2018,AAA,DET
Jacob Robson*,23,57,245,220,36,67,13,1,4,15,7,6,23,62,.305,.369,.427,.796,94,3,0,1,1,0,1,2018,AAA,DET
Herlis Rodriguez*,24,6,22,22,0,4,0,1,0,1,0,1,0,5,.182,.182,.273,.455,6,0,0,0,0,0,0,2018,AAA,DET
Ronny Rodriguez,26,63,275,260,42,88,20,5,9,40,10,8,10,47,.338,.365,.558,.923,145,2,2,1,2,0,1,2018,AAA,DET
Jarrod Saltalamacchia#,33,67,253,218,21,38,7,1,5,28,1,1,33,81,.174,.285,.284,.569,62,5,1,0,1,0,1,2018,AAA,DET
Warwick Saupold,28,17,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,2018,AAA,DET
Kade Scivicque,25,34,124,113,6,26,7,0,2,8,0,0,7,18,.230,.285,.345,.630,39,3,2,1,1,0,0,2018,AAA,DET
Christin Stewart*,24,122,522,444,69,117,21,3,23,77,0,0,67,108,.264,.364,.480,.844,213,6,6,0,5,2,1,2018,AAA,DET
Kenny Wilson,28,10,38,34,5,6,0,0,2,2,0,0,3,11,.176,.263,.353,.616,12,0,1,0,0,0,0,2018,AAA,DET
