Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Will Albertson,24,2,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,2018,AAA,SFG
Shaun Anderson,23,8,11,10,0,1,0,0,0,0,0,0,0,5,.100,.100,.100,.200,1,0,0,1,0,0,1,2018,AAA,SFG
Jeff Arnold,30,13,48,42,2,5,1,0,0,2,0,0,6,21,.119,.229,.143,.372,6,2,0,0,0,0,0,2018,AAA,SFG
Abiatal Avelino,23,3,13,13,2,2,0,0,0,1,2,0,0,3,.154,.154,.154,.308,2,0,0,0,0,0,1,2018,AAA,SFG
Tyler Beede,25,33,12,9,1,1,0,0,0,1,0,0,1,4,.111,.200,.111,.311,1,0,0,2,0,0,1,2018,AAA,SFG
Brandon Belt*,30,2,5,5,0,1,1,0,0,0,0,0,0,0,.200,.200,.400,.600,2,0,0,0,0,0,1,2018,AAA,SFG
Gregor Blanco*,34,60,194,170,20,42,7,2,4,13,2,1,23,40,.247,.337,.382,.719,65,3,0,1,0,0,1,2018,AAA,SFG
Peter Bourjos,31,44,173,162,20,48,7,4,2,14,0,2,7,35,.296,.335,.426,.761,69,3,3,0,1,0,1,2018,AAA,SFG
Trevor Brown,26,41,145,128,11,31,4,0,0,12,2,0,16,24,.242,.331,.273,.604,35,6,1,0,0,1,1,2018,AAA,SFG
Madison Bumgarner,28,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,1,2018,AAA,SFG
Orlando Calixte,26,125,437,400,52,108,15,3,11,48,14,1,32,96,.270,.323,.405,.728,162,10,1,0,4,0,1,2018,AAA,SFG
Daniel Camarena*,25,16,22,20,2,3,0,0,0,0,0,0,0,9,.150,.150,.150,.300,3,0,0,2,0,0,1,2018,AAA,SFG
Mike Connolly,26,9,8,7,0,1,1,0,0,0,0,0,0,3,.143,.143,.286,.429,2,1,0,1,0,0,0,2018,AAA,SFG
Johnny Cueto,32,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1,2018,AAA,SFG
Chase d'Arnaud,31,76,300,253,54,74,14,4,12,43,15,3,40,65,.292,.393,.522,.915,132,3,4,0,3,2,1,2018,AAA,SFG
Dylan Davis,24,3,8,8,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,1,0,0,0,0,0,2018,AAA,SFG
Steven Duggar*,24,78,356,316,52,86,27,4,4,21,11,4,39,103,.272,.354,.421,.775,133,4,1,0,0,2,1,2018,AAA,SFG
Jose Flores,29,14,6,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,1,0,1,0,0,0,2018,AAA,SFG
Ronnie Freeman,27,61,217,201,15,53,7,1,3,29,0,0,12,41,.264,.304,.353,.657,71,7,1,0,3,0,0,2018,AAA,SFG
Matt Gage,25,11,12,11,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,0,0,0,1,0,0,0,2018,AAA,SFG
Aramis Garcia,25,10,41,38,5,9,1,0,0,4,0,0,2,12,.237,.268,.263,.531,10,1,0,0,1,0,1,2018,AAA,SFG
Caleb Gindl*,29,29,59,47,7,13,5,0,0,6,0,1,9,15,.277,.386,.383,.769,18,0,0,2,1,0,1,2018,AAA,SFG
