Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Max Stassi,27,88,250,221,28,50,13,0,8,27,0,0,23,74,.226,.316,.394,.710,87,6,6,0,0,0,1
Yuli Gurriel,34,136,573,537,70,156,33,1,13,85,5,1,23,63,.291,.323,.428,.751,230,22,6,0,7,0,1
Jose Altuve,28,137,599,534,84,169,29,2,13,61,17,4,55,79,.316,.386,.451,.837,241,17,6,3,1,4,1
Carlos Correa,23,110,468,402,60,96,20,1,15,65,3,0,53,111,.239,.323,.405,.728,163,17,2,0,11,3,1
Alex Bregman,24,157,705,594,105,170,51,1,31,103,10,4,96,85,.286,.394,.532,.926,316,15,12,0,3,2,1
Marwin Gonzalez#,29,145,552,489,61,121,25,3,16,68,2,3,53,126,.247,.324,.409,.733,200,14,3,5,2,3,1
Jake Marisnick,27,103,235,213,34,45,8,1,10,28,6,2,15,84,.211,.275,.399,.674,85,6,4,1,1,1,1
Josh Reddick*,31,134,487,433,63,105,13,2,17,47,7,2,49,77,.242,.318,.400,.718,173,9,0,1,2,3,1
Evan Gattis,31,128,451,407,49,92,17,0,25,78,1,0,33,101,.226,.284,.452,.736,184,13,3,0,8,2,1
George Springer,28,140,620,544,102,144,26,0,22,71,6,4,64,122,.265,.346,.434,.780,236,12,5,0,3,0,1
Tony Kemp*,26,97,295,255,37,67,15,0,6,30,9,3,32,44,.263,.351,.392,.743,100,7,3,3,1,1,1
Tyler White,27,66,237,210,27,58,12,3,12,42,0,1,24,49,.276,.354,.533,.888,112,1,2,0,1,0,1
Brian McCann*,34,63,216,189,22,40,3,0,7,23,0,1,19,40,.212,.301,.339,.640,64,7,6,0,2,0,1
Martin Maldonado,31,41,114,108,15,25,4,1,4,12,0,0,3,25,.231,.257,.398,.655,43,5,1,1,1,0,1
J.D. Davis,25,42,113,103,9,18,2,0,1,5,0,0,10,29,.175,.248,.223,.471,23,3,0,0,0,0,1
Derek Fisher*,24,42,86,79,13,13,2,2,4,11,2,0,5,42,.165,.209,.392,.602,31,0,0,0,2,0,1
Kyle Tucker*,21,28,72,64,10,9,2,1,0,4,1,1,6,13,.141,.236,.203,.439,13,1,2,0,0,0,1
Tim Federowicz,30,10,35,34,4,7,3,0,0,2,0,0,1,13,.206,.229,.294,.523,10,1,0,0,0,0,1
Myles Straw,23,9,10,9,4,3,0,0,1,1,2,0,1,0,.333,.400,.667,1.067,6,0,0,0,0,0,1
AJ Reed*,25,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1
