Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
CJ Abrams*,18,2,9,8,1,2,1,0,0,0,1,0,1,0,.250,.333,.375,.708,3,0,0,0,0,0,0
Kelvin Alarcon#,20,12,46,42,1,8,2,0,0,1,0,0,3,14,.190,.261,.238,.499,10,3,1,0,0,0,0
Luis Almanzar,19,53,202,175,13,32,3,1,3,20,2,1,23,64,.183,.275,.263,.538,46,4,0,2,2,0,0
Luke Becker#,23,20,81,68,13,10,2,0,1,6,1,1,11,14,.147,.275,.221,.496,15,4,1,1,0,0,0
Carlos Belen,23,34,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0
Tyler Benson*,23,20,77,68,16,19,4,2,0,7,7,0,9,13,.279,.364,.397,.761,27,0,0,0,0,0,0
Aldemar Burgos,22,9,30,26,6,6,3,0,0,1,0,0,4,5,.231,.333,.346,.679,9,0,0,0,0,0,0
Michael Curry,21,83,330,284,45,81,19,0,8,45,1,0,41,70,.285,.379,.437,.815,124,8,3,0,2,0,0
Xavier Edwards#,19,77,344,307,44,103,13,4,1,30,20,9,30,35,.336,.392,.414,.805,127,3,1,2,4,2,0
Nick Feight,23,14,49,42,4,5,1,0,0,2,0,1,4,8,.119,.224,.143,.367,6,1,2,0,1,1,0
Juan Fernandez,20,54,201,179,22,49,9,2,2,26,2,0,17,31,.274,.348,.380,.728,68,3,4,0,1,0,0
Nick Gatewood*,21,13,51,48,5,7,5,0,0,4,0,0,3,19,.146,.196,.250,.446,12,0,0,0,0,0,0
Chris Givin,22,13,49,42,3,7,3,0,0,5,1,0,4,9,.167,.265,.238,.503,10,1,2,0,1,0,0
Jawuan Harris,22,113,438,358,62,76,16,5,8,37,29,6,63,141,.212,.346,.352,.698,126,5,11,5,1,0,0
Blake Hunt,20,89,376,333,40,85,21,3,5,39,4,1,35,67,.255,.331,.381,.712,127,11,4,1,3,1,0
Jose Lezama#,21,5,17,15,1,3,1,0,0,2,0,0,2,3,.200,.294,.267,.561,4,1,0,0,0,0,0
Grant Little,21,70,290,254,26,65,15,0,0,21,6,0,29,44,.256,.338,.315,.653,80,6,3,3,1,0,0
Justin Lopez#,19,114,478,443,65,101,17,3,13,57,0,1,28,119,.228,.278,.368,.646,163,10,3,3,1,1,0
Tucupita Marcano*,19,111,504,460,55,124,19,3,2,45,15,16,35,45,.270,.323,.337,.660,155,4,3,3,3,0,1
Kelvin Melean,20,20,67,63,3,10,4,0,0,3,3,0,4,18,.159,.209,.222,.431,14,4,0,0,0,0,0
Ripken Reyes#,22,16,59,49,5,14,2,1,1,4,0,0,5,5,.286,.390,.429,.818,21,0,4,0,1,0,0
Luis Roman*,24,14,53,51,5,15,1,0,2,5,0,0,2,18,.294,.321,.431,.752,22,0,0,0,0,0,0
Agustin Ruiz*,19,120,510,443,49,106,26,2,4,55,2,1,51,127,.239,.320,.334,.654,148,12,6,1,9,1,0
Chandler Seagle,23,6,23,22,4,5,2,0,0,2,0,0,0,5,.227,.217,.318,.536,7,0,0,0,1,0,0
Ethan Skender,22,41,170,153,23,42,6,1,2,25,4,1,12,30,.275,.347,.366,.713,56,4,5,0,0,0,0
Lee Solomon,22,95,362,310,31,69,22,1,3,32,3,4,38,83,.223,.321,.329,.650,102,9,8,4,2,1,0
Dwanya Williams-Sutton,21,95,399,305,58,72,11,1,9,52,12,2,60,99,.236,.411,.367,.778,112,6,32,0,2,0,0
