Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Dom Abbadessa,21,26,105,90,11,17,3,2,0,5,3,3,12,28,.189,.305,.267,.571,24,3,3,0,0,0,0
John Aiello,22,77,301,260,35,67,18,0,8,32,4,2,25,96,.258,.352,.419,.771,109,4,14,0,2,0,0
Ronny Brito,20,5,15,15,1,3,1,0,0,0,0,0,0,7,.200,.200,.267,.467,4,0,0,0,0,0,0
Jake Brodt,23,96,400,349,38,83,14,3,13,45,12,4,45,133,.238,.330,.407,.737,142,6,4,0,2,1,0
Griffin Conine*,21,80,348,304,59,86,19,2,22,64,2,0,38,125,.283,.371,.576,.946,175,1,5,0,1,2,0
McGregory Contreras,20,32,124,114,13,24,6,2,1,11,0,1,9,51,.211,.268,.325,.593,37,4,0,1,0,1,0
Hagen Danner,20,80,307,271,31,46,8,5,12,33,4,1,27,96,.170,.254,.369,.623,100,6,5,0,4,1,0
Luis De Los Santos,21,25,84,78,11,16,4,1,0,2,1,2,6,19,.205,.262,.282,.544,22,1,0,0,0,0,0
Ryan Gold*,21,99,406,368,35,88,25,5,7,51,3,2,26,87,.239,.301,.391,.693,144,8,8,1,3,0,0
Jordan Groshans,19,23,96,83,12,28,6,0,2,13,1,1,13,21,.337,.427,.482,.909,40,3,0,0,0,0,0
Miguel Hiraldo,18,1,4,4,0,1,0,1,0,0,0,0,0,0,.250,.250,.750,1.000,3,0,0,0,0,0,0
Leo Jimenez,18,2,6,6,0,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,1,1,0,0,0,0,0
Alejandro Kirk,20,21,96,77,15,23,6,1,3,8,1,0,18,8,.299,.427,.519,.947,40,3,0,0,1,0,1
Tanner Kirwer,23,52,209,181,28,47,5,2,1,11,18,2,20,49,.260,.353,.326,.679,59,2,6,2,0,0,0
Rafael Lantigua,21,95,364,335,36,85,16,6,4,31,9,8,23,58,.254,.302,.373,.675,125,6,2,0,4,0,0
Jesus Lopez,22,3,9,8,1,5,1,0,0,2,0,0,1,2,.625,.667,.750,1.417,6,0,0,0,0,0,0
Otto Lopez,20,108,492,447,61,145,20,5,5,50,20,15,34,63,.324,.371,.425,.796,190,7,2,4,5,0,1
Gabriel Moreno,19,82,341,307,47,86,17,5,12,52,7,1,22,38,.280,.337,.485,.823,149,7,7,0,5,1,0
D.J. Neal,22,84,307,282,38,67,7,1,4,30,16,9,19,74,.238,.289,.312,.601,88,7,2,2,2,0,0
Nick Podkul,22,57,241,201,32,51,13,2,2,20,12,1,33,41,.254,.369,.368,.737,74,2,5,0,2,1,0
Reggie Pruitt,22,88,384,337,55,92,12,8,1,22,40,13,40,101,.273,.352,.365,.717,123,1,3,1,3,0,0
Yorman Rodriguez,21,22,99,96,17,33,7,2,1,19,2,1,2,6,.344,.354,.490,.843,47,6,0,0,1,0,0
Jesus Severino,22,13,44,40,2,5,1,1,0,2,0,1,4,10,.125,.205,.200,.405,8,1,0,0,0,0,0
Hunter Steinmetz*,22,75,275,236,38,51,11,2,2,25,14,4,30,61,.216,.311,.305,.616,72,4,4,2,3,0,0
LJ Talley*,22,52,208,183,25,35,6,1,6,27,1,0,18,39,.191,.266,.333,.599,61,1,2,1,4,0,0
