Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Akil Baddoo*,20,29,131,117,15,25,3,3,4,9,6,2,12,39,.214,.290,.393,.683,46,1,1,0,1,0,1
David Banuelos,22,45,160,153,7,25,4,1,0,11,1,0,3,62,.163,.200,.203,.403,31,3,4,0,0,0,0
Andrew Bechtold,23,59,215,190,18,52,8,1,2,26,2,0,23,52,.274,.349,.358,.707,68,3,0,0,2,1,0
Travis Blankenhorn*,22,15,61,52,6,14,4,0,1,3,0,0,9,12,.269,.377,.404,.781,21,3,0,0,0,1,1
Trey Cabbage*,22,81,309,284,41,63,19,3,9,37,5,1,21,97,.222,.282,.405,.686,115,6,3,0,1,3,0
Trevor Casanova*,23,3,11,11,0,3,1,0,0,0,0,0,0,3,.273,.273,.364,.636,4,1,0,0,0,0,0
Gilberto Celestino,20,8,33,30,6,9,4,0,0,3,0,0,2,4,.300,.333,.433,.767,13,0,0,0,1,0,1
Mark Contreras*,24,27,97,79,7,8,3,0,0,6,5,0,12,23,.101,.247,.139,.387,11,0,4,0,2,1,0
Ryan Costello*,23,69,258,216,35,46,11,0,8,25,0,0,40,64,.213,.337,.375,.712,81,2,1,0,1,2,0
C.J. Cron,29,1,4,4,1,1,0,0,1,1,0,0,0,0,.250,.250,1.000,1.250,4,0,0,0,0,0,1
Nelson Cruz,38,2,7,7,0,2,0,0,0,0,0,0,0,3,.286,.286,.286,.571,2,0,0,0,0,0,1
Michael Davis*,23,26,88,77,8,10,3,0,0,3,0,1,10,44,.130,.227,.169,.396,13,1,0,0,1,0,0
Ernie De La Trinidad*,23,55,201,181,24,44,5,2,3,20,0,0,14,36,.243,.308,.343,.651,62,3,4,0,2,1,0
Lewin Diaz*,22,57,234,214,34,62,11,1,13,36,0,0,14,40,.290,.333,.533,.866,114,2,2,0,4,0,1
Yeltsin Encarnacion*,21,29,102,91,9,24,3,0,1,14,1,1,8,18,.264,.333,.330,.663,30,0,2,0,1,1,0
Taylor Grzelakowski*,25,10,35,29,2,4,1,0,0,1,0,0,6,9,.138,.286,.172,.458,5,0,0,0,0,0,0
Michael Helman,23,82,306,284,26,56,13,1,3,25,3,3,17,40,.197,.243,.282,.524,80,5,1,1,3,0,0
Ryan Jeffers,22,79,315,281,35,72,11,0,10,40,0,0,28,64,.256,.330,.402,.732,113,7,4,0,2,0,1
Trevor Larnach*,22,84,361,320,33,101,26,1,6,44,4,1,35,74,.316,.382,.459,.842,147,8,2,0,4,4,1
Hunter Lee*,23,9,29,22,3,3,0,0,0,4,0,0,5,3,.136,.310,.136,.447,3,0,1,0,1,0,0
Royce Lewis,20,94,418,383,55,91,17,3,10,35,16,8,27,90,.238,.289,.376,.665,144,5,3,0,5,1,0
Gabriel Maciel#,20,55,229,199,29,52,6,2,3,17,14,7,21,30,.261,.342,.357,.699,71,3,5,1,3,0,0
Jose Miranda,21,118,478,440,48,109,25,1,8,55,0,0,24,54,.248,.299,.364,.663,160,18,10,0,4,0,0
Jacob Pearson*,21,35,134,122,12,32,9,2,1,9,7,0,10,22,.262,.313,.393,.707,48,0,0,0,2,0,0
Ben Rortvedt*,21,24,94,80,13,19,8,1,2,10,0,0,12,16,.238,.340,.438,.778,35,3,1,0,1,0,1
Miguel Sano,26,2,7,5,1,4,0,0,1,3,0,0,1,0,.800,.857,1.400,2.257,7,0,1,0,0,0,1
Brian Schales,23,9,36,33,3,6,2,0,0,3,0,1,3,11,.182,.250,.242,.492,8,1,0,0,0,0,0
Ronald Torreyes,26,2,9,9,0,2,0,0,0,0,0,0,0,2,.222,.222,.222,.444,2,0,0,0,0,0,1
Albee Weiss,23,2,6,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,0
Aaron Whitefield,22,81,295,268,27,59,17,0,4,22,25,8,20,89,.220,.279,.328,.607,88,3,3,1,3,0,1
Chris Williams,22,15,51,41,3,3,0,0,1,2,1,0,8,20,.073,.235,.146,.382,6,2,1,0,1,0,0
Malique Ziegler,22,18,55,48,3,7,2,0,0,1,1,0,7,18,.146,.255,.188,.442,9,2,0,0,0,0,0
