Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Osvaldo Abreu,25,102,404,359,45,95,23,0,5,41,9,6,35,99,.265,.343,.370,.714,133,7,8,2,0,0,0,2019,Adv A,WSN
Telmito Agustin*,22,112,432,394,39,93,19,3,9,42,9,6,30,107,.236,.289,.368,.657,145,15,1,3,4,0,0,2019,Adv A,WSN
Nick Banks*,24,69,304,280,41,76,21,0,9,35,2,2,19,54,.271,.327,.443,.770,124,6,4,1,0,0,0,2019,Adv A,WSN
Gage Canning*,22,101,410,369,44,88,17,6,3,40,8,4,32,114,.238,.310,.341,.651,126,3,6,3,0,0,0,2019,Adv A,WSN
Aldrem Corredor*,23,127,541,495,60,140,34,0,9,89,2,2,36,104,.283,.333,.406,.739,201,14,4,1,5,3,0,2019,Adv A,WSN
Austin Davidson*,26,24,101,89,10,21,5,0,0,8,1,2,11,19,.236,.327,.292,.619,26,4,1,0,0,0,0,2019,Adv A,WSN
Alex Dunlap,24,59,222,186,19,43,11,0,3,22,0,0,32,62,.231,.351,.339,.690,63,3,3,0,1,0,0,2019,Adv A,WSN
Anderson Franco,21,53,201,174,17,38,8,0,0,16,1,0,24,41,.218,.310,.264,.574,46,3,0,1,2,0,0,2019,Adv A,WSN
Cole Freeman,24,123,534,453,82,141,27,3,3,48,31,6,53,60,.311,.394,.404,.798,183,8,11,14,3,1,0,2019,Adv A,WSN
K.J. Harrison,22,101,413,357,49,87,21,1,11,47,2,1,51,98,.244,.344,.401,.744,143,6,4,0,1,0,0,2019,Adv A,WSN
Gilbert Lara,21,52,193,185,20,43,10,1,4,19,1,0,3,52,.232,.246,.362,.608,67,5,1,2,2,0,0,2019,Adv A,WSN
Kyle Marinconz*,23,7,24,23,2,4,0,0,0,2,0,0,0,6,.174,.208,.174,.382,4,0,1,0,0,0,0,2019,Adv A,WSN
David Masters,26,49,192,169,29,44,10,0,11,34,0,0,20,42,.260,.349,.515,.864,87,6,3,0,0,0,0,2019,Adv A,WSN
Bryan Mejia#,25,28,101,97,8,14,3,2,1,10,1,0,2,22,.144,.162,.247,.409,24,0,0,2,0,0,0,2019,Adv A,WSN
Omar Meregildo,21,60,212,184,26,42,11,1,5,23,0,1,24,59,.228,.327,.380,.707,70,4,3,1,0,0,0,2019,Adv A,WSN
Jakson Reetz,23,96,387,324,54,82,18,2,13,55,3,1,46,95,.253,.370,.441,.812,143,4,15,1,1,0,1,2019,Adv A,WSN
Jack Sundberg*,25,49,205,175,30,46,2,0,1,8,6,4,22,32,.263,.358,.291,.650,51,3,4,4,0,0,0,2019,Adv A,WSN
Trea Turner,26,2,9,8,1,1,0,0,0,0,0,0,1,4,.125,.222,.125,.347,1,1,0,0,0,0,1,2019,Adv A,WSN
Armond Upshaw#,23,36,130,103,18,20,1,2,0,5,9,5,19,38,.194,.346,.243,.589,25,1,5,3,0,0,0,2019,Adv A,WSN
Ryan Zimmerman,34,6,26,21,4,9,3,0,0,5,0,0,4,4,.429,.500,.571,1.071,12,0,0,0,1,0,1,2019,Adv A,WSN
