Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Fabian Andrade*,20,27,75,63,8,13,0,0,0,4,1,0,7,9,.206,.324,.206,.531,13,2,4,1,0,0,0
Daniel Bakst,21,27,116,98,14,30,8,4,0,15,0,0,15,19,.306,.397,.469,.866,46,1,1,0,2,0,0
Roldani Baldwin,23,5,16,14,2,6,0,0,1,3,0,0,2,4,.429,.500,.643,1.143,9,0,0,0,0,0,0
Trey Ball*,25,5,20,14,1,2,1,0,0,6,0,0,4,4,.143,.300,.214,.514,3,0,0,0,2,0,0
Cameron Cannon,21,3,10,9,0,1,0,0,0,0,0,0,0,5,.111,.200,.111,.311,1,0,1,0,0,0,0
Andre Colon,20,24,86,71,10,11,2,0,0,5,4,1,9,15,.155,.274,.183,.457,13,5,3,2,1,0,0
Dominic D'Alessandro,22,39,159,130,18,38,5,1,3,20,0,0,27,36,.292,.421,.415,.837,54,4,2,0,0,0,0
Danny Diaz,18,26,113,105,15,22,11,0,1,12,0,0,5,30,.210,.257,.343,.599,36,0,2,0,1,1,0
Jacob Herbert,19,21,64,56,4,8,0,0,0,4,0,0,5,25,.143,.250,.143,.393,8,0,3,0,0,0,0
Tommy Joseph,27,2,7,7,3,2,1,0,1,2,0,0,0,0,.286,.286,.857,1.143,6,0,0,0,0,0,1
Trenton Kemp,23,6,17,10,0,1,1,0,0,2,1,0,4,6,.100,.353,.200,.553,2,0,1,0,2,0,0
Breiner Licona,19,15,52,43,5,8,1,0,1,1,0,0,8,19,.186,.314,.279,.593,12,1,0,1,0,0,0
Matthew Lugo,18,39,157,136,19,35,5,1,1,12,3,0,15,36,.257,.342,.331,.673,45,3,3,2,1,0,0
Angel Maita#,18,41,162,135,18,28,6,1,0,7,8,4,22,42,.207,.331,.267,.598,36,0,3,2,0,0,0
Dean Miller,22,37,147,128,20,37,10,3,4,24,1,0,15,40,.289,.370,.508,.878,65,7,2,1,1,0,0
Joseph Monge,24,7,22,19,2,2,0,0,0,0,0,0,2,5,.105,.227,.105,.333,2,0,1,0,0,0,0
Leon Paulino#,18,25,84,72,8,11,4,0,0,4,1,1,11,36,.153,.274,.208,.482,15,0,1,0,0,0,0
Bramdon Perez*,19,34,134,119,16,33,5,0,1,20,2,2,13,35,.277,.358,.345,.703,41,0,2,0,0,0,0
Keibert Petit,20,2,4,4,2,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,0
Ceddanne Rafaela,18,41,176,153,30,38,1,4,6,17,9,2,14,28,.248,.329,.425,.754,65,3,5,3,1,0,0
Caleb Ramsey*,19,17,61,50,5,9,2,0,0,6,3,0,9,24,.180,.311,.220,.531,11,0,1,0,1,0,0
Oscar Rangel*,21,21,75,61,8,18,4,1,0,16,1,0,11,15,.295,.413,.393,.807,24,0,2,0,1,0,0
Austin Rei,25,7,24,14,7,4,1,0,0,4,0,0,8,5,.286,.583,.357,.940,5,0,2,0,0,0,0
Nilo Rijo,20,27,74,56,10,12,3,0,0,6,3,4,14,24,.214,.405,.268,.673,15,1,4,0,0,0,0
Kleiber Rodriguez#,20,13,33,28,2,7,2,0,0,9,0,0,4,11,.250,.364,.321,.685,9,0,1,0,0,0,0
Karson Simas,18,11,44,38,2,8,0,0,0,4,0,0,4,8,.211,.318,.211,.529,8,1,2,0,0,0,0
