Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Matt Achilles,21,8,7,.533,3.78,26,25,0,2,1,0,150.0,143,71,63,14,70,0,125,2,2,6,654,1.420,8.6,0.8,4.2,7.5,1.79,0
Rick Bauer,21,5,8,.385,4.73,22,22,0,1,1,0,118.0,127,69,62,11,44,0,81,8,0,6,505,1.449,9.7,0.8,3.4,6.2,1.84,1
Gilberto Bello,21,1,0,1.000,4.50,3,0,1,0,0,0,4.0,6,2,2,1,2,0,4,0,1,1,18,2.000,13.5,2.3,4.5,9.0,2.00,0
Derek Brown,21,3,4,.429,1.85,55,0,52,0,0,33,68.0,55,19,14,3,13,2,63,1,1,8,270,1.000,7.3,0.4,1.7,8.3,4.85,0
Tom Fontaine,23,0,2,.000,15.88,6,0,2,0,0,0,5.2,9,10,10,1,8,0,7,1,0,1,34,3.000,14.3,1.6,12.7,11.1,0.88,0
Sonny Garcia,21,2,0,1.000,2.52,4,4,0,1,0,0,25.0,17,9,7,2,9,0,21,1,1,5,100,1.040,6.1,0.7,3.2,7.6,2.33,0
Jeremy Halpin,23,9,5,.643,3.97,57,0,25,0,0,7,93.0,93,45,41,8,17,7,104,1,0,6,388,1.183,9.0,0.8,1.6,10.1,6.12,0
Brandon Huntsman,22,7,6,.538,3.94,23,17,0,0,0,0,98.1,114,59,43,5,53,1,71,5,0,7,447,1.698,10.4,0.5,4.9,6.5,1.34,0
Tod Lee,22,3,0,1.000,3.79,19,0,8,0,0,1,35.2,27,17,15,5,21,0,39,0,1,2,150,1.346,6.8,1.3,5.3,9.8,1.86,0
Carlos Medina*,21,4,6,.400,3.79,22,11,5,0,0,0,80.2,70,41,34,7,39,1,85,6,3,5,343,1.351,7.8,0.8,4.4,9.5,2.18,0
Darren Murphy*,21,0,0,,4.32,5,0,2,0,0,0,8.1,11,4,4,0,4,0,4,0,0,2,39,1.800,11.9,0.0,4.3,4.3,1.00,0
Americo Peguero,21,2,1,.667,6.00,15,2,5,0,0,2,36.0,38,26,24,4,22,0,37,0,0,1,165,1.667,9.5,1.0,5.5,9.3,1.68,0
Norberto Perez,20,5,2,.714,4.06,24,4,7,0,0,0,51.0,54,29,23,1,26,1,52,2,1,7,229,1.569,9.5,0.2,4.6,9.2,2.00,0
Kasey Richardson*,21,2,2,.500,2.68,16,3,8,0,0,2,40.1,23,13,12,2,11,1,47,3,1,5,156,0.843,5.1,0.4,2.5,10.5,4.27,0
Matt Riley*,18,5,4,.556,1.19,16,14,0,0,0,0,83.0,42,19,11,0,44,0,136,0,3,9,324,1.036,4.6,0.0,4.8,14.7,3.09,1
Jordan Romero,21,4,5,.444,5.33,15,14,1,0,0,0,79.1,87,50,47,9,31,0,70,5,2,4,351,1.487,9.9,1.0,3.5,7.9,2.26,0
Jay Spurgeon,21,11,3,.786,2.64,27,20,0,0,0,0,136.1,112,49,40,8,48,0,103,6,0,3,547,1.174,7.4,0.5,3.2,6.8,2.15,1
John Stephens,18,1,2,.333,2.60,6,6,0,1,1,0,34.2,25,11,10,3,13,0,40,1,0,3,141,1.096,6.5,0.8,3.4,10.4,3.08,1
Rafael Tapia,20,1,0,1.000,5.40,2,0,1,0,0,0,1.2,3,1,1,0,1,1,0,0,0,0,7,2.400,16.2,0.0,5.4,0.0,0.00,0
Simieon Theodile,21,2,1,.667,6.48,19,0,10,0,0,0,25.0,30,19,18,3,11,0,21,1,1,3,118,1.640,10.8,1.1,4.0,7.6,1.91,0
William Wise,22,6,3,.667,4.67,34,0,10,0,0,1,61.2,74,35,32,4,18,3,40,2,0,2,267,1.492,10.8,0.6,2.6,5.8,2.22,0
