Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Tim Hamulack*,21,0,2,.000,3.24,52,0,14,0,0,0,58.1,58,23,21,3,26,3,52,3,1,5,253,1.440,8.9,0.5,4.0,8.0,2.00,1,1998,A,HOU
Brian Hecht,22,3,6,.333,3.41,61,0,46,0,0,22,74.0,63,33,28,3,27,12,56,6,1,0,318,1.216,7.7,0.4,3.3,6.8,2.07,0,1998,A,HOU
Eric Ireland,21,14,9,.609,2.88,29,28,1,6,2,0,206.0,172,80,66,15,71,2,191,15,3,7,860,1.180,7.5,0.7,3.1,8.3,2.69,0,1998,A,HOU
Brad Lidge,21,0,1,.000,3.27,4,4,0,0,0,0,11.0,10,5,4,0,5,0,6,1,0,1,50,1.364,8.2,0.0,4.1,4.9,1.20,1,1998,A,HOU
Farley Love,25,4,2,.667,0.90,13,0,10,0,0,3,20.0,6,4,2,0,13,4,30,0,2,5,77,0.950,2.7,0.0,5.9,13.5,2.31,0,1998,A,HOU
Jim Lynch,22,8,6,.571,3.39,20,17,1,0,0,0,101.0,80,47,38,4,58,1,97,13,2,9,438,1.366,7.1,0.4,5.2,8.6,1.67,0,1998,A,HOU
Jay Mansavage,22,0,0,,0.00,1,0,1,0,0,0,1.1,1,0,0,0,0,0,1,0,0,0,6,0.750,6.8,0.0,0.0,6.8,,0,1998,A,HOU
Jason McCarter,21,5,4,.556,4.61,47,0,15,0,0,4,70.1,59,41,36,4,39,5,55,5,0,6,317,1.393,7.5,0.5,5.0,7.0,1.41,0,1998,A,HOU
Chris McFerrin,22,2,0,1.000,3.76,29,0,15,0,0,2,38.1,25,21,16,2,41,3,35,4,0,6,186,1.722,5.9,0.5,9.6,8.2,0.85,0,1998,A,HOU
Carlos Mercedes,22,8,12,.400,4.49,31,24,1,1,0,0,148.1,146,88,74,14,52,3,99,10,5,9,649,1.335,8.9,0.8,3.2,6.0,1.90,0,1998,A,HOU
Joe Messman,22,6,3,.667,3.08,63,0,16,0,0,5,87.2,70,36,30,2,33,4,74,4,0,9,359,1.175,7.2,0.2,3.4,7.6,2.24,0,1998,A,HOU
Brian Ridley*,23,0,0,,5.14,8,0,4,0,0,0,7.0,6,4,4,1,1,0,7,0,0,0,29,1.000,7.7,1.3,1.3,9.0,7.00,0,1998,A,HOU
Wilfredo Rodriguez*,19,11,5,.688,3.05,28,27,0,1,0,0,165.0,122,70,56,7,62,1,170,9,9,8,667,1.115,6.7,0.4,3.4,9.3,2.74,1,1998,A,HOU
Jeremy Ryan,20,1,0,1.000,3.27,3,2,0,0,0,0,11.0,6,4,4,3,3,0,8,0,0,0,42,0.818,4.9,2.5,2.5,6.5,2.67,0,1998,A,HOU
Johan Santana*,19,0,1,.000,9.45,2,1,0,0,0,0,6.2,14,7,7,1,3,0,6,0,0,1,36,2.550,18.9,1.4,4.1,8.1,2.00,1,1998,A,HOU
Tom Shearn,20,7,7,.500,2.25,21,21,0,2,1,0,120.0,88,38,30,8,52,1,93,6,0,3,487,1.167,6.6,0.6,3.9,7.0,1.79,1,1998,A,HOU
Brandon Smith,22,3,1,.750,4.21,8,5,1,0,0,0,36.1,27,17,17,7,9,1,29,3,0,0,148,0.991,6.7,1.7,2.2,7.2,3.22,0,1998,A,HOU
Jim Wallace,22,0,0,,15.43,8,1,3,0,0,0,7.0,4,12,12,0,13,0,3,6,0,5,42,2.429,5.1,0.0,16.7,3.9,0.23,0,1998,A,HOU
Garrett Zyskowski*,22,5,3,.625,3.67,14,9,1,0,0,0,54.0,45,28,22,1,24,1,45,1,0,4,232,1.278,7.5,0.2,4.0,7.5,1.88,0,1998,A,HOU
