Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Jim Abbott*,30,2,1,.667,5.40,4,4,0,0,0,0,21.2,17,13,13,2,7,0,13,0,0,4,87,1.108,7.1,0.8,2.9,5.4,1.86,1,1998,Adv A,CHW
Rocky Biddle,22,4,5,.444,4.57,16,16,0,0,0,0,82.2,92,55,42,7,45,0,72,5,1,5,382,1.657,10.0,0.8,4.9,7.8,1.60,1,1998,Adv A,CHW
Carlos Chantres,22,5,5,.500,3.77,13,13,0,1,0,0,88.1,71,43,37,10,41,0,86,8,0,5,370,1.268,7.2,1.0,4.2,8.8,2.10,0,1998,Adv A,CHW
Pat Daneker,22,5,0,1.000,2.04,7,7,0,2,0,0,53.0,51,13,12,3,5,1,43,2,4,1,210,1.057,8.7,0.5,0.8,7.3,8.60,1,1998,Adv A,CHW
Joe Davenport,22,2,0,1.000,1.38,20,0,15,0,0,2,26.0,25,9,4,0,4,0,26,2,0,3,106,1.115,8.7,0.0,1.4,9.0,6.50,1,1998,Adv A,CHW
Joe Farley*,23,5,6,.455,4.99,21,19,0,1,0,0,119.0,126,73,66,14,55,0,70,3,3,6,521,1.521,9.5,1.1,4.2,5.3,1.27,0,1998,Adv A,CHW
Josh Fogg,21,0,1,.000,0.00,1,0,1,0,0,0,1.0,2,2,0,0,0,0,2,0,0,1,6,2.000,18.0,0.0,0.0,18.0,,1,1998,Adv A,CHW
Derek Hasselhoff,24,0,0,,0.00,1,0,0,0,0,0,2.0,3,0,0,0,0,0,3,0,0,0,9,1.500,13.5,0.0,0.0,13.5,,0,1998,Adv A,CHW
Craig Hunt*,24,1,1,.500,9.00,6,0,3,0,0,0,8.0,11,8,8,1,3,0,6,0,0,0,35,1.750,12.4,1.1,3.4,6.8,2.00,0,1998,Adv A,CHW
Mario Iglesias,24,13,1,.929,2.31,35,0,18,0,0,5,78.0,51,24,20,5,19,0,90,4,0,3,305,0.897,5.9,0.6,2.2,10.4,4.74,0,1998,Adv A,CHW
Hansel Izquierdo,21,0,0,,0.00,1,0,1,0,0,1,2.0,1,0,0,0,1,0,2,0,0,0,7,1.000,4.5,0.0,4.5,9.0,2.00,1,1998,Adv A,CHW
Jason Lakman,21,3,2,.600,3.77,13,13,0,1,0,0,86.0,62,37,36,0,30,0,98,17,0,3,363,1.070,6.5,0.0,3.1,10.3,3.27,0,1998,Adv A,CHW
David Lundquist,25,1,0,1.000,2.53,6,0,2,0,0,0,10.2,9,4,3,0,3,0,9,0,0,0,42,1.125,7.6,0.0,2.5,7.6,3.00,1,1998,Adv A,CHW
Jake Meyer,23,0,1,.000,2.92,11,0,10,0,0,2,12.1,12,6,4,1,3,2,13,0,0,2,51,1.216,8.8,0.7,2.2,9.5,4.33,0,1998,Adv A,CHW
Aaron Myette,20,4,2,.667,2.01,6,6,0,1,1,0,44.2,32,14,10,4,14,0,54,1,0,0,178,1.030,6.4,0.8,2.8,10.9,3.86,1,1998,Adv A,CHW
Jamie Nichols,22,3,3,.500,5.50,19,4,9,0,0,0,54.0,71,34,33,5,11,0,39,2,0,3,240,1.519,11.8,0.8,1.8,6.5,3.55,0,1998,Adv A,CHW
Chris Ochsenfeld*,21,0,0,,4.50,17,0,11,0,0,2,26.0,26,15,13,0,12,0,16,1,0,7,117,1.462,9.0,0.0,4.2,5.5,1.33,0,1998,Adv A,CHW
Jesus Pena*,23,3,4,.429,3.13,23,0,13,0,0,7,31.2,20,11,11,2,12,1,37,1,1,0,125,1.011,5.7,0.6,3.4,10.5,3.08,1,1998,Adv A,CHW
Mark Roberts,22,9,9,.500,3.92,27,25,0,2,1,0,165.1,165,88,72,15,50,1,142,10,0,6,706,1.300,9.0,0.8,2.7,7.7,2.84,0,1998,Adv A,CHW
Brian Schmack,24,5,5,.500,2.20,42,0,34,0,0,10,61.1,48,23,15,3,17,0,52,9,1,2,256,1.060,7.0,0.4,2.5,7.6,3.06,1,1998,Adv A,CHW
Brian Scott,22,6,6,.500,4.93,19,19,0,0,0,0,100.1,116,70,55,9,43,0,76,9,3,2,462,1.585,10.4,0.8,3.9,6.8,1.77,0,1998,Adv A,CHW
Jason Secoda,23,2,0,1.000,1.59,6,0,4,0,0,0,11.1,8,2,2,0,2,1,8,0,0,1,43,0.882,6.4,0.0,1.6,6.4,4.00,0,1998,Adv A,CHW
Adam Virchis,24,5,6,.455,3.39,22,13,3,1,0,0,103.2,104,54,39,9,20,0,73,10,0,3,434,1.196,9.0,0.8,1.7,6.3,3.65,0,1998,Adv A,CHW
Curtis Whitley*,24,0,1,.000,0.63,10,0,1,0,0,0,14.1,11,2,1,0,6,0,21,1,0,1,61,1.186,6.9,0.0,3.8,13.2,3.50,0,1998,Adv A,CHW
Mike Zolecki,26,1,1,.500,4.30,8,0,5,0,0,0,14.2,17,9,7,1,8,2,6,1,0,1,68,1.705,10.4,0.6,4.9,3.7,0.75,0,1998,Adv A,CHW
