Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Mike Bacsik*,20,10,9,.526,2.88,27,27,0,1,0,0,165.2,147,64,53,17,37,3,128,4,0,4,667,1.111,8.0,0.9,2.0,7.0,3.46,1
J.D. Brammer,23,3,2,.600,1.33,15,0,8,0,0,2,27.0,15,6,4,1,8,0,33,1,1,1,106,0.852,5.0,0.3,2.7,11.0,4.13,0
Jamie Brown,21,11,9,.550,3.81,27,27,0,2,0,0,172.2,162,91,73,12,44,1,148,11,2,4,717,1.193,8.4,0.6,2.3,7.7,3.36,1
Lance Calmus,25,0,1,.000,6.75,7,1,2,0,0,0,12.0,14,12,9,1,7,0,10,0,0,1,56,1.750,10.5,0.8,5.3,7.5,1.43,0
Sean DePaula,24,3,2,.600,2.36,28,1,14,0,0,1,49.2,50,20,13,0,18,3,59,3,0,6,226,1.369,9.1,0.0,3.3,10.7,3.28,1
Marc Deschenes,25,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,2,0,0,0,4,1.000,0.0,0.0,9.0,18.0,2.00,0
Tim Drew,19,3,8,.273,5.20,15,15,0,0,0,0,90.0,105,58,52,9,31,1,67,5,2,5,392,1.511,10.5,0.9,3.1,6.7,2.16,1
Jon Edwards,25,5,0,1.000,2.70,21,0,3,0,0,0,33.1,31,10,10,1,14,0,28,1,0,1,140,1.350,8.4,0.3,3.8,7.6,2.00,0
Alberto Garza,21,4,8,.333,3.20,20,20,0,3,0,0,112.1,79,44,40,7,60,0,110,6,1,8,467,1.237,6.3,0.6,4.8,8.8,1.83,0
Rafael Gross,23,0,0,,54.00,1,0,0,0,0,0,0.1,3,3,2,0,0,0,0,0,0,0,5,9.000,81.0,0.0,0.0,0.0,,0
Jimmy Hamilton*,22,4,6,.400,2.75,44,0,15,0,0,4,75.1,61,25,23,5,21,5,83,4,0,4,305,1.088,7.3,0.6,2.5,9.9,3.95,0
Mike Hughes*,22,1,3,.250,4.95,9,4,0,0,0,0,36.1,45,26,20,8,8,2,27,0,0,4,161,1.459,11.1,2.0,2.0,6.7,3.38,0
Matt Koeman,24,0,0,,1.35,4,0,2,0,0,0,6.2,9,8,1,2,1,0,4,0,0,0,32,1.500,12.2,2.7,1.4,5.4,4.00,0
Jason Mackey*,24,0,0,,6.75,5,0,0,0,0,0,12.0,19,9,9,1,5,1,8,2,2,1,61,2.000,14.3,0.8,3.8,6.0,1.60,0
Jarrod Mays,23,1,1,.500,1.59,4,4,0,0,0,0,17.0,12,6,3,1,7,1,10,0,0,0,68,1.118,6.4,0.5,3.7,5.3,1.43,0
Brett Merrick*,24,0,0,,9.00,2,0,1,0,0,0,2.0,3,2,2,1,1,0,0,0,0,0,10,2.000,13.5,4.5,4.5,0.0,0.00,0
Richard Negrette,22,3,5,.375,2.88,28,0,11,0,0,0,50.0,32,22,16,3,27,1,41,4,0,5,208,1.180,5.8,0.5,4.9,7.4,1.52,0
Greg Pirkl,27,2,0,1.000,2.73,14,0,9,0,0,0,26.1,23,10,8,2,7,1,26,1,0,3,111,1.139,7.9,0.7,2.4,8.9,3.71,1
Bob Reichow,24,0,0,,23.63,2,0,0,0,0,0,2.2,5,7,7,0,2,0,1,4,0,2,18,2.625,16.9,0.0,6.8,3.4,0.50,0
Paul Rigdon,22,11,7,.611,4.03,24,24,0,0,0,0,127.1,126,65,57,9,35,1,97,9,0,3,532,1.264,8.9,0.6,2.5,6.9,2.77,1
David Riske,21,1,1,.500,2.33,53,0,50,0,0,33,54.0,48,15,14,4,15,0,67,1,0,1,218,1.167,8.0,0.7,2.5,11.2,4.47,1
Kaipo Spenser,22,2,6,.250,3.76,13,13,0,0,0,0,67.0,74,30,28,6,23,0,31,7,0,2,286,1.448,9.9,0.8,3.1,4.2,1.35,0
Jake Viano,24,3,0,1.000,1.54,14,0,10,0,0,1,23.1,14,4,4,2,10,2,21,1,0,2,93,1.029,5.4,0.8,3.9,8.1,2.10,0
Ken Wagner,23,1,2,.333,3.00,10,0,6,0,0,1,21.0,15,8,7,0,10,2,18,1,0,0,88,1.190,6.4,0.0,4.3,7.7,1.80,0
Mark Watson*,24,0,1,.000,0.00,1,1,0,0,0,0,6.1,3,4,0,0,2,0,8,0,0,0,26,0.789,4.3,0.0,2.8,11.4,4.00,1
Brian Whitlock,23,0,0,,9.00,1,0,1,0,0,0,1.0,1,1,1,1,0,0,1,0,0,0,4,1.000,9.0,9.0,0.0,9.0,,0
Casey Whitten*,26,1,0,1.000,3.18,9,3,1,0,0,0,17.0,11,6,6,3,7,1,17,0,0,1,65,1.059,5.8,1.6,3.7,9.0,2.43,0
