Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Luis Andujar,26,4,5,.444,3.00,52,0,35,0,0,16,60.0,62,21,20,3,13,0,59,3,0,3,252,1.250,9.3,0.5,2.0,8.9,4.54,1
Kevin Beirne,25,5,5,.500,5.42,20,20,0,0,0,0,113.0,134,75,68,14,36,0,63,2,0,12,495,1.504,10.7,1.1,2.9,5.0,1.75,1
Chad Bradford,24,9,3,.750,1.94,47,0,19,0,0,5,74.1,63,19,16,2,15,0,56,2,0,0,293,1.049,7.6,0.2,1.8,6.8,3.73,1
Carlos Castillo,24,9,6,.600,5.15,20,20,0,5,0,0,136.1,150,88,78,28,30,1,105,3,3,5,583,1.320,9.9,1.8,2.0,6.9,3.50,1
Pat Daneker,23,4,4,.500,6.57,9,9,0,1,0,0,49.1,64,36,36,10,16,0,36,3,0,4,230,1.622,11.7,1.8,2.9,6.6,2.25,1
Joe Davenport,23,0,0,,8.00,6,0,1,0,0,0,9.0,13,8,8,0,1,0,6,1,0,0,40,1.556,13.0,0.0,1.0,6.0,6.00,1
Scott Eyre*,27,6,4,.600,3.82,12,11,0,0,0,0,68.1,75,32,29,3,23,1,63,1,2,5,291,1.434,9.9,0.4,3.0,8.3,2.74,1
Tom Fordham*,25,4,7,.364,7.31,29,21,2,0,0,0,112.0,144,101,91,25,66,0,101,3,0,10,538,1.875,11.6,2.0,5.3,8.1,1.53,1
Derek Hasselhoff,25,6,0,1.000,4.82,49,0,18,0,0,4,71.0,83,46,38,7,25,1,65,0,0,3,311,1.521,10.5,0.9,3.2,8.2,2.60,0
Mike Heathcott,30,10,8,.556,5.17,32,21,5,1,0,0,139.1,177,89,80,14,64,1,77,4,0,9,632,1.730,11.4,0.9,4.1,5.0,1.20,1
David Lundquist,26,0,0,,0.00,3,0,1,0,0,0,3.2,3,0,0,0,1,0,4,0,0,1,14,1.091,7.4,0.0,2.5,9.8,4.00,1
Jason Olsen,24,2,4,.333,7.11,22,10,2,0,0,0,62.0,84,59,49,12,29,0,49,5,0,3,296,1.823,12.2,1.7,4.2,7.1,1.69,0
Todd Rizzo*,28,4,5,.444,4.06,53,0,16,0,0,8,71.0,68,37,32,5,31,2,46,2,0,6,308,1.394,8.6,0.6,3.9,5.8,1.48,1
Jason Secoda,24,2,5,.286,5.28,7,7,0,3,0,0,44.1,54,35,26,10,10,0,33,3,0,4,201,1.444,11.0,2.0,2.0,6.7,3.30,0
John Snyder,24,3,0,1.000,4.24,3,3,0,0,0,0,17.0,17,9,8,2,5,0,9,2,0,0,75,1.294,9.0,1.1,2.6,4.8,1.80,1
Tanyon Sturtze,28,9,4,.692,4.05,33,14,11,2,1,3,104.1,83,53,47,7,41,1,107,1,0,2,433,1.188,7.2,0.6,3.5,9.2,2.61,1
Ben Van Ryn*,27,3,2,.600,5.93,47,8,13,0,0,5,68.1,83,47,45,9,30,0,54,1,0,4,314,1.654,10.9,1.2,4.0,7.1,1.80,1
Adam Virchis,25,0,0,,1.42,3,0,3,0,0,0,6.1,6,1,1,1,1,0,4,0,0,0,27,1.105,8.5,1.4,1.4,5.7,4.00,0
Bryan Ward*,27,2,0,1.000,3.52,14,0,6,0,0,1,15.1,15,7,6,2,3,1,15,1,0,1,64,1.174,8.8,1.2,1.8,8.8,5.00,1
