Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Kevin Brown,34,18,9,.667,3.00,35,35,0,5,1,0,252.1,210,99,84,19,59,1,221,7,1,4,1018,1.066,7.5,0.7,2.1,7.9,3.75,1
Ismael Valdez,25,9,14,.391,3.98,32,32,0,2,1,0,203.1,213,97,90,32,58,2,143,6,0,6,871,1.333,9.4,1.4,2.6,6.3,2.47,1
Chan Ho Park,26,13,11,.542,5.23,33,33,0,0,0,0,194.1,208,120,113,31,100,4,174,14,1,11,883,1.585,9.6,1.4,4.6,8.1,1.74,1
Darren Dreifort,27,13,13,.500,4.79,30,29,0,1,1,0,178.2,177,105,95,20,76,2,140,7,4,9,773,1.416,8.9,1.0,3.8,7.1,1.84,1
Carlos Perez*,28,2,10,.167,7.43,17,16,0,0,0,0,89.2,116,77,74,23,39,1,40,6,3,2,420,1.729,11.6,2.3,3.9,4.0,1.03,1
Jeff Shaw,32,2,4,.333,2.78,64,0,56,0,0,34,68.0,64,25,21,6,15,1,43,1,0,1,284,1.162,8.5,0.8,2.0,5.7,2.87,1
Alan Mills,32,3,4,.429,3.73,68,0,18,0,0,0,72.1,70,33,30,10,43,4,49,4,0,3,322,1.562,8.7,1.2,5.4,6.1,1.14,1
Onan Masaoka*,21,2,4,.333,4.32,54,0,12,0,0,1,66.2,55,33,32,8,47,3,61,2,0,3,300,1.530,7.4,1.1,6.3,8.2,1.30,1
Mike Maddux,37,1,1,.500,3.29,49,0,19,0,0,0,54.2,54,21,20,5,19,2,41,4,0,1,234,1.335,8.9,0.8,3.1,6.8,2.16,1
Pedro Borbon*,31,4,3,.571,4.09,70,0,11,0,0,1,50.2,39,23,23,5,29,1,33,1,0,1,220,1.342,6.9,0.9,5.2,5.9,1.14,1
Jamie Arnold,25,2,4,.333,5.48,36,3,18,0,0,1,69.0,81,50,42,6,34,2,26,6,0,3,313,1.667,10.6,0.8,4.4,3.4,0.76,1
Eric Gagne,23,1,1,.500,2.10,5,5,0,0,0,0,30.0,18,8,7,3,15,0,30,0,0,1,119,1.100,5.4,0.9,4.5,9.0,2.00,1
Mike Judd,24,3,1,.750,5.46,7,4,0,0,0,0,28.0,30,17,17,4,12,0,22,1,0,3,120,1.500,9.6,1.3,3.9,7.1,1.83,1
Matt Herges,29,0,2,.000,4.07,17,0,9,0,0,0,24.1,24,13,11,5,8,0,18,1,0,0,104,1.315,8.9,1.8,3.0,6.7,2.25,1
Jeff Williams*,27,2,0,1.000,4.08,5,3,1,0,0,0,17.2,12,10,8,2,9,0,7,0,0,0,73,1.189,6.1,1.0,4.6,3.6,0.78,1
Robinson Checo,27,2,2,.500,10.34,9,2,1,0,0,0,15.2,24,20,18,5,13,1,11,0,0,2,85,2.362,13.8,2.9,7.5,6.3,0.85,1
Doug Bochtler,28,0,0,,5.54,12,0,4,0,0,0,13.0,11,8,8,3,6,1,7,1,0,1,58,1.308,7.6,2.1,4.2,4.8,1.17,1
Jeff Kubenka*,24,0,1,.000,11.74,6,0,2,0,0,0,7.2,13,12,10,1,4,0,2,0,0,0,42,2.217,15.3,1.2,4.7,2.3,0.50,1
Dave Mlicki,31,0,1,.000,4.91,2,0,0,0,0,0,7.1,10,4,4,1,2,0,1,0,0,1,33,1.636,12.3,1.2,2.5,1.2,0.50,1
Mel Rojas,32,0,0,,12.60,5,0,2,0,0,0,5.0,5,7,7,3,3,1,3,0,0,0,23,1.600,9.0,5.4,5.4,5.4,1.00,1
Antonio Osuna,26,0,0,,7.71,5,0,1,0,0,0,4.2,4,5,4,0,3,0,5,1,0,1,22,1.500,7.7,0.0,5.8,9.6,1.67,1
