Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
David Baum*,20,0,0,,0.00,2,0,1,0,0,0,4.1,2,0,0,0,0,0,4,0,0,0,17,0.462,4.2,0.0,0.0,8.3,,0
David Beigh,19,1,1,.500,3.68,7,4,0,0,0,0,22.0,24,15,9,2,4,0,13,1,0,3,89,1.273,9.8,0.8,1.6,5.3,3.25,0
Sean Burnett*,17,2,1,.667,4.06,8,6,1,0,0,0,31.0,31,17,14,0,3,0,24,0,1,2,128,1.097,9.0,0.0,0.9,7.0,8.00,1
Mike Connolly*,18,1,2,.333,2.29,11,0,7,0,0,2,19.2,20,6,5,0,6,0,25,1,0,2,84,1.322,9.2,0.0,2.7,11.4,4.17,0
Carlos De Los Santos,22,3,5,.375,3.48,11,7,3,0,0,1,51.2,45,24,20,4,23,0,53,10,2,5,227,1.316,7.8,0.7,4.0,9.2,2.30,0
Juan DeLaCruz,20,0,1,.000,7.71,3,0,3,0,0,2,2.1,1,2,2,0,4,0,5,0,0,0,12,2.143,3.9,0.0,15.4,19.3,1.25,0
Giovanni Gonzalez,20,1,0,1.000,4.00,7,0,4,0,0,0,9.0,8,7,4,0,5,0,5,2,0,0,42,1.444,8.0,0.0,5.0,5.0,1.00,0
Mike Gonzalez*,22,1,0,1.000,4.50,2,1,1,0,0,0,6.0,8,6,3,1,4,0,7,1,0,3,35,2.000,12.0,1.5,6.0,10.5,1.75,1
Julio Guerrero,19,5,3,.625,3.16,11,9,1,0,0,0,57.0,56,28,20,2,9,0,25,4,2,2,242,1.140,8.8,0.3,1.4,3.9,2.78,0
Kevin Hall,20,1,2,.333,1.59,13,0,11,0,0,4,17.0,21,4,3,0,7,0,20,1,0,1,79,1.647,11.1,0.0,3.7,10.6,2.86,0
A.J. Jones,21,1,3,.250,3.89,11,1,5,0,0,0,44.0,45,28,19,5,14,1,20,10,0,2,201,1.341,9.2,1.0,2.9,4.1,1.43,0
Jason Keyser,18,0,0,,5.14,4,0,1,0,0,1,7.0,8,4,4,0,2,0,7,1,0,0,31,1.429,10.3,0.0,2.6,9.0,3.50,0
Kevin Lee,18,4,0,1.000,1.80,9,0,4,0,0,0,15.0,16,5,3,1,4,0,7,3,0,0,69,1.333,9.6,0.6,2.4,4.2,1.75,0
Rich Loiselle,28,0,0,,0.00,1,1,0,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,0.000,0.0,0.0,0.0,18.0,,1
Patrick O'Brien,19,3,1,.750,4.96,10,10,0,1,0,0,49.0,66,32,27,1,19,0,31,9,0,2,235,1.735,12.1,0.2,3.5,5.7,1.63,0
Domingo Pena,23,0,0,,1.93,2,2,0,0,0,0,4.2,4,1,1,0,1,0,4,0,0,0,17,1.071,7.7,0.0,1.9,7.7,4.00,0
Victor Ramos,18,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0.000,0.0,0.0,0.0,0.0,,0
Juan Rodriguez,19,1,2,.333,3.71,12,3,4,0,0,0,34.0,39,24,14,1,8,0,24,2,1,5,154,1.382,10.3,0.3,2.1,6.4,3.00,0
Jim Sak,26,0,0,,0.00,2,0,0,0,0,0,3.0,0,0,0,0,2,0,5,0,0,3,11,0.667,0.0,0.0,6.0,15.0,2.50,0
Jason Schmidt,27,0,0,,2.25,1,1,0,0,0,0,4.0,4,2,1,0,1,0,1,0,0,1,16,1.250,9.0,0.0,2.3,2.3,1.00,1
Jon Searles,19,2,2,.500,3.65,7,6,0,0,0,0,37.0,41,23,15,2,10,0,19,3,0,7,170,1.378,10.0,0.5,2.4,4.6,1.90,0
Kurt Shafer,18,2,1,.667,2.77,8,1,6,0,0,1,13.0,15,4,4,0,3,0,5,0,0,2,54,1.385,10.4,0.0,2.1,3.5,1.67,0
Josh Shortslef*,18,3,2,.600,3.73,11,3,3,0,0,0,31.1,26,15,13,1,11,0,19,4,1,2,132,1.181,7.5,0.3,3.2,5.5,1.73,0
Brian Smith,27,0,0,,0.00,5,2,1,0,0,0,6.0,0,0,0,0,1,0,5,0,0,0,19,0.167,0.0,0.0,1.5,7.5,5.00,1
Ian Snell,18,1,0,1.000,2.35,4,0,1,0,0,0,7.2,5,2,2,1,1,0,8,1,0,0,28,0.783,5.9,1.2,1.2,9.4,8.00,1
Aaron Story*,19,2,0,1.000,1.57,5,3,1,0,0,1,23.0,16,5,4,2,7,0,27,3,0,2,94,1.000,6.3,0.8,2.7,10.6,3.86,0
Steven Wahlbrink,21,0,0,,27.00,1,0,0,0,0,0,0.1,3,1,1,0,1,0,0,0,0,0,4,12.000,81.0,0.0,27.0,0.0,0.00,0
