Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Roberto Albertus*,18,2,0,1.000,1.54,4,1,1,0,0,0,11.2,7,3,2,0,4,0,13,0,0,0,47,0.943,5.4,0.0,3.1,10.0,3.25,0,2000,Short-Season A,ATL
Ryan Baker,22,4,2,.667,3.41,21,2,12,0,0,3,34.1,33,14,13,2,13,0,36,0,1,1,141,1.340,8.7,0.5,3.4,9.4,2.77,0,2000,Short-Season A,ATL
Chris Clark,22,0,3,.000,5.52,15,1,3,0,0,1,29.1,38,20,18,2,11,0,27,0,1,0,135,1.670,11.7,0.6,3.4,8.3,2.45,0,2000,Short-Season A,ATL
Derek Clifton,20,3,2,.600,0.95,14,0,6,0,0,0,19.0,10,7,2,0,10,3,9,3,2,0,85,1.053,4.7,0.0,4.7,4.3,0.90,0,2000,Short-Season A,ATL
Frank Cummings,23,0,3,.000,3.94,22,0,12,0,0,2,32.0,36,25,14,6,14,0,27,1,0,0,146,1.563,10.1,1.7,3.9,7.6,1.93,0,2000,Short-Season A,ATL
Tom Curtiss*,23,1,1,.500,1.23,24,0,16,0,0,9,29.1,17,6,4,0,15,0,41,1,0,5,127,1.091,5.2,0.0,4.6,12.6,2.73,0,2000,Short-Season A,ATL
Brett Evert,19,8,3,.727,3.38,15,15,0,0,0,0,77.1,92,52,29,6,19,0,64,5,0,2,344,1.435,10.7,0.7,2.2,7.4,3.37,0,2000,Short-Season A,ATL
Ryan Ewin,18,0,1,.000,5.73,2,2,0,0,0,0,11.0,10,8,7,0,4,0,10,0,0,1,48,1.273,8.2,0.0,3.3,8.2,2.50,0,2000,Short-Season A,ATL
Buddy Hernandez,21,1,1,.500,1.57,12,0,4,0,0,3,23.0,17,5,4,0,7,0,35,0,1,0,90,1.043,6.7,0.0,2.7,13.7,5.00,0,2000,Short-Season A,ATL
Trey Hodges,22,0,2,.000,5.95,13,2,2,0,0,0,19.2,22,14,13,3,12,0,13,1,2,1,93,1.729,10.1,1.4,5.5,5.9,1.08,1,2000,Short-Season A,ATL
Dan Kelly*,22,0,1,.000,1.80,2,0,2,0,0,0,5.0,4,1,1,0,1,0,3,0,0,1,19,1.000,7.2,0.0,1.8,5.4,3.00,0,2000,Short-Season A,ATL
Alex Lelless,20,0,1,.000,4.15,19,0,8,0,0,1,39.0,37,24,18,1,30,1,23,1,0,7,179,1.718,8.5,0.2,6.9,5.3,0.77,0,2000,Short-Season A,ATL
Johnny McGinnis,20,0,1,.000,6.00,11,0,2,0,0,0,15.0,11,14,10,0,16,0,13,5,0,3,76,1.800,6.6,0.0,9.6,7.8,0.81,0,2000,Short-Season A,ATL
David Mendez*,20,5,4,.556,2.87,15,15,0,0,0,0,84.2,75,33,27,7,31,0,84,6,0,3,360,1.252,8.0,0.7,3.3,8.9,2.71,0,2000,Short-Season A,ATL
Matt Miller*,22,0,2,.000,5.29,18,0,6,0,0,1,32.1,36,23,19,1,16,1,33,1,0,0,151,1.608,10.0,0.3,4.5,9.2,2.06,0,2000,Short-Season A,ATL
Joe Nelson,25,0,0,,2.25,3,0,1,0,0,0,4.0,3,3,1,0,1,0,7,0,0,0,16,1.000,6.8,0.0,2.3,15.8,7.00,1,2000,Short-Season A,ATL
Elvis Perez,20,7,5,.583,4.17,15,15,0,0,0,0,77.2,79,40,36,5,29,0,56,2,1,3,331,1.391,9.2,0.6,3.4,6.5,1.93,0,2000,Short-Season A,ATL
Dennis Russo,20,4,4,.500,4.93,11,10,0,0,0,0,49.1,56,38,27,4,19,0,17,2,0,5,218,1.520,10.2,0.7,3.5,3.1,0.89,0,2000,Short-Season A,ATL
Mike Smalley*,21,0,0,,0.90,3,2,0,0,0,0,10.0,6,1,1,0,2,0,8,0,0,1,38,0.800,5.4,0.0,1.8,7.2,4.00,0,2000,Short-Season A,ATL
Toby Staveland,20,2,2,.500,5.20,11,10,0,0,0,0,45.0,57,36,26,3,21,0,24,1,1,1,210,1.733,11.4,0.6,4.2,4.8,1.14,0,2000,Short-Season A,ATL
