Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Mike Adams,23,2,1,.667,2.57,10,0,7,0,0,5,14.0,9,6,4,2,7,0,23,0,0,2,59,1.143,5.8,1.3,4.5,14.8,3.29,1
Gene Altman,23,0,1,.000,14.59,11,0,6,0,0,0,12.1,20,25,20,4,16,0,8,1,1,8,73,2.919,14.6,2.9,11.7,5.8,0.50,0
Carlos Alvarado,24,2,1,.667,3.00,17,0,4,0,0,0,27.0,22,12,9,3,16,2,31,3,1,4,122,1.407,7.3,1.0,5.3,10.3,1.94,0
Scott Candelaria,23,0,0,,0.00,2,0,2,0,0,0,2.0,1,0,0,0,1,0,0,0,0,0,8,1.000,4.5,0.0,4.5,0.0,0.00,0
Victor Cordero,23,3,0,1.000,5.40,10,0,2,0,0,1,13.1,13,9,8,2,6,0,15,3,2,0,59,1.425,8.8,1.4,4.1,10.1,2.50,0
Doug Dent,25,4,3,.571,4.01,13,12,0,0,0,0,67.1,64,35,30,4,36,0,62,4,1,2,297,1.485,8.6,0.5,4.8,8.3,1.72,0
J.M. Gold,22,1,3,.250,7.63,7,7,0,0,0,0,30.2,33,29,26,4,22,0,33,2,2,4,143,1.793,9.7,1.2,6.5,9.7,1.50,0
Justin Gordon*,23,4,9,.308,7.58,28,25,3,0,0,0,127.0,172,128,107,17,77,0,86,12,1,11,633,1.961,12.2,1.2,5.5,6.1,1.12,0
Ben Hendrickson,21,5,5,.500,2.55,14,14,0,0,0,0,81.1,61,31,23,3,41,0,70,2,0,3,338,1.254,6.8,0.3,4.5,7.7,1.71,1
Andy High*,28,1,5,.167,4.11,12,6,4,0,0,0,50.1,60,24,23,7,9,1,39,2,0,2,211,1.371,10.7,1.3,1.6,7.0,4.33,0
Jack Krawczyk,26,0,2,.000,6.52,6,0,4,0,0,2,9.2,13,10,7,3,3,0,12,0,0,0,45,1.655,12.1,2.8,2.8,11.2,4.00,0
Ryan LaMattina*,26,3,6,.333,6.12,42,1,14,0,0,3,60.1,77,49,41,4,32,5,30,6,0,10,289,1.807,11.5,0.6,4.8,4.5,0.94,0
Roberto Maysonet,22,3,2,.600,9.48,35,5,12,0,0,0,81.2,97,93,86,14,80,0,61,12,0,20,427,2.167,10.7,1.5,8.8,6.7,0.76,0
Chris McGee,24,1,2,.333,7.54,39,0,18,0,0,4,51.1,62,49,43,10,30,2,48,4,1,4,252,1.792,10.9,1.8,5.3,8.4,1.60,0
Ryan Miller,24,6,5,.545,5.11,36,9,10,0,0,1,107.1,106,73,61,12,57,0,100,14,2,18,491,1.519,8.9,1.0,4.8,8.4,1.75,0
Matt Parker,23,0,1,.000,4.50,1,1,0,0,0,0,4.0,4,2,2,0,3,0,1,0,0,0,18,1.750,9.0,0.0,6.8,2.3,0.33,0
George Perez,27,5,12,.294,8.18,35,14,9,0,0,0,113.1,153,117,103,19,69,1,80,7,1,20,558,1.959,12.2,1.5,5.5,6.4,1.16,0
Ryan Poe,24,1,1,.500,3.95,3,3,0,0,0,0,13.2,18,8,6,0,3,0,6,3,0,0,62,1.537,11.9,0.0,2.0,4.0,2.00,0
Jeff Robinson,25,0,0,,12.00,1,1,0,0,0,0,3.0,4,4,4,1,5,0,3,1,0,0,19,3.000,12.0,3.0,15.0,9.0,0.60,0
Aaron Sams*,26,3,3,.500,7.07,9,9,0,0,0,0,49.2,65,48,39,7,18,0,36,2,0,4,232,1.671,11.8,1.3,3.3,6.5,2.00,0
Greg Schaub,25,2,4,.333,6.60,34,0,21,0,0,10,43.2,41,37,32,7,30,4,59,1,0,3,204,1.626,8.5,1.4,6.2,12.2,1.97,0
Mike Shwam,24,1,0,1.000,6.43,5,0,4,0,0,0,7.0,11,8,5,0,3,0,4,0,0,1,34,2.000,14.1,0.0,3.9,5.1,1.33,0
Bobby Sismondo*,25,4,5,.444,6.57,38,4,17,0,0,3,75.1,89,62,55,12,34,0,69,3,2,8,347,1.633,10.6,1.4,4.1,8.2,2.03,0
Pete Smart*,24,9,9,.500,5.10,29,29,0,0,0,0,180.0,212,119,102,20,59,0,116,10,3,13,796,1.506,10.6,1.0,3.0,5.8,1.97,0
Jude Voltz*,24,0,0,,0.00,3,0,3,0,0,0,2.1,1,1,0,0,1,0,0,0,0,0,10,0.857,3.9,0.0,3.9,0.0,0.00,0
