Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Steve Bennett,25,5,5,.500,1.97,41,0,28,0,0,7,68.2,43,19,15,4,37,2,73,9,0,6,294,1.165,5.6,0.5,4.8,9.6,1.97,0,2002,Adv A,NYM
Brian Brantley,26,1,2,.333,4.81,12,4,3,0,0,1,39.1,48,25,21,3,7,0,34,3,0,6,173,1.398,11.0,0.7,1.6,7.8,4.86,0,2002,Adv A,NYM
Ken Chenard,23,2,4,.333,3.72,13,13,0,0,0,0,55.2,42,27,23,5,25,0,39,2,0,8,234,1.204,6.8,0.8,4.0,6.3,1.56,0,2002,Adv A,NYM
Joey Cole,24,8,2,.800,3.20,18,18,0,1,0,0,107.0,93,46,38,7,25,0,74,9,2,4,442,1.103,7.8,0.6,2.1,6.2,2.96,0,2002,Adv A,NYM
Mark Corey,27,0,0,,0.00,1,0,1,0,0,0,2.0,0,0,0,0,0,0,3,0,0,0,6,0.000,0.0,0.0,0.0,13.5,,1,2002,Adv A,NYM
Mike Cox*,23,0,0,,14.29,4,0,2,0,0,0,5.2,7,9,9,1,11,0,11,2,0,1,37,3.176,11.1,1.6,17.5,17.5,1.00,0,2002,Adv A,NYM
Chad Elliott*,24,5,6,.455,2.94,28,13,4,1,1,0,110.1,99,49,36,4,37,0,61,4,0,6,462,1.233,8.1,0.3,3.0,5.0,1.65,0,2002,Adv A,NYM
Matt Gahan,26,2,1,.667,5.95,9,0,1,0,0,1,19.2,18,15,13,3,6,0,16,1,0,3,85,1.220,8.2,1.4,2.7,7.3,2.67,0,2002,Adv A,NYM
Aaron Hee*,23,5,5,.500,4.66,34,4,14,0,0,4,67.2,69,44,35,3,38,0,69,7,0,9,316,1.581,9.2,0.4,5.1,9.2,1.82,0,2002,Adv A,NYM
Jake Joseph,24,3,3,.500,3.59,13,13,0,0,0,0,72.2,75,33,29,1,13,0,47,5,1,2,304,1.211,9.3,0.1,1.6,5.8,3.62,0,2002,Adv A,NYM
Bobby Keppel,20,9,7,.563,4.32,27,26,0,0,0,0,152.0,162,83,73,13,43,0,109,16,1,12,656,1.349,9.6,0.8,2.5,6.5,2.53,1,2002,Adv A,NYM
Tim Lavigne,23,0,2,.000,3.76,22,0,20,0,0,7,26.1,21,11,11,3,9,0,25,1,0,1,108,1.139,7.2,1.0,3.1,8.5,2.78,0,2002,Adv A,NYM
Dave Lohrman,26,1,0,1.000,2.35,8,0,4,0,0,0,15.1,8,5,4,0,13,0,22,3,1,5,67,1.370,4.7,0.0,7.6,12.9,1.69,0,2002,Adv A,NYM
Mark Maberry,27,0,1,.000,2.25,10,0,3,0,0,0,16.0,10,6,4,0,7,0,9,0,0,1,65,1.063,5.6,0.0,3.9,5.1,1.29,0,2002,Adv A,NYM
Nick Mattioni,23,4,3,.571,4.78,41,0,24,0,0,3,79.0,71,52,42,5,42,0,68,6,0,9,353,1.430,8.1,0.6,4.8,7.7,1.62,0,2002,Adv A,NYM
D.J. Mattox,22,4,4,.500,2.82,9,9,0,2,1,0,51.0,46,21,16,2,24,0,34,5,0,0,220,1.373,8.1,0.4,4.2,6.0,1.42,0,2002,Adv A,NYM
Blake McGinley*,23,1,1,.500,5.97,18,0,9,0,0,4,31.2,40,22,21,2,13,0,22,1,0,3,148,1.674,11.4,0.6,3.7,6.3,1.69,0,2002,Adv A,NYM
Neal Musser*,21,2,0,1.000,1.42,4,4,0,0,0,0,19.0,20,4,3,1,5,0,12,1,0,1,80,1.316,9.5,0.5,2.4,5.7,2.40,1,2002,Adv A,NYM
P.J. Ochoa,26,1,0,1.000,8.56,4,1,1,0,0,0,13.2,19,13,13,1,10,0,10,0,0,1,68,2.122,12.5,0.7,6.6,6.6,1.00,0,2002,Adv A,NYM
Ross Peeples*,22,2,3,.400,5.59,6,6,0,0,0,0,29.0,33,24,18,2,13,0,26,0,1,1,131,1.586,10.2,0.6,4.0,8.1,2.00,0,2002,Adv A,NYM
Matt Peterson,20,1,0,1.000,1.50,1,1,0,0,0,0,6.0,5,2,1,0,2,0,5,1,0,0,27,1.167,7.5,0.0,3.0,7.5,2.50,0,2002,Adv A,NYM
Luz Portobanco,22,0,2,.000,8.18,2,2,0,1,0,0,11.0,12,10,10,0,9,0,6,2,0,1,53,1.909,9.8,0.0,7.4,4.9,0.67,0,2002,Adv A,NYM
Josh Reynolds,22,11,5,.688,3.13,22,20,1,1,0,0,126.1,123,51,44,10,26,0,70,9,0,0,528,1.179,8.8,0.7,1.9,5.0,2.69,0,2002,Adv A,NYM
Rene Vega*,25,1,3,.250,4.91,5,5,0,0,0,0,29.1,33,20,16,3,14,0,31,1,1,1,135,1.602,10.1,0.9,4.3,9.5,2.21,0,2002,Adv A,NYM
Paul Viole,24,3,9,.250,5.99,40,0,19,0,0,5,67.2,76,67,45,0,54,0,64,10,0,21,346,1.921,10.1,0.0,7.2,8.5,1.19,0,2002,Adv A,NYM
Adam Walker*,26,0,1,.000,9.00,1,1,0,0,0,0,2.0,3,2,2,0,0,0,3,1,0,0,10,1.500,13.5,0.0,0.0,13.5,,0,2002,Adv A,NYM
