Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Scott Barber,25,1,3,.250,5.44,38,1,12,0,0,1,81.0,98,51,49,6,24,3,47,5,0,6,365,1.506,10.9,0.7,2.7,5.2,1.96,0
Billy Biggs,24,0,1,.000,1.35,14,0,7,0,0,0,20.0,15,5,3,0,6,0,16,2,0,2,83,1.050,6.8,0.0,2.7,7.2,2.67,0
Jason Bulger,25,0,3,.000,3.91,24,0,22,0,0,8,25.1,25,12,11,0,19,2,26,2,0,7,121,1.737,8.9,0.0,6.8,9.2,1.37,1
Chris Cervantes*,25,1,1,.500,8.53,21,3,3,0,0,1,44.1,64,47,42,8,25,1,28,3,0,3,227,2.008,13.0,1.6,5.1,5.7,1.12,0
Matt Chico*,21,3,7,.300,5.78,14,12,0,0,0,0,62.1,82,53,40,7,36,1,59,2,1,7,300,1.893,11.8,1.0,5.2,8.5,1.64,1
Lance Cormier,23,2,3,.400,2.29,10,8,0,0,0,0,63.0,66,19,16,3,17,0,58,2,1,3,259,1.317,9.4,0.4,2.4,8.3,3.41,1
Mike DiRosa,24,0,0,,36.00,1,0,1,0,0,0,1.0,5,4,4,0,0,0,0,0,0,0,8,5.000,45.0,0.0,0.0,0.0,,0
Jared Doyle*,23,0,1,.000,3.97,11,0,3,0,0,0,11.1,10,6,5,0,10,3,9,1,0,2,55,1.765,7.9,0.0,7.9,7.1,0.90,0
Casey Fossum*,26,0,0,,2.08,2,2,0,0,0,0,4.1,3,1,1,0,3,0,5,0,0,0,19,1.385,6.2,0.0,6.2,10.4,1.67,1
Clint Goocher*,22,6,10,.375,5.23,17,13,2,0,0,0,86.0,103,61,50,10,27,4,41,5,1,6,382,1.512,10.8,1.0,2.8,4.3,1.52,0
Andrew Good,24,0,0,,0.93,4,4,0,0,0,0,9.2,7,2,1,0,3,0,9,0,0,0,39,1.034,6.5,0.0,2.8,8.4,3.00,1
Matt Henrie,24,9,4,.692,5.28,17,15,1,1,0,0,102.1,128,68,60,8,20,0,60,8,0,2,442,1.446,11.3,0.7,1.8,5.3,3.00,0
William Juarez,23,3,7,.300,5.00,13,13,0,0,0,0,75.2,80,47,42,4,22,2,68,6,0,4,329,1.348,9.5,0.5,2.6,8.1,3.09,0
Aric LeClair*,26,4,2,.667,4.38,29,0,10,0,0,0,39.0,41,20,19,2,20,2,33,1,0,1,175,1.564,9.5,0.5,4.6,7.6,1.65,0
Sergio Lizarraga,22,4,10,.286,5.04,29,17,3,3,1,0,123.1,140,71,69,14,36,6,102,9,0,4,537,1.427,10.2,1.0,2.6,7.4,2.83,0
Matt Morgan,22,0,0,,13.50,1,0,1,0,0,0,2.0,3,4,3,1,2,0,1,0,0,0,11,2.500,13.5,4.5,9.0,4.5,0.50,0
Bill Murphy*,23,3,3,.500,6.68,6,6,0,0,0,0,31.0,41,28,23,6,17,0,24,1,1,2,141,1.871,11.9,1.7,4.9,7.0,1.41,1
Dustin Nippert,23,2,5,.286,3.64,14,14,0,0,0,0,71.2,77,45,29,0,40,1,73,4,0,4,335,1.633,9.7,0.0,5.0,9.2,1.83,1
Tony Pena,22,3,3,.500,5.44,7,7,0,0,0,0,43.0,47,27,26,4,5,0,36,1,0,0,174,1.209,9.8,0.8,1.0,7.5,7.20,1
Beltran Perez,22,2,6,.250,4.41,37,8,8,0,0,3,104.0,102,56,51,14,46,1,77,6,0,2,454,1.423,8.8,1.2,4.0,6.7,1.67,1
Shane Reynolds,36,0,1,.000,5.79,2,2,0,0,0,0,4.2,7,3,3,0,2,0,3,0,0,0,23,1.929,13.5,0.0,3.9,5.8,1.50,1
Mike Schultz,24,0,0,,4.61,12,0,7,0,0,1,13.2,16,7,7,0,13,0,14,0,0,2,70,2.122,10.5,0.0,8.6,9.2,1.08,1
Pete Sikaras,25,0,3,.000,3.72,38,0,22,0,0,9,46.0,51,28,19,3,30,0,46,5,0,7,220,1.761,10.0,0.6,5.9,9.0,1.53,0
Doug Slaten*,24,0,1,.000,10.00,11,0,2,0,0,0,9.0,16,13,10,1,10,0,6,0,0,0,53,2.889,16.0,1.0,10.0,6.0,0.60,1
Sam Smith,24,2,5,.286,7.55,18,6,7,0,0,0,47.2,76,45,40,5,26,3,39,3,0,4,243,2.140,14.3,0.9,4.9,7.4,1.50,0
Phil Stockman,24,1,3,.250,2.67,6,6,0,1,0,0,27.0,17,13,8,1,20,0,21,4,0,2,120,1.370,5.7,0.3,6.7,7.0,1.05,1
Jeff Waldron,27,0,0,,18.00,1,0,1,0,0,0,1.0,3,2,2,0,1,0,0,0,0,0,7,4.000,27.0,0.0,9.0,0.0,0.00,0
Jeremy Ward,26,0,2,.000,7.94,7,0,4,0,0,0,5.2,10,8,5,0,1,0,4,0,0,2,30,1.941,15.9,0.0,1.6,6.4,4.00,0
Bill White*,25,2,3,.400,7.39,31,0,12,0,0,0,35.1,42,37,29,2,34,3,40,1,0,8,192,2.151,10.7,0.5,8.7,10.2,1.18,1
Matty Wilkinson,26,0,2,.000,10.80,5,0,4,0,0,2,3.1,8,4,4,0,3,0,5,0,0,0,21,3.300,21.6,0.0,8.1,13.5,1.67,0
