Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Tim Adkins*,30,0,0,,4.50,1,0,1,0,0,0,2.0,2,1,1,0,1,0,1,0,0,0,9,1.500,9.0,0.0,4.5,4.5,1.00,0
Jason Anderson,25,1,3,.250,4.63,36,0,20,0,0,1,44.2,48,24,23,4,12,0,38,3,0,2,197,1.343,9.7,0.8,2.4,7.7,3.17,1
Andy Beal*,25,4,6,.400,5.29,28,16,3,1,0,0,114.0,145,76,67,15,38,2,50,2,0,2,511,1.605,11.4,1.2,3.0,3.9,1.32,0
Colter Bean,27,9,3,.750,2.29,53,0,12,0,0,1,82.2,61,24,21,3,23,0,109,8,1,2,339,1.016,6.6,0.3,2.5,11.9,4.74,1
Kevin Brown,39,0,0,,4.50,1,1,0,0,0,0,4.0,5,2,2,1,1,0,3,0,0,1,18,1.500,11.3,2.3,2.3,6.8,3.00,1
Buddy Carlyle,26,8,5,.615,4.05,19,18,1,0,0,0,106.2,113,51,48,14,21,0,92,7,0,1,447,1.256,9.5,1.2,1.8,7.8,4.38,1
José Contreras,32,2,0,1.000,3.29,2,2,0,0,0,0,13.2,11,5,5,2,5,0,19,2,0,4,58,1.171,7.2,1.3,3.3,12.5,3.80,1
Lance Davis*,27,4,2,.667,5.48,8,7,0,0,0,0,46.0,54,28,28,4,8,0,20,0,0,0,194,1.348,10.6,0.8,1.6,3.9,2.50,1
Alex Graman*,26,11,6,.647,3.37,24,22,0,1,1,0,131.0,115,56,49,12,53,0,129,3,0,7,550,1.282,7.9,0.8,3.6,8.9,2.43,1
Brad Halsey*,23,11,4,.733,2.63,24,23,0,3,2,0,144.0,128,46,42,8,37,0,109,7,1,2,589,1.146,8.0,0.5,2.3,6.8,2.95,1
Felix Heredia*,29,0,0,,0.00,3,0,0,0,0,0,3.2,2,0,0,0,1,0,5,0,0,0,14,0.818,4.9,0.0,2.5,12.3,5.00,1
Orlando Hernandez,38,2,1,.667,5.60,3,3,0,0,0,0,17.2,17,11,11,3,3,0,16,0,0,0,72,1.132,8.7,1.5,1.5,8.2,5.33,1
Kevin Hooper,27,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,1.000,0.0,0.0,9.0,0.0,0.00,1
Hansel Izquierdo,27,1,1,.500,2.33,11,0,5,0,0,0,19.1,20,7,5,2,7,0,12,2,0,0,89,1.397,9.3,0.9,3.3,5.6,1.71,1
Steve Karsay,32,0,0,,5.56,11,0,1,0,0,0,11.1,12,10,7,0,6,0,8,1,0,0,53,1.588,9.5,0.0,4.8,6.4,1.33,1
Jim Mann,29,3,1,.750,5.97,25,1,11,0,0,0,37.2,48,30,25,6,15,1,25,0,0,0,173,1.673,11.5,1.4,3.6,6.0,1.67,1
Charlie Manning*,25,1,1,.500,3.65,11,0,4,0,0,0,12.1,10,6,5,0,6,0,11,1,0,0,54,1.297,7.3,0.0,4.4,8.0,1.83,1
Sam Marsonek,25,1,5,.167,3.15,35,0,30,0,0,17,40.0,36,20,14,5,12,2,28,3,0,3,170,1.200,8.1,1.1,2.7,6.3,2.33,1
Mike Mussina,35,0,0,,0.00,1,1,0,0,0,0,3.0,2,0,0,0,0,0,5,0,0,0,11,0.667,6.0,0.0,0.0,15.0,,1
C.J. Nitkowski*,31,0,0,,1.42,16,0,1,0,0,0,12.2,8,3,2,0,3,0,11,1,0,2,50,0.868,5.7,0.0,2.1,7.8,3.67,1
Javier Ortiz,24,1,5,.167,7.50,9,9,0,0,0,0,42.0,66,38,35,10,19,1,33,4,0,0,204,2.024,14.1,2.1,4.1,7.1,1.74,0
Juan Padilla,27,2,1,.667,2.02,45,0,11,0,0,3,58.0,49,20,13,1,6,2,52,2,1,4,228,0.948,7.6,0.2,0.9,8.1,8.67,1
Bret Prinz,27,3,1,.750,3.52,29,0,18,0,0,11,30.2,27,12,12,3,9,0,33,2,0,0,127,1.174,7.9,0.9,2.6,9.7,3.67,1
Scott Proctor,27,2,3,.400,2.86,35,0,15,0,0,4,44.0,37,15,14,4,18,2,42,1,0,3,187,1.250,7.6,0.8,3.7,8.6,2.33,1
Ramon Ramirez,22,0,3,.000,8.50,4,4,0,0,0,0,18.0,25,19,17,3,8,1,17,0,0,1,87,1.833,12.5,1.5,4.0,8.5,2.13,1
Carlos Reyes,35,2,1,.667,5.88,5,5,0,0,0,0,26.0,43,17,17,3,10,0,12,0,1,3,120,2.038,14.9,1.0,3.5,4.2,1.20,1
Nerio Rodriguez,33,2,6,.250,8.36,12,11,1,0,0,0,51.2,71,54,48,13,19,0,48,3,0,4,238,1.742,12.4,2.3,3.3,8.4,2.53,1
Eric Schmitt,25,5,5,.500,6.05,20,16,0,1,0,0,86.1,103,66,58,10,17,0,69,4,0,1,383,1.390,10.7,1.0,1.8,7.2,4.06,0
Mike Thurman,30,0,0,,15.43,2,0,0,0,0,0,2.1,5,4,4,1,2,0,2,0,0,0,13,3.000,19.3,3.9,7.7,7.7,1.00,1
Chien-Ming Wang,24,5,1,.833,2.01,6,5,1,2,1,0,40.1,31,9,9,3,8,0,35,1,0,0,154,0.967,6.9,0.7,1.8,7.8,4.38,1
