Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Brian Akin,22,1,1,.500,6.04,21,0,2,0,0,0,47.2,65,36,32,3,22,0,63,6,0,13,236,1.825,12.3,0.6,4.2,11.9,2.86,0,2004,Rookie,LAD
Mark Alexander,23,4,1,.800,2.65,25,0,24,0,0,9,34.0,30,10,10,4,8,0,37,3,0,1,143,1.118,7.9,1.1,2.1,9.8,4.63,0,2004,Rookie,LAD
Carlos Alvarez*,19,3,0,1.000,3.26,20,0,11,0,0,0,30.1,29,13,11,5,5,0,38,2,1,8,127,1.121,8.6,1.5,1.5,11.3,7.60,0,2004,Rookie,LAD
Gabriel Alvarez,19,1,1,.500,4.30,16,0,12,0,0,3,29.1,32,18,14,2,12,0,36,1,2,1,133,1.500,9.8,0.6,3.7,11.0,3.00,0,2004,Rookie,LAD
Albenis Castillo,20,2,2,.500,5.01,12,1,1,0,0,0,32.1,27,20,18,4,19,1,30,5,0,1,148,1.423,7.5,1.1,5.3,8.4,1.58,0,2004,Rookie,LAD
Scott Elbert*,18,2,3,.400,5.26,12,12,0,0,0,0,49.2,47,33,29,5,30,0,45,5,0,5,217,1.550,8.5,0.9,5.4,8.2,1.50,1,2004,Rookie,LAD
Javier Garcia,20,2,3,.400,9.20,16,7,0,0,0,0,46.0,64,51,47,5,26,0,39,5,0,5,231,1.957,12.5,1.0,5.1,7.6,1.50,0,2004,Rookie,LAD
Blake Johnson,19,3,3,.500,6.47,13,12,0,0,0,0,57.0,73,46,41,5,19,0,57,6,0,9,255,1.614,11.5,0.8,3.0,9.0,3.00,0,2004,Rookie,LAD
Aaron Klusman,23,2,1,.667,5.71,21,0,16,0,0,5,34.2,48,26,22,5,13,0,25,4,0,4,169,1.760,12.5,1.3,3.4,6.5,1.92,0,2004,Rookie,LAD
Jose Obispo,20,1,2,.333,13.14,5,4,1,0,0,0,12.1,13,21,18,0,20,0,10,2,1,6,72,2.676,9.5,0.0,14.6,7.3,0.50,0,2004,Rookie,LAD
Justin Orenduff,21,2,3,.400,4.74,13,10,0,0,0,0,43.2,46,26,23,4,25,0,57,1,1,5,198,1.626,9.5,0.8,5.2,11.7,2.28,0,2004,Rookie,LAD
David Parker,21,5,2,.714,4.94,19,0,4,0,0,2,51.0,52,31,28,5,41,0,44,0,0,8,244,1.824,9.2,0.9,7.2,7.8,1.07,0,2004,Rookie,LAD
David Pfeiffer*,18,1,4,.200,6.20,8,8,0,0,0,0,40.2,50,34,28,4,22,0,33,2,1,2,186,1.770,11.1,0.9,4.9,7.3,1.50,0,2004,Rookie,LAD
Jordan Pratt,19,2,6,.250,9.50,12,12,0,0,0,0,48.1,74,60,51,7,36,0,46,10,0,9,252,2.276,13.8,1.3,6.7,8.6,1.28,0,2004,Rookie,LAD
Paul Shuey,33,0,0,,3.38,2,2,0,0,0,0,2.2,2,2,1,0,4,0,4,0,0,1,14,2.250,6.8,0.0,13.5,13.5,1.00,1,2004,Rookie,LAD
Phil Sobkow,23,0,2,.000,5.84,6,5,0,0,0,0,24.2,28,22,16,0,19,0,32,2,0,4,115,1.905,10.2,0.0,6.9,11.7,1.68,0,2004,Rookie,LAD
Cory Wade,21,1,2,.333,5.14,8,0,2,0,0,0,14.0,24,9,8,0,4,1,19,0,0,1,70,2.000,15.4,0.0,2.6,12.2,4.75,1,2004,Rookie,LAD
Wesley Wright*,19,3,3,.500,6.29,17,2,2,0,0,0,44.1,56,43,31,3,23,0,66,1,0,9,215,1.782,11.4,0.6,4.7,13.4,2.87,1,2004,Rookie,LAD
Howar Zuleta,18,0,1,.000,6.23,3,0,0,0,0,0,4.1,4,6,3,0,4,0,8,1,0,2,22,1.846,8.3,0.0,8.3,16.6,2.00,0,2004,Rookie,LAD
