Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Randy Beam*,22,1,2,.333,1.62,9,0,6,0,0,2,16.2,10,3,3,1,3,0,19,0,2,1,63,0.780,5.4,0.5,1.6,10.3,6.33,0,2004,Short-Season A,BOS
Adam Blackley*,19,0,1,.000,7.71,1,1,0,0,0,0,4.2,8,6,4,1,0,0,4,0,0,1,23,1.714,15.4,1.9,0.0,7.7,,0,2004,Short-Season A,BOS
Kyle Bono,21,0,1,.000,3.00,6,5,0,0,0,0,12.0,4,4,4,1,5,0,17,2,0,0,47,0.750,3.0,0.8,3.8,12.8,3.40,0,2004,Short-Season A,BOS
Tom Cochran*,21,0,4,.000,5.00,22,0,10,0,0,3,36.0,39,24,20,2,12,1,33,4,0,3,162,1.417,9.8,0.5,3.0,8.3,2.75,0,2004,Short-Season A,BOS
Andrew Dobies*,21,0,2,.000,2.03,14,14,0,0,0,0,26.2,17,9,6,0,8,0,36,0,0,2,104,0.938,5.7,0.0,2.7,12.2,4.50,0,2004,Short-Season A,BOS
Cooper Eddy,22,2,3,.400,4.29,21,0,12,0,0,2,35.2,41,22,17,2,8,0,27,2,1,3,158,1.374,10.3,0.5,2.0,6.8,3.38,0,2004,Short-Season A,BOS
Drew Ehrlich,22,1,1,.500,3.09,14,0,4,0,0,0,32.0,27,14,11,4,10,0,26,0,0,5,133,1.156,7.6,1.1,2.8,7.3,2.60,0,2004,Short-Season A,BOS
Harvey Garcia,20,4,6,.400,5.16,14,14,0,0,0,0,61.0,61,40,35,8,30,0,54,4,0,7,272,1.492,9.0,1.2,4.4,8.0,1.80,1,2004,Short-Season A,BOS
Jake Glanzman*,21,1,2,.333,13.11,5,0,1,0,0,0,11.2,21,19,17,1,8,0,5,1,2,2,64,2.486,16.2,0.8,6.2,3.9,0.63,0,2004,Short-Season A,BOS
Matt Goodson,21,1,2,.333,5.10,12,1,3,0,0,0,30.0,22,20,17,4,12,0,23,2,0,2,123,1.133,6.6,1.2,3.6,6.9,1.92,0,2004,Short-Season A,BOS
Barry Hertzler,23,4,3,.571,2.67,15,9,1,0,0,0,81.0,69,25,24,3,23,0,73,2,1,8,322,1.136,7.7,0.3,2.6,8.1,3.17,0,2004,Short-Season A,BOS
Tommy Hottovy*,22,0,1,.000,0.89,14,14,0,0,0,0,30.1,24,5,3,0,4,0,39,3,0,2,121,0.923,7.1,0.0,1.2,11.6,9.75,1,2004,Short-Season A,BOS
Mike James,23,0,4,.000,10.90,20,0,6,0,0,1,34.2,53,43,42,7,17,0,34,4,0,11,178,2.019,13.8,1.8,4.4,8.8,2.00,0,2004,Short-Season A,BOS
Jason Ramos,21,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,2,0.000,0.0,0.0,0.0,0.0,,0,2004,Short-Season A,BOS
Eladio Rodriguez,25,1,3,.250,4.75,25,0,20,0,0,5,36.0,34,22,19,2,25,0,38,2,0,4,169,1.639,8.5,0.5,6.3,9.5,1.52,0,2004,Short-Season A,BOS
Anibal Sanchez,20,4,4,.500,1.77,15,15,0,0,0,0,76.1,43,24,15,3,29,0,101,6,1,2,310,0.943,5.1,0.4,3.4,11.9,3.48,1,2004,Short-Season A,BOS
David Sanders*,22,2,2,.500,6.35,17,0,3,0,0,0,28.1,42,20,20,1,10,0,17,2,1,2,139,1.835,13.3,0.3,3.2,5.4,1.70,0,2004,Short-Season A,BOS
Ryan Schroyer,22,4,2,.667,4.44,14,2,0,0,0,0,48.2,46,29,24,6,23,0,57,5,0,5,209,1.418,8.5,1.1,4.3,10.5,2.48,0,2004,Short-Season A,BOS
Scott Shoemaker,22,2,0,1.000,2.48,17,0,9,0,0,3,32.2,32,15,9,2,8,0,52,4,0,4,141,1.224,8.8,0.6,2.2,14.3,6.50,0,2004,Short-Season A,BOS
R.J. Swindle*,20,5,1,.833,1.94,12,1,0,0,0,0,51.0,42,18,11,0,4,0,56,2,0,1,199,0.902,7.4,0.0,0.7,9.9,14.00,1,2004,Short-Season A,BOS
