Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Kyle Allen*,20,2,3,.400,3.46,14,1,8,0,0,2,39.0,38,16,15,0,14,1,36,1,0,2,171,1.333,8.8,0.0,3.2,8.3,2.57,0
Andrew Baldwin,21,4,6,.400,5.17,15,15,0,0,0,0,71.1,96,50,41,2,14,0,54,3,1,4,322,1.542,12.1,0.3,1.8,6.8,3.86,0
Jacob Barrack,22,1,1,.500,2.33,12,1,6,0,0,2,27.0,17,8,7,1,6,0,33,2,1,2,104,0.852,5.7,0.3,2.0,11.0,5.50,0
Joe Bisenius,21,0,1,.000,1.43,11,11,0,0,0,0,50.1,39,12,8,5,14,0,38,1,1,4,199,1.053,7.0,0.9,2.5,6.8,2.71,1
Zac Cline*,20,2,0,1.000,2.53,8,0,2,0,0,0,21.1,21,8,6,0,4,0,21,0,2,0,89,1.172,8.9,0.0,1.7,8.9,5.25,0
Jose Correa,22,3,2,.600,5.35,22,0,14,0,0,2,37.0,38,28,22,5,15,2,34,2,1,6,165,1.432,9.2,1.2,3.6,8.3,2.27,0
Derek Griffith*,21,1,7,.125,4.38,14,14,0,0,0,0,63.2,73,54,31,4,28,0,44,9,1,8,296,1.586,10.3,0.6,4.0,6.2,1.57,0
J.A. Happ*,21,1,2,.333,2.02,11,11,0,0,0,0,35.2,22,8,8,1,18,0,37,3,0,0,143,1.121,5.6,0.3,4.5,9.3,2.06,1
Chris Honsa,20,1,0,1.000,0.00,6,0,5,0,0,2,12.1,4,0,0,0,0,0,11,1,0,0,42,0.324,2.9,0.0,0.0,8.0,,0
Nate Johnson,22,2,6,.250,5.30,18,4,2,0,0,0,52.2,54,38,31,7,11,1,49,7,2,1,229,1.234,9.2,1.2,1.9,8.4,4.45,0
Kyle Kendrick,19,2,8,.200,5.48,13,12,0,0,0,0,70.2,94,52,43,6,18,1,53,5,1,1,317,1.585,12.0,0.8,2.3,6.8,2.94,1
Jason Martinez*,22,0,2,.000,5.80,19,3,7,0,0,0,40.1,56,33,26,5,20,0,27,2,1,1,200,1.884,12.5,1.1,4.5,6.0,1.35,0
Michael Mihalik,22,1,0,1.000,3.60,4,0,3,0,0,1,10.0,6,4,4,1,3,1,9,0,0,0,39,0.900,5.4,0.9,2.7,8.1,3.00,0
Brad Overton,23,0,1,.000,3.09,7,0,3,0,0,1,11.2,14,5,4,0,2,0,6,1,0,0,52,1.371,10.8,0.0,1.5,4.6,3.00,0
Kevin Rose,22,5,3,.625,3.63,22,0,8,0,0,0,44.2,54,24,18,1,24,1,45,1,0,6,212,1.746,10.9,0.2,4.8,9.1,1.88,0
Nelson Santander,21,3,1,.750,5.63,17,0,10,0,0,2,24.0,30,16,15,2,9,1,11,5,1,7,116,1.625,11.3,0.8,3.4,4.1,1.22,0
Kevin Shepard*,21,0,1,.000,1.29,2,2,0,0,0,0,7.0,9,6,1,0,2,0,4,0,0,0,32,1.571,11.6,0.0,2.6,5.1,2.00,0
Jake Tompkins,24,0,2,.000,7.94,12,0,3,0,0,0,28.1,31,28,25,2,21,1,27,5,0,4,141,1.835,9.8,0.6,6.7,8.6,1.29,0
Aaron Wilson,22,0,0,,0.00,3,0,3,0,0,1,6.0,4,2,0,0,4,0,4,0,0,0,26,1.333,6.0,0.0,6.0,6.0,1.00,0
