Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Jason Andrew,25,3,4,.429,3.59,48,2,11,0,0,0,80.1,78,39,32,4,28,4,63,2,0,1,341,1.320,8.7,0.4,3.1,7.1,2.25,0,2005,AA,CIN
Joel Barreto,24,3,0,1.000,3.60,3,0,0,0,0,0,5.0,5,2,2,0,4,0,3,0,0,3,22,1.800,9.0,0.0,7.2,5.4,0.75,0,2005,AA,CIN
Bobby Basham,25,5,3,.625,2.98,10,10,0,0,0,0,51.1,52,20,17,5,9,0,46,5,0,3,205,1.188,9.1,0.9,1.6,8.1,5.11,0,2005,AA,CIN
Jeff Bruksch,25,3,9,.250,4.81,28,14,3,0,0,0,91.2,86,56,49,10,67,2,84,3,1,11,420,1.669,8.4,1.0,6.6,8.2,1.25,0,2005,AA,CIN
Lance Caraccioli*,27,5,5,.500,3.97,15,10,2,0,0,0,68.0,65,35,30,6,31,2,61,4,0,5,294,1.412,8.6,0.8,4.1,8.1,1.97,0,2005,AA,CIN
Brad Cherry,24,0,2,.000,7.71,7,0,4,0,0,0,9.1,15,10,8,3,3,0,8,0,0,0,50,1.929,14.5,2.9,2.9,7.7,2.67,0,2005,AA,CIN
Travis Chick,21,2,2,.500,4.86,8,8,0,0,0,0,46.1,47,25,25,5,27,1,21,0,1,4,207,1.597,9.1,1.0,5.2,4.1,0.78,1,2005,AA,CIN
Arian Cruz*,27,3,1,.750,3.26,13,0,6,0,0,0,19.1,23,9,7,1,6,0,16,1,0,1,87,1.500,10.7,0.5,2.8,7.4,2.67,0,2005,AA,CIN
Phil Dumatrait*,23,4,12,.250,3.17,24,24,0,0,0,0,127.2,115,58,45,4,70,4,101,2,0,13,551,1.449,8.1,0.3,4.9,7.1,1.44,1,2005,AA,CIN
Eric Eckenstahler*,28,0,0,,9.24,35,0,15,0,0,0,37.0,53,42,38,4,41,0,29,6,0,8,205,2.541,12.9,1.0,10.0,7.1,0.71,1,2005,AA,CIN
Richie Gardner,23,3,6,.333,5.73,13,13,0,0,0,0,66.0,80,46,42,6,24,1,47,3,0,5,295,1.576,10.9,0.8,3.3,6.4,1.96,0,2005,AA,CIN
Josh Hall,24,5,6,.455,3.53,18,18,0,0,0,0,112.1,115,49,44,7,35,2,92,3,0,10,473,1.335,9.2,0.6,2.8,7.4,2.63,1,2005,AA,CIN
Luke Hudson,28,0,1,.000,5.40,1,1,0,0,0,0,6.2,6,4,4,2,1,0,7,1,0,0,28,1.050,8.1,2.7,1.4,9.5,7.00,1,2005,AA,CIN
Ben Kozlowski*,24,4,4,.500,4.04,20,20,0,0,0,0,111.1,129,58,50,10,31,1,82,6,1,7,493,1.437,10.4,0.8,2.5,6.6,2.65,1,2005,AA,CIN
Justin Mallett,23,0,0,,5.91,3,2,0,0,0,0,10.2,12,7,7,3,5,0,9,1,0,0,48,1.594,10.1,2.5,4.2,7.6,1.80,0,2005,AA,CIN
Bubba Nelson,23,2,4,.333,4.61,42,0,30,0,0,12,68.1,67,38,35,5,27,0,70,7,0,4,303,1.376,8.8,0.7,3.6,9.2,2.59,0,2005,AA,CIN
Kyle Nichols,27,0,0,,0.00,2,0,2,0,0,0,2.0,1,0,0,0,0,0,2,1,0,0,8,0.500,4.5,0.0,0.0,9.0,,0,2005,AA,CIN
Travis Phelps,27,0,1,.000,5.40,7,0,6,0,0,0,10.0,14,6,6,1,1,0,10,0,0,2,42,1.500,12.6,0.9,0.9,9.0,10.00,1,2005,AA,CIN
Josh Renick,26,0,0,,27.00,1,0,1,0,0,0,1.0,3,3,3,0,1,0,0,0,0,0,7,4.000,27.0,0.0,9.0,0.0,0.00,0,2005,AA,CIN
Miguel Saladin,30,0,0,,3.45,10,0,2,0,0,1,15.2,19,6,6,2,5,0,15,1,0,0,70,1.532,10.9,1.1,2.9,8.6,3.00,0,2005,AA,CIN
Brad Salmon,25,3,8,.273,3.34,38,0,13,0,0,4,72.2,66,31,27,3,31,1,71,3,0,7,310,1.335,8.2,0.4,3.8,8.8,2.29,1,2005,AA,CIN
Jeremy Schmidt,25,3,5,.375,4.36,46,0,16,0,0,0,64.0,64,35,31,6,23,1,56,1,5,3,269,1.359,9.0,0.8,3.2,7.9,2.43,0,2005,AA,CIN
David Shafer,23,1,6,.143,4.08,34,0,25,0,0,6,39.2,31,21,18,3,24,2,41,3,1,0,177,1.387,7.0,0.7,5.4,9.3,1.71,0,2005,AA,CIN
Edward Valdez,25,1,3,.250,6.94,12,11,0,0,0,0,58.1,85,48,45,10,24,0,47,8,0,2,280,1.869,13.1,1.5,3.7,7.3,1.96,0,2005,AA,CIN
Andy Van Hekken*,25,2,0,1.000,3.24,3,3,0,0,0,0,16.2,19,6,6,2,3,0,10,1,0,0,74,1.320,10.3,1.1,1.6,5.4,3.33,1,2005,AA,CIN
Ben Weber,35,1,1,.500,2.31,9,0,0,0,0,0,11.2,9,3,3,2,3,0,5,1,0,2,48,1.029,6.9,1.5,2.3,3.9,1.67,1,2005,AA,CIN
