Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Brandon Webb,26,14,12,.538,3.54,33,33,0,1,0,0,229.0,229,98,90,21,59,4,172,2,1,14,943,1.258,9.0,0.8,2.3,6.8,2.92,1
Javier Vazquez,28,11,15,.423,4.42,33,33,0,3,1,0,215.2,223,112,106,35,46,4,192,5,0,7,904,1.247,9.3,1.5,1.9,8.0,4.17,1
Brad Halsey*,24,8,12,.400,4.61,28,26,1,0,0,0,160.0,191,101,82,20,39,3,82,9,1,2,700,1.438,10.7,1.1,2.2,4.6,2.10,1
Shawn Estes*,32,7,8,.467,4.80,21,21,0,2,0,0,123.2,132,70,66,15,45,0,63,4,0,4,535,1.431,9.6,1.1,3.3,4.6,1.40,1
Claudio Vargas,27,9,6,.600,4.81,21,19,0,0,0,0,119.2,124,66,64,21,40,3,90,7,0,6,520,1.370,9.3,1.6,3.0,6.8,2.25,1
Russ Ortiz,31,5,11,.313,6.89,22,22,0,0,0,0,115.0,147,92,88,18,65,3,46,4,0,5,551,1.843,11.5,1.4,5.1,3.6,0.71,1
Jose Valverde,27,3,4,.429,2.44,61,0,34,0,0,15,66.1,51,19,18,5,20,1,75,2,0,3,268,1.070,6.9,0.7,2.7,10.2,3.75,1
Lance Cormier,24,7,3,.700,5.11,67,0,13,0,0,0,79.1,86,50,45,7,43,5,63,5,0,6,356,1.626,9.8,0.8,4.9,7.1,1.47,1
Mike Koplove,28,2,1,.667,5.07,44,0,11,0,0,0,49.2,48,31,28,6,20,3,28,6,1,1,217,1.369,8.7,1.1,3.6,5.1,1.40,1
Brian Bruney,23,1,3,.250,7.43,47,0,21,0,0,12,46.0,56,39,38,6,35,2,51,5,0,2,230,1.978,11.0,1.2,6.8,10.0,1.46,1
Greg Aquino,27,0,1,.000,7.76,35,0,11,0,0,1,31.1,42,29,27,7,17,1,34,4,1,2,155,1.883,12.1,2.0,4.9,9.8,2.00,1
Mike Gosling*,24,0,3,.000,4.45,13,5,5,0,0,0,32.1,40,20,16,2,19,2,14,0,0,0,154,1.825,11.1,0.6,5.3,3.9,0.74,1
Tim Worrell,37,1,1,.500,2.27,32,0,8,0,0,0,31.2,30,13,8,4,9,2,22,1,0,0,137,1.232,8.5,1.1,2.6,6.3,2.44,1
Brandon Medders,25,4,1,.800,1.78,27,0,10,0,0,0,30.1,21,6,6,2,11,0,31,1,0,1,122,1.055,6.2,0.6,3.3,9.2,2.82,1
Brandon Lyon,25,0,2,.000,6.44,32,0,22,0,0,14,29.1,44,25,21,6,10,2,17,2,1,1,144,1.841,13.5,1.8,3.1,5.2,1.70,1
Buddy Groom*,39,0,1,.000,4.70,23,0,5,0,0,1,15.1,19,8,8,2,5,1,7,0,0,0,70,1.565,11.2,1.2,2.9,4.1,1.40,1
Dustin Nippert,24,1,0,1.000,5.52,3,3,0,0,0,0,14.2,10,9,9,1,13,0,11,1,0,1,68,1.568,6.1,0.6,8.0,6.8,0.85,1
Javier Lopez*,27,1,1,.500,9.42,29,0,5,0,0,2,14.1,19,15,15,2,11,3,11,1,0,0,74,2.093,11.9,1.3,6.9,6.9,1.00,1
Oscar Villarreal,23,2,0,1.000,5.27,11,0,0,0,0,0,13.2,11,8,8,2,6,2,5,1,0,0,57,1.244,7.2,1.3,4.0,3.3,0.83,1
Jason Bulger,26,1,0,1.000,5.40,9,0,5,0,0,0,10.0,14,6,6,1,5,1,9,0,0,0,48,1.900,12.6,0.9,4.5,8.1,1.80,1
Kerry Ligtenberg,34,0,0,,13.97,7,0,2,0,0,0,9.2,16,15,15,4,4,0,5,0,0,0,48,2.069,14.9,3.7,3.7,4.7,1.25,1
Matt Herges,35,0,0,,13.50,7,0,2,0,0,0,8.0,12,12,12,4,5,0,3,1,0,0,42,2.125,13.5,4.5,5.6,3.4,0.60,1
Randy Choate*,29,0,0,,9.00,8,0,0,0,0,0,7.0,8,7,7,0,5,1,4,1,0,1,35,1.857,10.3,0.0,6.4,5.1,0.80,1
Armando Almanza*,32,0,0,,2.25,6,0,1,0,0,0,4.0,5,1,1,1,3,0,2,0,0,1,19,2.000,11.3,2.3,6.8,4.5,0.67,1
Edgar Gonzalez,22,0,0,,108.00,1,0,0,0,0,0,0.1,2,4,4,1,2,0,1,0,0,1,5,12.000,54.0,27.0,54.0,27.0,0.50,1
