Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Bartolo Colon,32,21,8,.724,3.48,33,33,0,2,0,0,222.2,215,93,86,26,43,0,157,3,1,2,906,1.159,8.7,1.1,1.7,6.3,3.65,1,2005,MLB,LAA
John Lackey,26,14,5,.737,3.44,33,33,0,1,0,0,209.0,208,85,80,13,71,3,199,11,0,18,892,1.335,9.0,0.6,3.1,8.6,2.80,1,2005,MLB,LAA
Paul Byrd,34,12,11,.522,3.74,31,31,0,2,1,0,204.1,216,95,85,22,28,1,102,7,0,1,842,1.194,9.5,1.0,1.2,4.5,3.64,1,2005,MLB,LAA
Jarrod Washburn*,30,8,8,.500,3.20,29,29,0,1,1,0,177.1,184,66,63,19,51,0,94,8,0,2,740,1.325,9.3,1.0,2.6,4.8,1.84,1,2005,MLB,LAA
Ervin Santana,22,12,8,.600,4.65,23,23,0,1,1,0,133.2,139,73,69,17,47,2,99,8,0,4,583,1.392,9.4,1.1,3.2,6.7,2.11,1,2005,MLB,LAA
Francisco Rodriguez,23,2,5,.286,2.67,66,0,58,0,0,45,67.1,45,20,20,7,32,3,91,0,0,8,279,1.144,6.0,0.9,4.3,12.2,2.84,1,2005,MLB,LAA
Scot Shields,29,10,11,.476,2.75,78,0,21,0,0,7,91.2,66,33,28,5,37,2,98,2,0,12,375,1.124,6.5,0.5,3.6,9.6,2.65,1,2005,MLB,LAA
Esteban Yan,30,1,1,.500,4.59,49,0,21,0,0,0,66.2,66,36,34,8,30,4,45,0,0,5,293,1.440,8.9,1.1,4.1,6.1,1.50,1,2005,MLB,LAA
Brendan Donnelly,33,9,3,.750,3.72,65,0,14,0,0,0,65.1,60,30,27,9,19,3,53,2,0,3,271,1.209,8.3,1.2,2.6,7.3,2.79,1,2005,MLB,LAA
Kevin Gregg,27,1,2,.333,5.04,33,2,9,0,0,0,64.1,70,37,36,8,29,2,52,3,0,5,290,1.539,9.8,1.1,4.1,7.3,1.79,1,2005,MLB,LAA
Kelvim Escobar,29,3,2,.600,3.02,16,7,2,0,0,1,59.2,45,21,20,4,21,1,63,2,0,4,242,1.106,6.8,0.6,3.2,9.5,3.00,1,2005,MLB,LAA
Joel Peralta,29,1,0,1.000,3.89,28,0,10,0,0,0,34.2,28,15,15,6,14,2,30,0,0,2,145,1.212,7.3,1.6,3.6,7.8,2.14,1,2005,MLB,LAA
Jake Woods*,23,1,1,.500,4.55,28,0,10,0,0,0,27.2,30,18,14,7,8,0,20,2,0,2,122,1.373,9.8,2.3,2.6,6.5,2.50,1,2005,MLB,LAA
Chris Bootcheck,26,0,1,.000,3.38,5,2,1,0,0,1,18.2,19,7,7,1,4,1,8,0,0,1,79,1.232,9.2,0.5,1.9,3.9,2.00,1,2005,MLB,LAA
Joe Saunders*,24,0,0,,7.71,2,2,0,0,0,0,9.1,10,8,8,3,4,0,4,0,0,1,41,1.500,9.6,2.9,3.9,3.9,1.00,1,2005,MLB,LAA
Greg Jones,28,0,0,,6.75,6,0,6,0,0,0,5.1,7,4,4,2,2,0,6,0,0,0,24,1.688,11.8,3.4,3.4,10.1,3.00,1,2005,MLB,LAA
Jason Christiansen*,35,0,0,,2.45,12,0,1,0,0,0,3.2,7,1,1,0,2,0,4,0,0,0,20,2.455,17.2,0.0,4.9,9.8,2.00,1,2005,MLB,LAA
Bret Prinz,28,0,1,.000,3.00,3,0,2,0,0,0,3.0,4,1,1,1,1,0,1,0,0,0,14,1.667,12.0,3.0,3.0,3.0,1.00,1,2005,MLB,LAA
