Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Eddy Baeza,21,3,2,.600,2.60,10,10,0,0,0,0,55.1,45,18,16,1,15,0,53,2,0,4,227,1.084,7.3,0.2,2.4,8.6,3.53,0,2006,A,ARI
Jake Baxter,22,3,2,.600,4.45,19,0,10,0,0,1,30.1,35,15,15,2,8,0,17,0,0,2,132,1.418,10.4,0.6,2.4,5.0,2.13,0,2006,A,ARI
Vince Bongiovanni,23,7,3,.700,3.75,32,11,6,1,1,5,84.0,74,41,35,2,42,0,67,4,0,3,375,1.381,7.9,0.2,4.5,7.2,1.60,0,2006,A,ARI
Chase Christianson,21,0,0,,9.00,3,0,2,0,0,0,3.0,5,3,3,1,1,0,2,0,0,2,15,2.000,15.0,3.0,3.0,6.0,2.00,0,2006,A,ARI
Forrest Cory*,22,4,2,.667,1.99,37,1,14,0,0,3,68.0,49,18,15,3,15,3,47,1,2,7,267,0.941,6.5,0.4,2.0,6.2,3.13,0,2006,A,ARI
Anthony Cupps,23,7,4,.636,4.72,22,22,0,1,1,0,129.2,159,80,68,7,43,1,72,6,1,7,585,1.558,11.0,0.5,3.0,5.0,1.67,0,2006,A,ARI
Ryan Doherty,22,9,1,.900,2.59,39,0,15,0,0,5,62.2,50,25,18,2,20,0,76,3,1,6,262,1.117,7.2,0.3,2.9,10.9,3.80,0,2006,A,ARI
Enmanuel Duran,21,2,4,.333,5.85,36,0,19,0,0,2,52.1,55,39,34,3,22,0,48,4,1,7,237,1.471,9.5,0.5,3.8,8.3,2.18,0,2006,A,ARI
Cody Evans,22,5,7,.417,3.02,16,16,0,3,0,0,104.1,92,40,35,7,19,0,70,3,1,2,415,1.064,7.9,0.6,1.6,6.0,3.68,0,2006,A,ARI
Adam Howard,22,9,5,.643,3.90,30,20,4,0,0,0,134.0,138,64,58,7,30,0,101,2,0,6,557,1.254,9.3,0.5,2.0,6.8,3.37,0,2006,A,ARI
Donald Julio,22,3,1,.750,2.66,38,1,16,0,0,3,67.2,58,32,20,4,15,3,67,2,0,5,280,1.079,7.7,0.5,2.0,8.9,4.47,0,2006,A,ARI
Kyler Newby,21,6,1,.857,2.05,28,0,21,0,0,11,44.0,22,10,10,0,19,3,64,0,1,3,169,0.932,4.5,0.0,3.9,13.1,3.37,0,2006,A,ARI
Angel Rocha*,21,0,0,,18.00,4,0,1,0,0,0,3.0,1,6,6,1,10,0,0,0,0,0,20,3.667,3.0,3.0,30.0,0.0,0.00,0,2006,A,ARI
Ramon Sanchez,22,1,10,.091,7.66,33,7,9,0,0,1,67.0,81,67,57,3,44,0,47,6,1,16,323,1.866,10.9,0.4,5.9,6.3,1.07,0,2006,A,ARI
Ryan Schreppel*,22,6,13,.316,5.00,26,23,0,0,0,0,138.2,154,87,77,15,59,0,72,1,4,10,608,1.536,10.0,1.0,3.8,4.7,1.22,0,2006,A,ARI
Matt Torra,22,0,1,.000,1.80,7,7,0,0,0,0,25.0,24,7,5,0,5,0,20,0,0,1,98,1.160,8.6,0.0,1.8,7.2,4.00,0,2006,A,ARI
Jonatan Valverde,23,1,1,.500,2.57,12,0,11,0,0,5,14.0,16,5,4,1,3,1,12,0,0,1,56,1.357,10.3,0.6,1.9,7.7,4.00,0,2006,A,ARI
Kyle Wright,23,8,5,.615,3.69,32,18,3,0,0,0,124.1,156,72,51,7,17,0,103,2,1,6,540,1.391,11.3,0.5,1.2,7.5,6.06,0,2006,A,ARI
