Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Ronald Acuna Sr.,27,0,0,,4.50,1,0,0,0,0,0,2.0,2,1,1,0,0,0,1,0,0,1,7,1.000,9.0,0.0,0.0,4.5,,0,2006,AA,MIL
Khalid Ballouli,26,2,4,.333,4.15,23,7,9,0,0,1,56.1,59,37,26,4,20,1,52,5,0,5,249,1.402,9.4,0.6,3.2,8.3,2.60,0,2006,AA,MIL
Steve Bray,25,5,4,.556,2.70,29,2,7,0,0,1,63.1,57,19,19,4,7,2,57,0,0,1,248,1.011,8.1,0.6,1.0,8.1,8.14,0,2006,AA,MIL
Jose Capellan,25,0,0,,0.00,1,1,0,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,0.000,0.0,0.0,0.0,18.0,,1,2006,AA,MIL
Jorge De La Rosa*,25,3,1,.750,2.40,6,6,0,0,0,0,30.0,31,12,8,1,3,0,23,1,0,2,120,1.133,9.3,0.3,0.9,6.9,7.67,1,2006,AA,MIL
Tim Dillard,22,10,7,.588,3.15,29,25,2,1,1,0,163.0,167,76,57,10,36,0,108,6,0,12,698,1.245,9.2,0.6,2.0,6.0,3.00,1,2006,AA,MIL
Jeff Eure,25,0,0,,0.00,1,0,1,0,0,1,1.0,1,0,0,0,0,0,2,0,0,0,4,1.000,9.0,0.0,0.0,18.0,,0,2006,AA,MIL
Brett Evert,25,0,4,.000,2.65,14,0,6,0,0,0,17.0,14,5,5,3,7,1,13,2,0,0,71,1.235,7.4,1.6,3.7,6.9,1.86,0,2006,AA,MIL
Yovani Gallardo,20,5,2,.714,1.63,13,13,0,0,0,0,77.1,50,18,14,2,28,0,85,1,0,2,303,1.009,5.8,0.2,3.3,9.9,3.04,1,2006,AA,MIL
Luther Hackman,31,3,0,1.000,0.66,8,0,1,0,0,0,13.2,9,1,1,1,0,0,15,0,0,0,49,0.659,5.9,0.7,0.0,9.9,,1,2006,AA,MIL
Steve Hammond*,24,5,6,.455,2.93,13,13,0,1,1,0,73.2,63,29,24,7,25,1,58,2,0,0,306,1.195,7.7,0.9,3.1,7.1,2.32,0,2006,AA,MIL
Jeff Housman*,24,1,4,.200,3.67,12,11,0,0,0,0,56.1,56,23,23,1,19,0,44,3,0,2,236,1.331,8.9,0.2,3.0,7.0,2.32,0,2006,AA,MIL
Mike Jones,23,0,0,,0.00,1,1,0,0,0,0,4.0,1,0,0,0,3,0,3,0,0,0,15,1.000,2.3,0.0,6.8,6.8,1.00,0,2006,AA,MIL
