Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Antonio Alfonseca,34,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0.000,0.0,0.0,0.0,0.0,,1,2006,AA,TEX
Casey Benjamin,25,0,0,,13.50,2,0,2,0,0,0,1.1,2,2,2,0,1,0,1,0,0,0,7,2.250,13.5,0.0,6.8,6.8,1.00,0,2006,AA,TEX
Mike Bumstead,28,1,2,.333,1.81,33,0,13,0,0,5,54.2,39,13,11,0,20,2,56,1,0,3,221,1.079,6.4,0.0,3.3,9.2,2.80,0,2006,AA,TEX
Jesse Carlson*,25,6,5,.545,4.66,43,0,17,0,0,3,58.0,65,39,30,7,18,3,45,5,0,0,263,1.431,10.1,1.1,2.8,7.0,2.50,1,2006,AA,TEX
Fabio Castro*,21,0,1,.000,1.98,5,4,0,0,0,0,13.2,14,7,3,1,8,0,10,0,0,1,62,1.610,9.2,0.7,5.3,6.6,1.25,1,2006,AA,TEX
Jesse Chavez,22,2,5,.286,4.42,38,0,22,0,0,4,59.0,54,33,29,5,28,3,70,2,0,7,256,1.390,8.2,0.8,4.3,10.7,2.50,1,2006,AA,TEX
Bryan Corey,32,1,0,1.000,2.08,13,0,11,0,0,7,17.1,16,7,4,0,6,1,19,2,0,1,76,1.269,8.3,0.0,3.1,9.9,3.17,1,2006,AA,TEX
John Danks*,21,5,4,.556,4.15,13,13,0,0,0,0,69.1,74,38,32,11,22,0,82,2,0,3,300,1.385,9.6,1.4,2.9,10.6,3.73,1,2006,AA,TEX
Thomas Diamond,23,12,5,.706,4.24,27,27,0,1,1,0,129.1,104,65,61,14,78,0,145,4,0,9,561,1.407,7.2,1.0,5.4,10.1,1.86,1,2006,AA,TEX
Jose Diaz,26,2,0,1.000,1.29,8,4,1,0,0,0,28.0,16,5,4,0,20,0,29,3,0,3,117,1.286,5.1,0.0,6.4,9.3,1.45,1,2006,AA,TEX
Adam Eaton,28,0,0,,1.42,2,2,0,0,0,0,6.1,7,1,1,0,1,0,5,1,0,0,28,1.263,9.9,0.0,1.4,7.1,5.00,1,2006,AA,TEX
Frank Francisco,26,0,0,,1.84,13,0,3,0,0,0,14.2,10,3,3,1,4,0,22,0,0,1,57,0.955,6.1,0.6,2.5,13.5,5.50,1,2006,AA,TEX
Armando Galarraga,24,1,6,.143,5.49,9,9,0,0,0,0,41.0,56,34,25,5,13,0,38,6,1,1,192,1.683,12.3,1.1,2.9,8.3,2.92,1,2006,AA,TEX
Daniel Haigwood*,22,1,2,.333,3.63,12,12,0,1,0,0,62.0,66,29,25,4,44,0,57,1,1,3,284,1.774,9.6,0.6,6.4,8.3,1.30,0,2006,AA,TEX
Eric Hurley,20,3,1,.750,1.95,6,6,0,0,0,0,37.0,21,9,8,4,11,0,31,3,0,0,140,0.865,5.1,1.0,2.7,7.5,2.82,1,2006,AA,TEX
Jesse Ingram,24,3,2,.600,5.21,15,0,12,0,0,4,19.0,20,13,11,2,5,0,22,1,0,1,82,1.316,9.5,0.9,2.4,10.4,4.40,0,2006,AA,TEX
Ryan Jensen,30,2,4,.333,5.94,11,8,0,0,0,0,50.0,62,37,33,6,13,0,37,4,0,4,229,1.500,11.2,1.1,2.3,6.7,2.85,1,2006,AA,TEX
Kea Kometani,23,8,5,.615,4.69,17,16,0,1,0,0,88.1,95,50,46,4,33,0,77,4,1,3,387,1.449,9.7,0.4,3.4,7.8,2.33,0,2006,AA,TEX
Wes Littleton,23,3,0,1.000,0.66,17,0,6,0,0,3,27.1,13,3,2,1,7,0,25,2,0,1,104,0.732,4.3,0.3,2.3,8.2,3.57,1,2006,AA,TEX
Kameron Loe,24,0,1,.000,5.14,2,2,0,0,0,0,7.0,8,5,4,1,4,0,4,0,0,0,32,1.714,10.3,1.3,5.1,5.1,1.00,1,2006,AA,TEX
Nick Masset,24,2,2,.500,2.06,8,8,0,0,0,0,48.0,38,16,11,0,20,0,40,2,1,4,203,1.208,7.1,0.0,3.8,7.5,2.00,1,2006,AA,TEX
Doug Mathis,23,0,0,,3.60,2,2,0,0,0,0,10.0,14,5,4,0,5,1,10,1,0,0,49,1.900,12.6,0.0,4.5,9.0,2.00,1,2006,AA,TEX
Luis Mendoza,22,2,4,.333,7.75,7,7,0,0,0,0,38.1,55,33,33,2,11,0,21,2,0,7,181,1.722,12.9,0.5,2.6,4.9,1.91,1,2006,AA,TEX
Lou Pote,34,3,2,.600,5.04,17,1,6,0,0,0,30.1,33,17,17,3,15,0,24,0,0,4,132,1.582,9.8,0.9,4.5,7.1,1.60,1,2006,AA,TEX
Omar Poveda,18,0,1,.000,1.80,1,1,0,0,0,0,5.0,4,2,1,0,5,0,1,0,0,0,23,1.800,7.2,0.0,9.0,1.8,0.20,0,2006,AA,TEX
Steve Rowe,25,5,5,.500,5.53,45,3,18,0,0,0,83.0,95,59,51,14,33,2,67,7,1,3,377,1.542,10.3,1.5,3.6,7.3,2.03,0,2006,AA,TEX
