Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Eleazar Aponte,21,0,2,.000,3.22,4,4,0,1,0,0,22.1,14,10,8,2,8,0,11,2,0,0,88,0.985,5.6,0.8,3.2,4.4,1.38,0
Kevin Ardoin,23,9,9,.500,4.11,26,26,0,2,1,0,155.1,176,79,71,16,22,2,86,11,1,4,652,1.275,10.2,0.9,1.3,5.0,3.91,0
Eddie Bonine,25,4,4,.500,3.98,41,11,13,0,0,1,106.1,108,62,47,9,27,2,83,5,1,8,450,1.270,9.1,0.8,2.3,7.0,3.07,1
Jesse Caraballo,19,0,0,,0.00,1,0,1,0,0,0,2.0,0,2,0,0,3,0,3,0,1,3,10,1.500,0.0,0.0,13.5,13.5,1.00,0
Ed Clelland*,24,0,1,.000,19.29,3,0,0,0,0,0,2.1,8,6,5,0,2,0,1,0,0,1,16,4.286,30.9,0.0,7.7,3.9,0.50,0
Jon Connolly*,22,3,0,1.000,1.66,3,3,0,0,0,0,21.2,14,5,4,0,4,0,5,0,0,1,79,0.831,5.8,0.0,1.7,2.1,1.25,0
Lance Davis*,29,2,3,.400,5.26,7,7,0,0,0,0,39.1,57,27,23,4,8,1,28,1,0,3,182,1.653,13.0,0.9,1.8,6.4,3.50,1
Freddy Dolsi,23,4,4,.500,4.01,30,0,11,0,0,1,42.2,47,25,19,5,17,1,29,1,1,7,190,1.500,9.9,1.1,3.6,6.1,1.71,1
P.J. Finigan,23,9,2,.818,3.16,33,2,5,0,0,0,62.2,55,24,22,2,21,1,36,3,0,2,259,1.213,7.9,0.3,3.0,5.2,1.71,0
Loren Fraser,23,0,1,.000,6.23,11,0,4,0,0,0,13.0,21,11,9,1,4,1,7,0,0,1,61,1.923,14.5,0.7,2.8,4.8,1.75,0
Jeff Hahn,24,8,5,.615,4.08,50,0,14,0,0,3,70.2,72,41,32,4,42,4,50,9,0,9,333,1.613,9.2,0.5,5.3,6.4,1.19,0
Paul Hammond*,23,0,1,.000,2.84,4,0,3,0,0,0,6.1,5,4,2,1,3,0,4,1,0,0,28,1.263,7.1,1.4,4.3,5.7,1.33,0
Jeremy Johnson,23,2,5,.286,3.99,22,11,4,0,0,1,90.1,81,45,40,6,39,1,50,7,0,2,390,1.328,8.1,0.6,3.9,5.0,1.28,0
Jair Jurrjens,20,5,0,1.000,2.08,12,12,0,0,0,0,73.2,53,23,17,4,10,0,59,2,0,3,281,0.855,6.5,0.5,1.2,7.2,5.90,1
Josh Kauten,24,0,0,,5.40,7,0,2,0,0,0,11.2,11,10,7,1,6,0,8,1,0,1,53,1.457,8.5,0.8,4.6,6.2,1.33,0
Andrew Kown,23,6,5,.545,3.53,18,18,0,2,0,0,104.2,99,53,41,9,43,2,67,7,0,12,460,1.357,8.5,0.8,3.7,5.8,1.56,0
Cristhian Martinez,24,1,1,.500,4.98,5,5,0,0,0,0,21.2,27,14,12,3,5,0,15,1,0,1,93,1.477,11.2,1.2,2.1,6.2,3.00,1
Nick McIntyre,25,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,1,0,0,4,1.000,9.0,0.0,0.0,0.0,,0
Andrew Miller*,21,0,0,,0.00,3,0,0,0,0,0,5.0,2,0,0,0,1,0,9,1,0,1,19,0.600,3.6,0.0,1.8,16.2,9.00,1
Tony Peralta*,22,1,1,.500,2.65,27,1,6,0,0,0,37.1,35,15,11,4,9,0,35,2,0,0,157,1.179,8.4,1.0,2.2,8.4,3.89,0
Josh Rainwater,21,0,2,.000,6.17,5,4,0,0,0,0,23.1,32,18,16,2,7,0,9,4,0,2,109,1.671,12.3,0.8,2.7,3.5,1.29,0
Jermy Rodriguez,26,0,0,,16.20,2,0,1,0,0,0,3.1,7,6,6,2,2,0,4,0,0,1,19,2.700,18.9,5.4,5.4,10.8,2.00,0
Kyle Sleeth,24,1,4,.200,11.90,8,7,0,0,0,0,19.2,23,27,26,2,21,0,7,3,0,9,104,2.237,10.5,0.9,9.6,3.2,0.33,0
Anthony Tomey,24,2,3,.400,2.51,23,0,11,0,0,0,32.1,17,9,9,0,12,2,37,4,1,1,130,0.897,4.7,0.0,3.3,10.3,3.08,0
Dallas Trahern,20,6,11,.353,3.30,25,25,0,4,0,0,144.2,129,66,53,9,41,2,86,14,0,3,601,1.175,8.0,0.6,2.6,5.4,2.10,0
Kevin Whelan,22,4,1,.800,2.67,51,0,46,0,0,27,54.0,33,20,16,1,29,2,69,1,0,4,221,1.148,5.5,0.2,4.8,11.5,2.38,1
Danny Zell*,24,1,3,.250,4.64,34,0,5,0,0,1,33.0,41,19,17,3,10,2,25,4,0,2,151,1.545,11.2,0.8,2.7,6.8,2.50,0
