Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Yesson Berroa,23,0,0,,1.74,13,0,6,0,0,0,20.2,14,4,4,1,6,0,21,0,0,0,80,0.968,6.1,0.4,2.6,9.1,3.50,0,2006,Adv A,TOR
A.J. Burnett,29,0,0,,3.38,2,2,0,0,0,0,8.0,9,3,3,0,2,0,6,1,0,0,34,1.375,10.1,0.0,2.3,6.8,3.00,1,2006,Adv A,TOR
Billy Carnline,22,4,3,.571,3.47,10,10,0,0,0,0,57.0,58,26,22,6,16,0,31,2,0,2,244,1.298,9.2,0.9,2.5,4.9,1.94,0,2006,Adv A,TOR
Gustavo Chacin*,25,0,0,,9.64,1,1,0,0,0,0,4.2,6,5,5,0,4,0,5,0,0,0,24,2.143,11.6,0.0,7.7,9.6,1.25,1,2006,Adv A,TOR
Danny Core,24,5,4,.556,4.41,40,7,3,0,0,0,79.2,73,47,39,8,35,2,87,8,0,4,345,1.356,8.2,0.9,4.0,9.8,2.49,0,2006,Adv A,TOR
Matt Duff,31,0,0,,6.75,6,0,2,0,0,0,6.2,8,5,5,0,3,0,8,2,0,0,31,1.650,10.8,0.0,4.1,10.8,2.67,1,2006,Adv A,TOR
Connor Falkenbach,24,6,0,1.000,1.94,47,0,30,0,0,8,55.2,49,14,12,1,12,1,40,3,1,0,225,1.096,7.9,0.2,1.9,6.5,3.33,0,2006,Adv A,TOR
Eric Fowler*,23,8,11,.421,3.74,28,27,0,1,0,0,149.0,164,82,62,10,36,1,116,2,1,2,655,1.342,9.9,0.6,2.2,7.0,3.22,0,2006,Adv A,TOR
T.J. Gornati,25,2,3,.400,3.94,40,0,15,0,0,0,64.0,66,35,28,6,25,1,41,0,0,7,272,1.422,9.3,0.8,3.5,5.8,1.64,0,2006,Adv A,TOR
Daryl Harang*,23,4,4,.500,3.16,45,0,14,0,0,1,62.2,61,26,22,2,17,1,50,3,0,4,266,1.245,8.8,0.3,2.4,7.2,2.94,0,2006,Adv A,TOR
Kurt Isenberg*,24,2,3,.400,3.30,11,8,1,0,0,0,46.1,49,21,17,3,14,1,36,2,0,6,201,1.360,9.5,0.6,2.7,7.0,2.57,0,2006,Adv A,TOR
Justin James,24,0,2,.000,4.12,24,0,7,0,0,0,43.2,39,21,20,2,15,2,34,3,1,5,188,1.237,8.0,0.4,3.1,7.0,2.27,1,2006,Adv A,TOR
Po-Hsuan Keng,21,0,1,.000,10.38,7,0,2,0,0,0,8.2,16,10,10,3,3,0,2,0,0,0,42,2.192,16.6,3.1,3.1,2.1,0.67,0,2006,Adv A,TOR
Jeremy King,24,1,1,.500,7.71,6,1,2,0,0,0,14.0,17,12,12,2,6,0,6,3,0,2,63,1.643,10.9,1.3,3.9,3.9,1.00,0,2006,Adv A,TOR
Jesse Litsch,21,6,6,.500,3.53,16,15,0,2,1,0,89.1,94,39,35,5,8,0,81,5,0,5,367,1.142,9.5,0.5,0.8,8.2,10.13,1,2006,Adv A,TOR
Brad Mumma*,25,1,3,.250,5.80,26,0,4,0,0,0,35.2,43,24,23,4,14,1,33,2,0,7,163,1.598,10.9,1.0,3.5,8.3,2.36,0,2006,Adv A,TOR
Paul Phillips,22,1,3,.250,6.97,15,0,6,0,0,0,20.2,27,17,16,1,7,0,21,3,0,2,99,1.645,11.8,0.4,3.0,9.1,3.00,0,2006,Adv A,TOR
Robert Ray,22,2,4,.333,4.99,14,9,1,0,0,0,48.2,59,34,27,2,13,0,37,6,0,2,216,1.479,10.9,0.4,2.4,6.8,2.85,1,2006,Adv A,TOR
Ricky Romero*,21,2,1,.667,2.47,10,10,0,1,1,0,58.1,48,17,16,5,14,0,61,1,0,0,234,1.063,7.4,0.8,2.2,9.4,4.36,1,2006,Adv A,TOR
Russ Savickas,22,6,4,.600,4.11,13,13,0,0,0,0,65.2,73,40,30,7,28,0,34,4,0,3,296,1.538,10.0,1.0,3.8,4.7,1.21,0,2006,Adv A,TOR
Josh Sowers,23,0,0,,0.00,1,0,0,0,0,0,3.0,5,2,0,0,1,0,1,0,0,0,13,2.000,15.0,0.0,3.0,3.0,1.00,0,2006,Adv A,TOR
Derek Tate*,24,0,0,,5.87,5,0,1,0,0,0,7.2,11,5,5,0,5,0,7,3,0,2,42,2.087,12.9,0.0,5.9,8.2,1.40,0,2006,Adv A,TOR
Milton Tavarez,24,2,4,.333,6.71,49,0,39,0,0,21,51.0,63,46,38,9,29,1,65,1,0,7,244,1.804,11.1,1.6,5.1,11.5,2.24,0,2006,Adv A,TOR
Orlando Trias,22,13,8,.619,3.82,27,27,0,0,0,0,153.1,161,67,65,10,48,0,88,8,2,5,654,1.363,9.5,0.6,2.8,5.2,1.83,0,2006,Adv A,TOR
Brian Wolfe,25,1,4,.200,6.00,5,5,0,0,0,0,24.0,33,20,16,3,3,0,17,2,0,1,110,1.500,12.4,1.1,1.1,6.4,5.67,1,2006,Adv A,TOR
Kyle Yates,23,2,0,1.000,0.64,4,2,0,0,0,0,14.0,8,1,1,0,0,0,13,0,0,0,50,0.571,5.1,0.0,0.0,8.4,,0,2006,Adv A,TOR
