Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Adam Bass,25,3,1,.750,2.16,19,4,3,0,0,0,50.0,43,13,12,3,16,2,35,1,0,1,206,1.180,7.7,0.5,2.9,6.3,2.19,0
D.J. Carrasco,30,5,14,.263,6.68,34,22,4,1,0,0,137.1,185,121,102,16,60,0,103,8,1,12,656,1.784,12.1,1.0,3.9,6.8,1.72,1
Randy Choate*,31,3,1,.750,2.98,55,0,16,0,0,3,63.1,68,27,21,3,16,2,61,5,0,5,277,1.326,9.7,0.4,2.3,8.7,3.81,1
Juan Cruz,28,0,0,,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,5,0,0,0,6,0.000,0.0,0.0,0.0,22.5,,1
Casey Daigle,26,10,5,.667,6.59,42,16,6,0,0,0,109.1,156,84,80,18,31,0,95,5,0,9,516,1.710,12.8,1.5,2.6,7.8,3.06,1
Dana Eveland*,23,1,0,1.000,1.95,7,5,0,0,0,0,27.2,29,7,6,0,10,1,15,0,0,1,119,1.410,9.4,0.0,3.3,4.9,1.50,1
Emiliano Fruto,23,0,1,.000,2.45,6,0,2,0,0,0,11.0,8,3,3,0,10,1,14,0,0,1,49,1.636,6.5,0.0,8.2,11.5,1.40,1
Dustin Glant,25,0,1,.000,6.03,17,1,2,0,0,0,31.1,42,26,21,3,13,1,15,0,0,2,147,1.755,12.1,0.9,3.7,4.3,1.15,0
Enrique Gonzalez,24,8,10,.444,5.15,27,27,0,0,0,0,153.2,186,105,88,11,61,1,118,5,1,5,701,1.607,10.9,0.6,3.6,6.9,1.93,1
Chad Harville,30,6,4,.600,3.71,47,0,39,0,0,25,53.1,45,23,22,6,21,0,46,2,0,5,224,1.238,7.6,1.0,3.5,7.8,2.19,1
Adam Howard,23,1,0,1.000,0.00,1,0,0,0,0,0,3.1,3,1,0,0,0,0,4,0,0,0,14,0.900,8.1,0.0,0.0,10.8,,0
Randy Johnson*,43,1,0,1.000,3.00,2,2,0,0,0,0,12.0,15,5,4,1,2,0,10,0,0,1,49,1.417,11.3,0.8,1.5,7.5,5.00,1
Evan MacLane*,24,7,7,.500,7.70,32,19,1,0,0,0,115.2,190,117,99,21,37,1,53,4,1,6,566,1.963,14.8,1.6,2.9,4.1,1.43,1
Brandon Medders,27,5,3,.625,4.69,35,0,16,0,0,5,48.0,55,28,25,3,24,2,38,1,0,8,220,1.646,10.3,0.6,4.5,7.1,1.58,1
Bill Murphy*,26,3,3,.500,3.68,54,9,13,0,0,1,100.1,93,53,41,10,43,0,102,9,1,9,435,1.355,8.3,0.9,3.9,9.1,2.37,1
Dustin Nippert,26,0,3,.000,4.75,10,8,0,0,0,0,36.0,23,19,19,3,23,0,46,0,0,6,147,1.278,5.8,0.8,5.8,11.5,2.00,1
Micah Owings,24,0,0,,0.00,1,1,0,0,0,0,5.0,4,0,0,0,1,0,7,0,0,0,18,1.000,7.2,0.0,1.8,12.6,7.00,1
Jailen Peguero,26,6,2,.750,1.89,53,0,22,0,0,4,66.2,47,19,14,5,26,1,68,2,0,3,268,1.095,6.3,0.7,3.5,9.2,2.62,1
Yusmeiro Petit,22,8,4,.667,4.04,17,17,0,0,0,0,93.2,83,47,42,11,38,0,60,1,1,5,397,1.292,8.0,1.1,3.7,5.8,1.58,1
Donnie Sadler,32,0,1,.000,inf,1,0,1,0,0,0,0.0,2,2,2,1,0,0,0,0,0,0,2,,,,,,,1
Mike Schultz,27,4,5,.444,3.92,55,1,15,0,0,4,78.0,85,38,34,4,36,1,50,3,0,13,342,1.551,9.8,0.5,4.2,5.8,1.39,1
Greg Smith*,23,4,2,.667,3.78,10,10,0,1,0,0,52.1,61,27,22,4,18,0,34,0,1,3,224,1.510,10.5,0.7,3.1,5.8,1.89,1
