Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Daisuke Matsuzaka,26,15,12,.556,4.40,32,32,0,1,0,0,204.2,191,100,100,25,80,1,201,13,0,5,874,1.324,8.4,1.1,3.5,8.8,2.51,1
Josh Beckett,27,20,7,.741,3.27,30,30,0,1,0,0,200.2,189,76,73,17,40,0,194,5,0,3,822,1.141,8.5,0.8,1.8,8.7,4.85,1
Tim Wakefield,40,17,12,.586,4.76,31,31,0,0,0,0,189.0,191,104,100,22,64,1,110,4,0,10,800,1.349,9.1,1.0,3.0,5.2,1.72,1
Curt Schilling,40,9,8,.529,3.87,24,24,0,1,1,0,151.0,165,68,65,21,23,1,101,2,0,0,633,1.245,9.8,1.3,1.4,6.0,4.39,1
Julian Tavarez,34,7,11,.389,5.15,34,23,2,0,0,0,134.2,151,89,77,14,51,4,77,7,0,4,604,1.500,10.1,0.9,3.4,5.1,1.51,1
Jon Lester*,23,4,0,1.000,4.57,12,11,0,0,0,0,63.0,61,33,32,10,31,0,50,1,0,1,275,1.460,8.7,1.4,4.4,7.1,1.61,1
Jonathan Papelbon,26,1,3,.250,1.85,59,0,53,0,0,37,58.1,30,12,12,5,15,0,84,4,0,0,224,0.771,4.6,0.8,2.3,13.0,5.60,1
Hideki Okajima*,31,3,2,.600,2.22,66,0,13,0,0,5,69.0,50,17,17,6,17,2,63,1,0,0,272,0.971,6.5,0.8,2.2,8.2,3.71,1
Mike Timlin,41,2,1,.667,3.42,50,0,19,0,0,1,55.1,46,23,21,7,14,3,31,3,0,0,222,1.084,7.5,1.1,2.3,5.0,2.21,1
Kyle Snyder,29,2,3,.400,3.81,46,0,17,0,0,0,54.1,45,29,23,7,32,2,41,6,0,4,242,1.417,7.5,1.2,5.3,6.8,1.28,1
Javier Lopez*,29,2,1,.667,3.10,61,0,11,0,0,0,40.2,36,16,14,2,18,2,26,4,0,1,174,1.328,8.0,0.4,4.0,5.8,1.44,1
Manny Delcarmen,25,0,0,,2.05,44,0,5,0,0,1,44.0,28,11,10,4,17,1,41,2,0,0,176,1.023,5.7,0.8,3.5,8.4,2.41,1
Kason Gabbard*,25,4,0,1.000,3.73,7,7,0,1,1,0,41.0,28,17,17,3,18,0,29,4,0,0,165,1.122,6.1,0.7,4.0,6.4,1.61,1
Joel Pineiro,28,1,1,.500,5.03,31,0,15,0,0,0,34.0,41,20,19,3,14,0,20,1,0,3,157,1.618,10.9,0.8,3.7,5.3,1.43,1
Clay Buchholz,22,3,1,.750,1.59,4,3,0,1,1,0,22.2,14,6,4,0,10,0,22,1,0,0,88,1.059,5.6,0.0,4.0,8.7,2.20,1
Brendan Donnelly,35,2,1,.667,3.05,27,0,4,0,0,0,20.2,19,8,7,0,5,0,15,4,0,2,90,1.161,8.3,0.0,2.2,6.5,3.00,1
J.C. Romero*,31,1,0,1.000,3.15,23,0,5,0,0,1,20.0,24,7,7,2,15,3,11,0,0,0,94,1.950,10.8,0.9,6.8,5.0,0.73,1
Eric Gagne,31,2,2,.500,6.75,20,0,11,0,0,0,18.2,26,14,14,1,9,0,22,0,0,0,89,1.875,12.5,0.5,4.3,10.6,2.44,1
Bryan Corey,33,1,0,1.000,1.93,9,0,2,0,0,0,9.1,6,2,2,0,4,0,6,0,0,0,32,1.071,5.8,0.0,3.9,5.8,1.50,1
Devern Hansack,29,0,1,.000,4.70,3,1,0,0,0,0,7.2,9,5,4,2,5,0,5,0,0,0,38,1.826,10.6,2.3,5.9,5.9,1.00,1
