Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Burke Baldwin*,22,5,1,.833,2.87,16,8,2,0,0,2,53.1,48,19,17,4,23,0,42,4,0,2,230,1.331,8.1,0.7,3.9,7.1,1.83,0
Pat Cassa*,21,2,0,1.000,3.67,20,0,14,0,0,1,27.0,23,13,11,3,9,0,30,1,0,1,114,1.185,7.7,1.0,3.0,10.0,3.33,0
Chris Chavez,22,3,2,.600,3.41,15,14,0,0,0,0,60.2,68,33,23,2,14,0,47,5,0,7,257,1.352,10.1,0.3,2.1,7.0,3.36,0
Chris Denton*,23,1,2,.333,4.15,16,1,2,0,0,0,39.0,42,24,18,6,15,0,29,3,1,4,173,1.462,9.7,1.4,3.5,6.7,1.93,0
Zach Evangelho,22,1,0,1.000,0.00,1,0,1,0,0,0,3.0,2,0,0,0,0,0,1,0,0,0,10,0.667,6.0,0.0,0.0,3.0,,0
Greg Holland,21,6,1,.857,3.48,22,0,18,0,0,6,33.2,28,16,13,1,15,0,37,1,1,3,143,1.277,7.5,0.3,4.0,9.9,2.47,1
Joseph Hughes*,22,2,1,.667,3.59,16,1,6,0,0,2,42.2,42,20,17,1,16,0,49,3,0,6,183,1.359,8.9,0.2,3.4,10.3,3.06,0
Matt Jensen,24,1,3,.250,3.49,21,0,8,0,0,0,28.1,26,12,11,2,8,0,35,0,0,1,117,1.200,8.3,0.6,2.5,11.1,4.38,0
Matt Kniginyzky,24,0,0,,5.40,1,1,0,0,0,0,5.0,7,4,3,1,1,0,3,0,0,0,22,1.600,12.6,1.8,1.8,5.4,3.00,0
John Leonard,23,3,2,.600,4.68,16,14,0,0,0,0,65.1,76,47,34,4,28,0,55,4,1,1,296,1.592,10.5,0.6,3.9,7.6,1.96,0
Ben Norton,22,1,6,.143,3.95,16,14,0,0,0,0,57.0,65,32,25,3,22,0,56,4,0,3,261,1.526,10.3,0.5,3.5,8.8,2.55,0
Zach Peterson,22,5,3,.625,2.89,15,8,1,0,0,1,56.0,49,25,18,5,8,1,67,0,1,0,218,1.018,7.9,0.8,1.3,10.8,8.38,0
Justin Phillips*,22,3,1,.750,3.97,15,1,3,0,0,0,47.2,52,26,21,2,17,0,39,1,0,8,212,1.448,9.8,0.4,3.2,7.4,2.29,0
Jason Roach*,23,4,1,.800,3.26,21,0,15,0,0,2,30.1,31,13,11,1,5,0,38,1,0,5,124,1.187,9.2,0.3,1.5,11.3,7.60,0
Dane Secott,22,5,1,.833,0.79,15,1,0,0,0,0,34.1,20,5,3,0,14,0,31,1,0,2,131,0.990,5.2,0.0,3.7,8.1,2.21,0
Clegg Snipes,22,2,6,.250,5.37,16,13,0,0,0,0,63.2,76,43,38,6,22,0,55,5,0,5,282,1.539,10.7,0.8,3.1,7.8,2.50,0
Ben Swaggerty*,24,1,0,1.000,3.03,24,0,6,0,0,1,35.2,31,15,12,1,16,0,51,4,1,6,158,1.318,7.8,0.3,4.0,12.9,3.19,0
