Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Juan Abreu,23,4,4,.500,3.66,22,4,10,0,0,7,76.1,59,40,31,6,42,0,104,4,2,5,328,1.323,7.0,0.7,5.0,12.3,2.48,1
Henry Arias,23,2,3,.400,3.78,18,0,15,0,0,2,33.1,32,16,14,3,18,0,30,2,0,3,148,1.500,8.6,0.8,4.9,8.1,1.67,0
Joe Augustine,23,4,2,.667,3.77,28,5,15,0,0,9,105.0,106,57,44,10,34,0,85,1,0,5,457,1.333,9.1,0.9,2.9,7.3,2.50,0
Burke Baldwin*,23,1,2,.333,7.18,17,0,8,0,0,0,26.1,36,23,21,7,13,0,16,5,0,1,125,1.861,12.3,2.4,4.4,5.5,1.23,0
Barry Bowden,23,0,0,,0.00,2,0,2,0,0,0,5.1,2,0,0,0,0,0,7,0,0,0,19,0.375,3.4,0.0,0.0,11.8,,0
Tony Bradley*,22,1,4,.200,2.14,26,0,19,0,0,4,42.0,32,12,10,1,18,3,35,7,0,1,177,1.190,6.9,0.2,3.9,7.5,1.94,0
Alex Caldera,22,12,6,.667,2.89,25,25,0,0,0,0,149.1,141,53,48,6,36,0,120,6,0,7,604,1.185,8.5,0.4,2.2,7.2,3.33,0
Edward Cegarra,19,2,4,.333,2.67,9,8,1,0,0,1,54.0,46,18,16,4,5,0,53,0,0,2,212,0.944,7.7,0.7,0.8,8.8,10.60,0
Chris Chavez,23,6,1,.857,2.77,21,0,15,0,0,4,39.0,41,13,12,0,7,1,39,4,0,6,167,1.231,9.5,0.0,1.6,9.0,5.57,0
Luis Cota,22,2,3,.400,5.80,8,8,0,0,0,0,35.2,39,25,23,4,14,0,32,2,1,4,156,1.486,9.8,1.0,3.5,8.1,2.29,0
Danny Duffy*,19,8,4,.667,2.20,17,17,0,0,0,0,81.2,56,26,20,4,25,0,102,4,0,10,325,0.992,6.2,0.4,2.8,11.2,4.08,1
Zach Evangelho,23,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,1,4,1.000,9.0,0.0,0.0,0.0,,0
Brent Fisher*,20,1,1,.500,3.71,4,2,2,0,0,1,17.0,20,10,7,1,4,0,17,1,1,0,78,1.412,10.6,0.5,2.1,9.0,4.25,0
Danny Gutierrez,21,4,4,.500,2.70,19,18,0,0,0,0,90.0,83,38,27,7,25,0,104,8,0,3,375,1.200,8.3,0.7,2.5,10.4,4.16,0
Kelvin Herrera,18,2,0,1.000,2.13,3,1,1,0,0,0,12.2,13,4,3,0,2,0,7,1,0,1,53,1.184,9.2,0.0,1.4,5.0,3.50,1
Tim Huber*,22,0,1,.000,10.50,4,0,2,0,0,0,6.0,10,7,7,1,5,0,3,0,0,1,32,2.500,15.0,1.5,7.5,4.5,0.60,0
Ray Liotta*,25,1,1,.500,2.81,3,3,0,0,0,0,16.0,13,5,5,2,4,0,14,0,0,0,63,1.063,7.3,1.1,2.3,7.9,3.50,0
Yensi Lopez,22,0,3,.000,4.80,11,0,5,0,0,1,15.0,16,9,8,1,7,1,16,1,0,1,69,1.533,9.6,0.6,4.2,9.6,2.29,0
Matt Mitchell,19,8,8,.500,3.47,25,21,3,0,0,0,116.2,116,55,45,9,25,0,77,4,1,5,486,1.209,8.9,0.7,1.9,5.9,3.08,0
Eduardo Paulino,22,5,4,.556,3.68,19,17,1,1,0,0,100.1,103,44,41,9,19,0,80,6,5,5,409,1.216,9.2,0.8,1.7,7.2,4.21,0
Matt Peterson,26,0,0,,5.79,6,0,1,0,0,0,9.1,13,7,6,1,1,0,7,1,0,1,43,1.500,12.5,1.0,1.0,6.8,7.00,0
Zach Peterson,23,3,3,.500,3.13,30,4,18,0,0,5,77.2,74,27,27,7,20,1,82,2,0,2,318,1.210,8.6,0.8,2.3,9.5,4.10,0
Paul Raglione,21,2,0,1.000,6.06,19,0,9,0,0,1,35.2,39,27,24,3,11,0,18,7,2,4,162,1.402,9.8,0.8,2.8,4.5,1.64,0
Jake Rodriguez,19,1,1,.500,5.14,2,1,0,0,0,0,7.0,7,4,4,0,2,0,7,0,0,1,28,1.286,9.0,0.0,2.6,9.0,3.50,0
Sam Runion,19,2,5,.286,5.75,9,5,1,0,0,0,40.2,54,35,26,7,9,0,11,3,0,2,185,1.549,12.0,1.5,2.0,2.4,1.22,0
Brandon Sisk*,22,1,1,.500,1.19,10,0,7,0,0,2,22.2,14,4,3,0,9,0,36,0,0,0,89,1.015,5.6,0.0,3.6,14.3,4.00,0
Ben Swaggerty*,25,1,0,1.000,3.93,12,0,2,0,0,0,18.1,18,10,8,0,10,0,14,2,0,0,81,1.527,8.8,0.0,4.9,6.9,1.40,0
