Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Michael Barbara,23,2,4,.333,3.12,26,0,10,0,0,0,49.0,46,18,17,2,15,2,30,1,0,0,199,1.245,8.4,0.4,2.8,5.5,2.00,0
Bobby Bell,22,0,0,,0.00,2,0,2,0,0,1,3.0,0,0,0,0,0,0,4,0,0,0,9,0.000,0.0,0.0,0.0,12.0,,0
Randy Boone,23,6,2,.750,2.50,15,10,2,1,1,0,75.2,75,26,21,3,20,0,53,3,0,0,310,1.256,8.9,0.4,2.4,6.3,2.65,0
Ross Buckwalter,23,2,0,1.000,1.07,23,0,12,0,0,0,33.2,28,6,4,1,5,0,20,2,0,0,133,0.980,7.5,0.3,1.3,5.3,4.00,0
Chi-Hung Cheng*,23,5,9,.357,4.88,25,14,1,0,0,0,94.0,122,70,51,8,49,0,71,9,1,6,446,1.819,11.7,0.8,4.7,6.8,1.45,0
Tim Collins*,18,4,2,.667,1.58,39,0,28,0,0,14,68.1,36,13,12,3,32,1,98,2,2,5,267,0.995,4.7,0.4,4.2,12.9,3.06,1
Cody Crowell*,22,1,2,.333,1.76,28,0,18,0,0,9,41.0,22,9,8,1,20,0,65,0,0,3,166,1.024,4.8,0.2,4.4,14.3,3.25,0
Brad Cuthbertson,23,1,1,.500,6.91,10,0,4,0,0,0,14.1,19,16,11,3,12,0,18,1,0,3,73,2.163,11.9,1.9,7.5,11.3,1.50,0
James Dougher,22,3,1,.750,3.89,18,4,2,0,0,0,44.0,46,22,19,6,5,0,39,4,0,1,180,1.159,9.4,1.2,1.0,8.0,7.80,0
Edgar Estanga*,22,9,3,.750,3.00,45,0,22,0,0,9,102.0,92,40,34,4,22,3,106,1,3,1,411,1.118,8.1,0.4,1.9,9.4,4.82,0
Alan Farina,21,3,1,.750,3.07,15,0,2,0,0,1,29.1,19,11,10,2,14,0,37,1,0,1,122,1.125,5.8,0.6,4.3,11.4,2.64,0
Danny Farquhar,21,0,0,,0.00,3,0,0,0,0,0,6.0,0,1,0,0,2,0,4,1,0,1,21,0.333,0.0,0.0,3.0,6.0,2.00,1
Frank Gailey*,22,5,0,1.000,1.26,20,0,15,0,0,1,35.2,19,5,5,2,8,0,40,4,0,2,136,0.757,4.8,0.5,2.0,10.1,5.00,0
Kyle Ginley,21,5,0,1.000,1.24,6,6,0,0,0,0,36.1,40,10,5,1,6,0,36,0,0,1,149,1.266,9.9,0.2,1.5,8.9,6.00,0
Ryan Koch,22,1,0,1.000,1.80,3,1,0,0,0,0,10.0,5,3,2,0,1,0,10,1,0,0,39,0.600,4.5,0.0,0.9,9.0,10.00,0
Brian Letko*,23,4,4,.500,4.14,15,13,0,1,0,0,63.0,62,39,29,4,30,0,51,0,0,3,286,1.460,8.9,0.6,4.3,7.3,1.70,0
Trystan Magnuson,23,0,9,.000,5.40,24,24,0,0,0,0,81.2,91,57,49,6,35,0,49,7,0,8,372,1.543,10.0,0.7,3.9,5.4,1.40,1
Brad Mills*,23,6,3,.667,2.55,15,15,0,0,0,0,81.1,71,30,23,3,28,1,92,5,0,2,341,1.217,7.9,0.3,3.1,10.2,3.29,1
Danny O'Brien*,23,0,0,,6.55,8,0,7,0,0,0,11.0,13,12,8,1,9,0,10,0,0,0,55,2.000,10.6,0.8,7.4,8.2,1.11,0
Luis Perez*,23,5,12,.294,3.60,28,23,1,0,0,0,137.1,136,68,55,4,51,0,137,16,7,6,595,1.362,8.9,0.3,3.3,9.0,2.69,1
Brian Pettway,24,0,0,,3.52,9,0,5,0,0,0,15.1,16,6,6,0,3,0,4,2,0,1,66,1.239,9.4,0.0,1.8,2.3,1.33,0
Marc Rzepczynski*,22,7,6,.538,2.83,22,22,0,0,0,0,121.0,100,41,38,2,42,1,124,8,0,11,491,1.174,7.4,0.1,3.1,9.2,2.95,1
Nate Starner*,24,1,4,.200,1.67,8,8,0,0,0,0,43.0,37,11,8,1,8,0,45,3,1,3,171,1.047,7.7,0.2,1.7,9.4,5.63,0
Joe Wice*,22,6,1,.857,1.78,26,0,7,0,0,1,50.2,32,10,10,2,9,0,51,2,0,2,191,0.809,5.7,0.4,1.6,9.1,5.67,0
