Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
James Adkins*,22,1,3,.250,4.74,8,8,0,0,0,0,38.0,42,24,20,5,28,1,25,3,0,6,188,1.842,9.9,1.2,6.6,5.9,0.89,0,2008,AA,LAD
Brian Akin,26,2,7,.222,5.83,25,0,13,0,0,1,41.2,49,33,27,4,38,1,37,1,0,7,210,2.088,10.6,0.9,8.2,8.0,0.97,0,2008,AA,LAD
Clayton Allison,22,1,0,1.000,4.50,5,0,2,0,0,1,6.0,9,4,3,1,4,1,4,1,0,2,29,2.167,13.5,1.5,6.0,6.0,1.00,0,2008,AA,LAD
Mario Alvarez,24,1,5,.167,7.08,10,10,0,0,0,0,40.2,51,35,32,5,23,0,20,7,0,4,193,1.820,11.3,1.1,5.1,4.4,0.87,0,2008,AA,LAD
Marlon Arias*,23,7,3,.700,4.90,15,14,0,0,0,0,68.0,81,44,37,8,29,1,49,1,0,8,313,1.618,10.7,1.1,3.8,6.5,1.69,0,2008,AA,LAD
Rick Asadoorian,27,4,4,.500,6.75,17,2,3,0,0,1,42.2,51,34,32,3,19,0,22,2,0,4,197,1.641,10.8,0.6,4.0,4.6,1.16,0,2008,AA,LAD
Yhency Brazoban,28,0,1,.000,2.53,11,0,5,0,0,2,10.2,7,3,3,1,2,0,13,0,0,0,42,0.844,5.9,0.8,1.7,11.0,6.50,1,2008,AA,LAD
Jesus Castillo,24,7,4,.636,3.24,23,23,0,0,0,0,114.0,123,51,41,7,33,1,76,7,0,6,487,1.368,9.7,0.6,2.6,6.0,2.30,0,2008,AA,LAD
Eric Cyr*,29,1,0,1.000,1.50,2,2,0,0,0,0,12.0,8,2,2,0,6,1,11,0,0,0,49,1.167,6.0,0.0,4.5,8.3,1.83,1,2008,AA,LAD
Eric DuBose*,32,1,1,.500,2.95,4,3,0,1,0,0,18.1,16,7,6,1,14,0,23,2,0,5,88,1.636,7.9,0.5,6.9,11.3,1.64,1,2008,AA,LAD
Scott Elbert*,22,4,1,.800,2.40,25,1,7,0,0,0,41.1,22,14,11,2,20,1,46,1,0,1,163,1.016,4.8,0.4,4.4,10.0,2.30,1,2008,AA,LAD
Luis Ferreras,18,0,0,,0.00,2,0,0,0,0,0,3.0,0,0,0,0,1,0,1,1,0,0,11,0.333,0.0,0.0,3.0,3.0,1.00,0,2008,AA,LAD
Adolfo Gonzalez,23,0,2,.000,12.00,7,0,7,0,0,0,6.0,13,12,8,4,1,0,1,2,0,0,35,2.333,19.5,6.0,1.5,1.5,1.00,0,2008,AA,LAD
Juan Gonzalez,26,0,0,,0.00,1,0,0,0,0,1,1.0,0,0,0,0,1,0,1,0,0,0,4,1.000,0.0,0.0,9.0,9.0,1.00,0,2008,AA,LAD
Kelley Gulledge,29,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,0.000,0.0,0.0,0.0,18.0,,0,2008,AA,LAD
Zach Hammes,24,2,5,.286,5.31,38,1,25,0,0,4,59.1,61,37,35,3,35,2,45,2,0,9,271,1.618,9.3,0.5,5.3,6.8,1.29,0,2008,AA,LAD
Clayton Kershaw*,20,2,3,.400,1.91,13,11,0,0,0,0,61.1,39,19,13,0,19,0,59,0,2,7,241,0.946,5.7,0.0,2.8,8.7,3.11,1,2008,AA,LAD
