Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Brian Baker,25,5,5,.500,3.49,46,0,17,0,0,1,69.2,60,28,27,5,17,3,55,7,0,2,291,1.105,7.8,0.6,2.2,7.1,3.24,0
Josh Butler,23,0,2,.000,6.35,3,3,0,0,0,0,17.0,18,13,12,1,5,0,10,2,0,0,74,1.353,9.5,0.5,2.6,5.3,2.00,1
Joey Callender,24,0,0,,4.50,4,0,4,0,0,0,4.0,4,2,2,0,3,0,3,1,0,0,19,1.750,9.0,0.0,6.8,6.8,1.00,0
Darin Downs*,23,0,3,.000,6.00,10,1,3,0,0,0,21.0,24,15,14,1,9,0,24,0,0,2,96,1.571,10.3,0.4,3.9,10.3,2.67,1
Neal Frontz,24,0,2,.000,1.38,37,0,36,0,0,19,52.0,35,8,8,1,12,1,41,3,0,3,198,0.904,6.1,0.2,2.1,7.1,3.42,0
Matt Garza,24,0,0,,9.82,1,1,0,0,0,0,3.2,8,4,4,0,3,0,4,0,0,0,20,3.000,19.6,0.0,7.4,9.8,1.33,1
Jeremy Hellickson,21,7,1,.875,2.00,14,14,0,0,0,0,76.2,64,19,17,7,5,0,83,4,1,3,296,0.900,7.5,0.8,0.6,9.7,16.60,1
Carlos Hernandez*,28,2,1,.667,1.04,6,6,0,0,0,0,26.0,11,3,3,0,6,0,25,1,0,0,93,0.654,3.8,0.0,2.1,8.7,4.17,1
Craig James,25,2,0,1.000,3.18,9,1,1,0,0,0,22.2,25,11,8,1,7,1,19,2,1,1,100,1.412,9.9,0.4,2.8,7.5,2.71,0
Scott Kazmir*,24,0,1,.000,4.70,2,2,0,0,0,0,7.2,8,5,4,2,0,0,7,0,0,0,32,1.043,9.4,2.3,0.0,8.2,,1
Chris Kelly,25,8,4,.667,5.67,44,0,12,0,0,1,73.0,75,51,46,9,44,3,37,1,0,8,326,1.630,9.2,1.1,5.4,4.6,0.84,0
Kevin Lynn,29,0,1,.000,4.50,7,1,0,0,0,0,10.0,10,5,5,2,3,0,7,0,0,1,42,1.300,9.0,1.8,2.7,6.3,2.33,0
Brandon Mann*,24,3,12,.200,4.82,25,23,0,0,0,0,130.2,144,88,70,18,39,0,103,6,1,6,572,1.401,9.9,1.2,2.7,7.1,2.64,1
Ryan Morse*,25,2,11,.154,4.09,28,19,3,0,0,0,132.0,146,76,60,11,44,1,80,4,0,3,574,1.439,10.0,0.8,3.0,5.5,1.82,0
Wilton Noel,25,2,6,.250,4.21,26,7,7,0,0,0,66.1,70,40,31,8,23,3,46,4,0,5,300,1.402,9.5,1.1,3.1,6.2,2.00,0
Ryan Owen*,23,2,6,.250,4.74,35,1,11,0,0,0,49.1,53,35,26,5,24,1,44,6,0,8,235,1.561,9.7,0.9,4.4,8.0,1.83,0
David Price*,22,4,0,1.000,1.82,6,6,0,0,0,0,34.2,28,7,7,0,7,0,37,0,0,1,134,1.010,7.3,0.0,1.8,9.6,5.29,1
Ryan Reid,23,3,0,1.000,0.29,21,0,18,0,0,8,31.0,14,2,1,0,3,0,45,0,0,2,109,0.548,4.1,0.0,0.9,13.1,15.00,1
Alberto Reyes,38,0,1,.000,3.00,6,6,0,0,0,0,6.0,4,2,2,1,0,0,6,0,0,0,23,0.667,6.0,1.5,0.0,9.0,,1
Heath Rollins,23,5,11,.313,3.30,23,21,0,1,1,0,136.1,118,59,50,15,27,1,115,4,0,6,552,1.064,7.8,1.0,1.8,7.6,4.26,0
Chuck Tiffany*,23,1,2,.333,3.46,21,6,3,0,0,0,41.2,33,19,16,3,33,0,31,2,0,0,190,1.584,7.1,0.6,7.1,6.7,0.94,0
Wade Townsend,25,0,4,.000,5.28,15,7,2,0,0,0,44.1,44,26,26,5,22,0,39,2,0,4,195,1.489,8.9,1.0,4.5,7.9,1.77,0
Matthew Walker,21,4,7,.364,4.86,22,9,0,0,0,0,66.2,66,41,36,8,47,0,48,0,0,13,307,1.695,8.9,1.1,6.3,6.5,1.02,0
Mike Wlodarczyk*,25,4,1,.800,2.70,26,1,17,0,0,2,46.2,42,16,14,3,12,0,47,1,0,5,190,1.157,8.1,0.6,2.3,9.1,3.92,0
