Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Bronson Arroyo,31,15,11,.577,4.77,34,34,0,1,0,0,200.0,219,116,106,29,68,2,163,6,0,6,871,1.435,9.9,1.3,3.1,7.3,2.40,1,2008,MLB,CIN
Edinson Volquez,24,17,6,.739,3.21,33,32,1,0,0,0,196.0,167,82,70,14,93,5,206,14,1,10,838,1.327,7.7,0.6,4.3,9.5,2.22,1,2008,MLB,CIN
Aaron Harang,30,6,17,.261,4.78,30,29,0,1,1,0,184.1,205,104,98,35,50,5,153,2,0,2,793,1.383,10.0,1.7,2.4,7.5,3.06,1,2008,MLB,CIN
Johnny Cueto,22,9,14,.391,4.81,31,31,0,0,0,0,174.0,178,101,93,29,68,1,158,14,1,6,769,1.414,9.2,1.5,3.5,8.2,2.32,1,2008,MLB,CIN
Josh Fogg,31,2,7,.222,7.58,22,14,3,0,0,0,78.1,97,69,66,17,27,1,45,6,0,1,362,1.583,11.1,2.0,3.1,5.2,1.67,1,2008,MLB,CIN
Francisco Cordero,33,5,4,.556,3.33,72,0,63,0,0,34,70.1,61,28,26,6,38,3,78,3,0,3,307,1.408,7.8,0.8,4.9,10.0,2.05,1,2008,MLB,CIN
Jeremy Affeldt*,29,1,1,.500,3.33,74,0,20,0,0,0,78.1,78,36,29,9,25,0,80,3,0,6,335,1.315,9.0,1.0,2.9,9.2,3.20,1,2008,MLB,CIN
Mike Lincoln,33,2,5,.286,4.48,64,0,12,0,0,0,70.1,66,37,35,10,24,1,57,3,0,3,297,1.280,8.4,1.3,3.1,7.3,2.38,1,2008,MLB,CIN
David Weathers,38,4,6,.400,3.25,72,0,17,0,0,0,69.1,76,27,25,6,30,8,46,3,1,1,311,1.529,9.9,0.8,3.9,6.0,1.53,1,2008,MLB,CIN
Bill Bray*,25,2,2,.500,2.87,63,0,11,0,0,0,47.0,50,19,15,4,24,5,54,1,0,2,215,1.574,9.6,0.8,4.6,10.3,2.25,1,2008,MLB,CIN
Jared Burton,27,5,1,.833,3.22,54,0,12,0,0,0,58.2,56,24,21,6,25,3,58,2,1,2,257,1.381,8.6,0.9,3.8,8.9,2.32,1,2008,MLB,CIN
Gary Majewski,28,1,0,1.000,6.53,37,0,8,0,0,0,40.0,61,31,29,6,15,0,27,3,0,1,192,1.900,13.7,1.4,3.4,6.1,1.80,1,2008,MLB,CIN
Homer Bailey,22,0,6,.000,7.93,8,8,0,0,0,0,36.1,59,36,32,8,17,1,18,0,1,4,180,2.092,14.6,2.0,4.2,4.5,1.06,1,2008,MLB,CIN
Matt Belisle,28,1,4,.200,7.28,6,6,0,0,0,0,29.2,47,27,24,4,6,0,14,0,0,2,142,1.787,14.3,1.2,1.8,4.2,2.33,1,2008,MLB,CIN
Ramon Ramirez,25,1,1,.500,2.67,5,4,0,0,0,0,27.0,17,8,8,3,11,0,21,1,1,0,105,1.037,5.7,1.0,3.7,7.0,1.91,1,2008,MLB,CIN
Todd Coffey,27,0,0,,6.05,17,0,6,0,0,0,19.1,25,13,13,4,6,0,8,1,0,0,87,1.603,11.6,1.9,2.8,3.7,1.33,1,2008,MLB,CIN
Nick Masset,26,1,0,1.000,2.08,10,0,1,0,0,0,17.1,16,6,4,3,5,0,11,0,0,1,68,1.212,8.3,1.6,2.6,5.7,2.20,1,2008,MLB,CIN
Daryl Thompson,22,0,2,.000,6.91,3,3,0,0,0,0,14.1,20,11,11,3,7,0,6,1,1,1,69,1.884,12.6,1.9,4.4,3.8,0.86,1,2008,MLB,CIN
Kent Mercker*,40,1,0,1.000,3.29,15,0,5,0,0,0,13.2,13,5,5,1,8,1,6,0,0,1,58,1.537,8.6,0.7,5.3,4.0,0.75,1,2008,MLB,CIN
Danny Herrera*,23,0,0,,7.36,7,0,0,0,0,0,7.1,10,7,6,1,3,2,8,2,0,0,37,1.773,12.3,1.2,3.7,9.8,2.67,1,2008,MLB,CIN
Adam Pettyjohn*,31,0,1,.000,20.25,3,1,1,0,0,0,4.0,11,9,9,2,2,1,1,1,0,0,26,3.250,24.8,4.5,4.5,2.3,0.50,1,2008,MLB,CIN
Jon Adkins,30,1,0,1.000,2.45,4,0,0,0,0,0,3.2,4,1,1,1,3,1,3,0,0,0,15,1.909,9.8,2.5,7.4,7.4,1.00,1,2008,MLB,CIN
Josh Roenicke,25,0,0,,9.00,5,0,0,0,0,0,3.0,6,3,3,0,2,0,6,1,0,0,18,2.667,18.0,0.0,6.0,18.0,3.00,1,2008,MLB,CIN
Micah Owings,25,0,0,,,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1,2008,MLB,CIN
