Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB,Year,Level,Org
Ramon Aguero,23,1,10,.091,6.75,15,10,2,0,0,0,49.1,64,47,37,3,22,0,35,6,0,4,239,1.743,11.7,0.5,4.0,6.4,1.59,0,2008,Short-Season A,PIT
Gabriel Alvarado,21,0,1,.000,11.57,2,1,0,0,0,0,2.1,4,5,3,1,3,0,1,0,0,0,15,3.000,15.4,3.9,11.6,3.9,0.33,0,2008,Short-Season A,PIT
Carlos Amaro,23,1,1,.500,1.99,9,6,1,0,0,0,31.2,30,12,7,1,5,0,12,0,0,1,128,1.105,8.5,0.3,1.4,3.4,2.40,0,2008,Short-Season A,PIT
Gary Amato,22,1,2,.333,8.22,12,0,6,0,0,1,23.0,31,21,21,2,10,0,18,3,0,0,111,1.783,12.1,0.8,3.9,7.0,1.80,0,2008,Short-Season A,PIT
Maurice Bankston,21,0,5,.000,6.69,9,7,1,0,0,0,35.0,41,29,26,2,12,0,19,1,0,1,157,1.514,10.5,0.5,3.1,4.9,1.58,0,2008,Short-Season A,PIT
Owen Brolsma,23,0,3,.000,10.01,21,0,13,0,0,2,29.2,52,36,33,5,17,0,21,1,1,2,155,2.326,15.8,1.5,5.2,6.4,1.24,0,2008,Short-Season A,PIT
Jorge Charry,21,1,0,1.000,4.32,9,0,4,0,0,0,16.2,20,10,8,2,7,0,15,1,0,1,77,1.620,10.8,1.1,3.8,8.1,2.14,0,2008,Short-Season A,PIT
Mike Colla,21,0,1,.000,24.30,4,0,0,0,0,0,3.1,7,11,9,0,10,0,5,1,0,1,28,5.100,18.9,0.0,27.0,13.5,0.50,0,2008,Short-Season A,PIT
Tyler Cox*,22,0,1,.000,13.50,1,0,0,0,0,0,2.0,5,3,3,0,1,0,3,0,0,0,11,3.000,22.5,0.0,4.5,13.5,3.00,0,2008,Short-Season A,PIT
Matt Foust,23,0,0,,3.38,3,0,1,0,0,0,5.1,6,4,2,0,5,0,4,0,0,2,28,2.063,10.1,0.0,8.4,6.8,0.80,0,2008,Short-Season A,PIT
Emilis Guerrero,22,1,5,.167,7.40,9,9,0,0,0,0,41.1,61,42,34,7,7,0,28,3,1,1,196,1.645,13.3,1.5,1.5,6.1,4.00,0,2008,Short-Season A,PIT
Ryan Kelly,20,0,2,.000,6.75,8,6,1,0,0,1,24.0,26,19,18,2,16,0,18,1,0,3,114,1.750,9.8,0.8,6.0,6.8,1.13,1,2008,Short-Season A,PIT
Brent Klinger,19,0,0,,0.00,2,0,0,0,0,0,1.2,1,4,0,0,1,0,1,1,0,0,10,1.200,5.4,0.0,5.4,5.4,1.00,0,2008,Short-Season A,PIT
Alan Knotts,23,3,2,.600,4.09,21,0,8,0,0,1,44.0,51,25,20,0,9,1,51,1,0,4,193,1.364,10.4,0.0,1.8,10.4,5.67,0,2008,Short-Season A,PIT
Brian Leach,22,1,3,.250,3.98,16,8,5,0,0,0,54.1,54,30,24,4,20,0,36,1,0,4,230,1.362,8.9,0.7,3.3,6.0,1.80,0,2008,Short-Season A,PIT
Yoffri Martinez,22,2,5,.286,3.67,25,0,11,0,0,0,49.0,43,24,20,1,31,0,44,3,1,10,220,1.510,7.9,0.2,5.7,8.1,1.42,0,2008,Short-Season A,PIT
Kyle McPherson,20,1,3,.250,4.37,15,7,3,0,0,1,55.2,52,29,27,10,5,0,41,1,0,2,224,1.024,8.4,1.6,0.8,6.6,8.20,1,2008,Short-Season A,PIT
Wilson Ortiz,22,0,2,.000,4.70,15,7,1,0,0,0,44.0,58,27,23,2,24,0,39,3,0,3,208,1.864,11.9,0.4,4.9,8.0,1.63,0,2008,Short-Season A,PIT
Rudy Owens*,20,3,6,.333,4.97,15,13,1,0,0,0,58.0,63,37,32,2,13,0,45,2,0,4,250,1.310,9.8,0.3,2.0,7.0,3.46,1,2008,Short-Season A,PIT
Allen Ponder,24,1,2,.333,4.22,23,0,9,0,0,2,42.2,53,23,20,3,9,1,40,1,1,2,189,1.453,11.2,0.6,1.9,8.4,4.44,0,2008,Short-Season A,PIT
Malvin Vasquez,22,0,0,,12.27,4,0,1,0,0,0,3.2,7,5,5,0,3,0,3,0,0,1,20,2.727,17.2,0.0,7.4,7.4,1.00,0,2008,Short-Season A,PIT
Mike Williams*,21,2,2,.500,4.67,17,0,6,0,0,0,27.0,29,18,14,2,11,0,30,2,0,1,125,1.481,9.7,0.7,3.7,10.0,2.73,0,2008,Short-Season A,PIT
